system,mol_id,source_index,paff,formal_charge,pocket_charge,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A,eint_rank,pre_eint_rank,experimental_rank
bace,33,33,6.424486462321799,1,-1,,-186.90560688367563,-173.38354934832964,-762716.5727355306,-719693.99715348,-43014.47058783032,-762715.6359596732,358,0.0019425069913268,True,2.599029017109766,2.725322194266009,1.0,1.0,29.0
bace,16,16,6.666422589433507,1,-1,,-184.2868231560853,-165.04395146780402,-752284.2236336475,-719693.99715348,-32582.23504715786,-752283.0288164499,433,0.0006217315676622,True,2.62252607613986,2.7336163640842006,2.0,2.0,25.0
bace,25,25,7.113636413976943,1,-1,,-183.55263383335964,-163.33219719843277,-762280.3370298261,-719693.99715348,-42578.38028079877,-762279.263835595,469,0.0019666354637593,True,2.620203064884124,2.716344096089365,3.0,5.0,11.0
bace,19,19,7.392228873244478,1,-1,,-182.0473903444684,-164.98943154575443,-762280.3267139577,-719693.99715348,-42578.43523846591,-762279.1712595876,413,0.0017445317935198,True,2.6548782237695923,2.736374407743767,4.0,3.0,5.0
bace,18,18,6.908358017370498,1,-1,,-180.89979824147045,-141.44378136816547,-749174.0119021742,-719693.99715348,-29472.170190985995,-749171.9909061264,559,0.0016062762588262,True,2.6033182800651185,2.7282378434496475,5.0,31.0,15.5
bace,3,3,6.710410467690386,1,-1,,-180.32361621546903,-162.2169142040348,-750844.785111234,-719693.99715348,-31142.96838566328,-750843.7619350204,277,0.0015758604276925,True,2.633537230873586,2.7428651073864656,6.0,9.0,21.0
bace,26,26,7.868768183017406,1,-1,,-179.81986978594932,-154.40826599287885,-771238.9509161578,-719693.99715348,-51537.1560350997,-771237.3702562826,315,0.0019542854279279,True,2.613174939806754,2.727893036677312,7.0,24.0,2.0
bace,14,14,6.849707046911513,1,-1,,-179.30038869068778,-162.9705248333753,-750211.4931226869,-719693.99715348,-30509.72076846113,-750210.5590916285,239,0.0017633829265832,True,2.6328584889131723,2.7391866064566464,8.0,6.0,18.0
bace,28,28,6.8790325321410055,1,-1,,-179.13699964209798,-161.66133092745085,-752474.8823472486,-719693.99715348,-32773.11707824261,-752473.8833736664,216,0.0019103194354102,True,2.6294092211201705,2.738306878360404,9.0,11.0,17.0
bace,21,21,8.321114649171353,1,-1,,-178.89807969869017,-140.60907630781776,-749805.814523618,-719693.99715348,-30104.059615161303,-749803.7039270609,350,0.0019733824301511,True,2.6214454473922237,2.7282938874740794,10.0,32.0,1.0
bace,27,27,7.230938354894912,1,-1,,-178.72026019192765,-143.62501402047235,-748737.8666497607,-719693.99715348,-29036.11945228771,-748736.052113996,724,0.0018711849115788,True,2.6226783830736604,2.728114372177252,11.0,28.0,9.0
bace,32,32,6.681084982460894,1,-1,,-178.67113815544118,-155.31687007182407,-753523.532036615,-719693.99715348,-33821.786969275025,-753522.3887206725,592,0.0019143602112308,True,2.625694658241404,2.7252150934964585,12.0,23.0,23.0
bace,34,34,7.575513330722484,1,-1,,-178.45431352563838,-145.25178422201918,-759170.1118193559,-719693.99715348,-39468.376154421785,-759168.398663587,535,0.0013796819839626,True,2.6072502218860163,2.730558478305588,13.0,27.0,4.0
bace,15,15,6.615102465900857,1,-1,,-178.04892602916226,-158.47927707131353,-749775.3028919918,-719693.99715348,-30073.58480632337,-749774.1749047048,513,0.0016655466752126,True,2.631893566881764,2.743262319216391,14.0,17.0,27.0
bace,12,12,5.757331498557171,1,-1,,-177.94922178093083,-159.19724535542525,-749775.2828884529,-719693.99715348,-30073.56912636986,-749774.2701636283,239,0.0018764632986858,True,2.628775115739428,2.7423762880050218,15.0,16.0,35.5
bace,22,22,6.057917547365786,1,-1,,-177.94067026215967,-162.62695232509353,-749775.3852107952,-719693.99715348,-30073.671819541152,-749774.4214448299,353,0.0019527417607605,True,2.613362673052422,2.7421752399771417,16.0,7.0,33.0
bace,30,30,7.062316989619012,1,-1,,-177.72299615921642,-156.66559802408494,-752454.2231844496,-719693.99715348,-32752.51923243803,-752453.0814720212,199,0.0016656912630423,True,2.630476720814861,2.7432420884263227,17.0,21.0,12.5
bace,31,31,6.666422589433507,1,-1,,-177.0363708073471,-162.3295988254214,-760873.4183368958,-719693.99715348,-41171.744159777525,-760872.5184641286,406,0.0019329845672473,True,2.609184955542946,2.7384369368433634,18.0,8.0,25.0
bace,11,11,6.666422589433507,1,-1,,-176.7334027601219,-164.2517280843872,-761942.8889224362,-719693.99715348,-42241.22788325591,-761942.1086252773,650,0.0018732998287305,True,2.6084018264719138,2.744451498467837,19.0,4.0,25.0
bace,10,10,6.263196643146951,1,-1,,-176.65842013064758,-162.00677920662045,-771008.2178440429,-719693.99715348,-51306.56005641724,-771007.1673723191,496,0.0018710759468376,True,2.6305784626119437,2.737436002708712,20.0,10.0,31.5
bace,9,9,7.062316989619012,1,-1,,-176.59700700030757,-157.58212859028927,-759803.204069418,-719693.99715348,-40101.54894491771,-759801.8880371946,663,0.001967006130144,True,2.631227436786898,2.740192199594381,21.0,20.0,12.5
bace,24,24,6.945014349526324,1,-1,,-176.41120526599727,-151.43961645706017,-747734.5572152764,-719693.99715348,-28032.910147901875,-747732.9669895935,278,0.0019654901698231,True,2.6310955406506205,2.7314880602903178,22.0,26.0,14.0
bace,2,2,5.815982469016156,1,-1,,-176.36143202599047,-158.2407987988138,-749339.1186012112,-719693.99715348,-29637.473692208667,-749338.0952103051,375,0.001951293204911,True,2.632533808088873,2.74107037742607,23.0,18.0,34.0
bace,6,6,7.678152179438347,1,-1,,-175.9821647029582,-142.98163337510627,-758733.9433859098,-719693.99715348,-39032.31492349495,-758732.2096062864,500,0.0018184552900493,True,2.6195861418859625,2.725658916691464,24.0,30.0,3.0
bace,20,20,6.835043954709407,1,-1,,-175.65680297849832,-156.64249980567536,-758767.7931897875,-719693.99715348,-39066.17883639244,-758766.3594407899,477,0.0018360392423346,True,2.6292537195472616,2.7443607252301128,25.0,22.0,19.0
bace,13,13,7.142961899206435,1,-1,,-175.64816846436142,-138.89369304678132,-749364.6674756429,-719693.99715348,-29663.053496675744,-749362.7651572193,303,0.0019887462258338,True,2.597138175718233,2.7318720928645077,26.0,33.0,10.0
bace,35,35,7.34824029581288,1,-1,,-175.40366060908977,-132.49757636766515,-749780.1540214793,-719693.99715348,-30078.550645376305,-749777.879981238,226,0.0016687721945345,True,2.620940359217278,2.7307705583547213,27.0,35.0,6.5
bace,1,1,7.304252417556001,1,-1,,-175.23223695697203,-160.9268732444491,-759803.2964960204,-719693.99715348,-40101.70055355052,-759802.3920293682,496,0.0019846041686832,True,2.6024099157297518,2.7241719244214,28.0,13.0,8.0
bace,7,7,6.688416528561946,1,-1,,-175.1042341103672,-160.14749201213075,-757698.3797675133,-719693.99715348,-37996.78937577216,-757697.5263928259,495,0.0018205936066806,True,2.618122709142316,2.727796539229534,29.0,14.0,22.0
bace,5,5,6.402492523193359,1,-1,,-175.00354728932533,-161.0949965905135,-762280.2421133686,-719693.99715348,-42578.65608782129,-762279.2856066384,286,0.0016726973699405,True,2.6422555269333574,2.7601787689604884,30.0,12.0,30.0
