system,mol_id,source_index,paff,formal_charge,pocket_charge,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A,eint_rank,pre_eint_rank,experimental_rank
cdk2,7,7,7.17741932687172,0,1,,-106.24006825009256,112.81534070237554,-544250.7884404813,-511167.9630821606,-33078.218352926415,-544241.9897886581,285.0,0.0019607928115874,True,2.21547995260551,2.57606524935218,1.0,9.0,3.0
cdk2,5,5,8.247800586510264,0,1,,-92.28997963294586,126.15062645896296,-556094.3256367885,-511167.9630821606,-44922.3604823306,-556082.9600988247,380.0,0.0017474353080615,True,1.9126104736157168,2.5974768903516248,2.0,10.0,1.0
cdk2,8,8,6.656891439667195,0,1,,-85.21597573532368,-65.66353281301022,-556094.4268336626,-511167.9630821606,-44922.768437047074,-556091.371299705,350.0,0.0019887627568095,True,2.668465632466039,2.7068334610560982,3.0,4.0,6.0
cdk2,1,1,8.145161038619682,0,1,,-82.1217096419624,143.23600476169253,-557163.1412078468,-511167.9630821606,-45991.61699130876,-557151.231451495,484.0,0.0019420307362452,True,1.8903492571398903,2.663220871422872,4.0,12.0,2.0
cdk2,13,13,6.392962072601765,0,1,,-76.31311344143124,-70.07531085181303,-542778.8744024307,-511167.9630821606,-31607.602070463807,-542776.2222539292,323.0,0.0018307382706552,True,2.605451054219412,2.6605785678849085,5.0,1.0,7.0
cdk2,14,14,7.148093841642228,0,1,,-76.2878225185311,199.8542988805994,-559208.3504742286,-511167.9630821606,-48037.07923897992,-559194.1742273134,334.0,0.0019869925454258,True,1.937061064863034,2.6014087902706247,6.0,13.0,4.0
cdk2,11,11,6.180352129894267,0,1,,-76.09944198669247,-68.11206437440731,-542778.6969583207,-511167.9630821606,-31607.433892025,-542776.0573955924,283.0,0.0019019570900127,True,2.668465632466039,2.762952878660229,7.0,2.0,8.0
cdk2,12,12,7.140762295541175,0,1,,-72.5221590383707,-66.3795722178612,-541709.7263668375,-511167.9630821606,-30538.618426212503,-541707.1208277813,312.0,0.0019769638311117,True,2.668465632466039,2.76386610319566,8.0,3.0,5.0
cdk2,6,6,5.740469152277166,0,1,,-70.77903610300986,-59.04666013498217,-542778.5443975317,-511167.9630821606,-31607.512045871328,-542775.7626772482,394.0,0.0019409402739256,True,2.668465632466039,2.746671472047741,9.0,5.0,11.0
cdk2,2,2,5.762463440992964,0,1,,-70.02152850663276,140.13951398755702,-551566.4269223058,-511167.9630821606,-40395.42741928388,-551554.526998668,659.0,0.0019760474096983,True,2.0340500980843874,2.659252158806466,10.0,11.0,10.0
cdk2,0,0,5.161290294613656,0,1,,-68.77351976143467,-57.18987577765221,-609718.677141948,-511167.9630821606,-98547.73175770738,-609715.8924780475,340.0,0.0019067715620622,True,2.668465632466039,2.891714965843557,11.0,6.0,13.0
cdk2,4,4,5.623167211359197,0,1,,-67.72224964368634,-56.42831338494603,-552168.2218327936,-511167.9630821606,-40997.32203593989,-552165.4471193508,416.0,0.0019653097260743,True,2.668465632466039,2.8906247813154238,12.0,7.0,12.0
cdk2,15,15,5.997067672416262,0,1,,-62.10259142679077,-55.38943553276042,-539663.1676687722,-511167.9630821606,-28492.51156336322,-539660.519281408,315.0,0.0016811155946925,True,2.668465632466039,2.8659830071791097,13.0,8.0,9.0
