system,mol_id,source_index,paff,formal_charge,pocket_charge,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A,eint_rank,pre_eint_rank,experimental_rank
cmet,21,21,9.001629093874934,0,2,,-80.89785578490417,-63.73543980381561,-695720.5820734976,-651199.9698286991,-44517.10418174726,-695719.0799769806,700,0.0014205500483512,True,2.8938635271323068,3.016339327759806,1.0,1.0,2.0
cmet,18,18,9.001629093874934,1,2,,-76.47229268910321,-8.794983956552093,-694754.3548383418,-651199.9698286991,-43551.06885717091,-694750.7827211351,1000,0.0249236468225717,False,2.2002031033306526,2.9986978564224027,2.0,23.0,2.0
cmet,19,19,9.001629093874934,1,2,,-71.53097974179921,-54.47679625146668,-692648.410903038,-651199.9698286991,-41445.33919747682,-692647.023864564,466,0.0018971285317093,True,2.8938635271323068,3.067250310010144,3.0,2.0,2.0
cmet,22,22,8.001447772700066,1,2,,-70.53134903942617,-44.89804249098728,-690576.1164226795,-651199.9698286991,-39373.08806520832,-690574.2135406538,1000,0.0032472060993313,False,2.8399363688707138,2.8699614399536464,4.0,18.0,7.0
cmet,13,13,6.399098029933716,1,2,,-69.76473612731368,-52.79355170714688,-705738.0221409879,-651199.9698286991,-54535.02702699896,-705736.6264020333,316,0.001968702301383,True,2.8563305711778537,2.8357521568333723,5.0,4.0,17.5
cmet,23,23,8.245617763038254,1,2,,-66.2377647884833,-49.33885746485882,-693254.5464028493,-651199.9698286991,-42051.70423281309,-693253.21558194,395,0.001568748964928,True,2.778930192247121,3.120623591226269,6.0,12.0,5.0
cmet,20,20,8.188568601859979,1,2,,-66.05560787424622,-46.26760847233594,-692839.2779378368,-651199.9698286991,-41636.44366687208,-692837.6692992039,1000,0.0070193400606513,False,2.9147018769434623,2.872158990857762,7.0,16.0,6.0
cmet,11,11,7.399279351108584,0,2,,-65.11999915091451,-48.43240650126292,-687700.8575590738,-651199.9698286991,-36498.06385994329,-687699.7080775981,269,0.0019827589858323,True,2.8300779654912405,3.0442618276957463,8.0,14.0,10.0
cmet,14,14,7.047033030266635,1,2,,-64.92073431030875,-14.975179343261754,-712012.8325998787,-651199.9698286991,-60810.04754168944,-712010.0155643572,364,0.001698417472653,True,2.3361583390262552,2.825552747834108,9.0,22.0,12.5
cmet,0,0,6.700182939904176,0,2,,-64.87911952395848,-52.415230974293706,-687264.4810809494,-651199.9698286991,-36061.697827348136,-687263.5603115057,322,0.0016974855680018,True,2.8908179093251025,3.096372521178401,10.0,7.0,14.5
cmet,12,12,5.276678943913702,0,2,,-64.4201984801417,61.08301673016395,-686664.4852676295,-651199.9698286991,-35461.721914728194,-686658.5673536469,444,0.0019794628024101,True,1.8969704784325347,3.0704202916552434,11.0,24.0,23.0
cmet,7,7,5.377724023858123,0,2,,-64.2553230321031,-52.420245412996834,-687699.8807487563,-651199.9698286991,-36497.12454553116,-687698.9922405889,313,0.0019227300072088,True,2.8329962261794828,2.9534681298650494,12.0,6.0,22.0
cmet,4,4,6.399098029933716,0,2,,-63.66407339007375,-40.84402431181808,-695992.583286969,-651199.9698286991,-44789.85272275491,-695991.2160083089,306,0.0016917646862566,True,2.713890315070676,3.0735713937792544,13.0,20.0,17.5
cmet,5,5,7.378085967033139,1,2,,-62.72161975291529,-50.81178750180114,-692971.0907612995,-651199.9698286991,-41768.401065743165,-692969.8806130092,420,0.0018010210478678,True,2.733879714012274,2.821970514954361,14.0,9.0,11.0
cmet,17,17,8.570187252637577,1,2,,-62.63110367467566,-46.323502073222926,-695538.7507090679,-651199.9698286991,-44336.06493866025,-695537.3061164883,505,0.0019342025043442,True,2.778930192247121,3.1326854563810844,15.0,15.0,4.0
cmet,3,3,6.700182939904176,0,2,,-61.49072451335812,-52.02954697644455,-688248.0747501436,-651199.9698286991,-37045.438431256734,-688247.0736751377,269,0.0018684871029108,True,2.820244101101894,2.8681810305598487,16.0,8.0,14.5
cmet,16,16,5.678808584241224,0,2,,-61.30487008678809,-45.98401788623318,-695992.5102026027,-651199.9698286991,-44789.88194312661,-695991.4880002044,532,0.0019204057753086,True,2.898332023261939,2.974047869331453,17.0,17.0,20.0
cmet,10,10,7.639654920247992,1,2,,-61.14886054058452,-53.21982929140466,-702768.568675731,-651199.9698286991,-51565.94718146908,-702767.384659407,364,0.0019519800553098,True,2.8563305711778537,2.8380728399663213,18.0,3.0,9.0
cmet,9,9,7.960048239252084,1,2,,-61.00684457474914,-52.52005573577408,-697122.6361192353,-651199.9698286991,-45920.02078336857,-697121.37854416,589,0.001956490566954,True,2.728539033085844,2.847253148357656,19.0,5.0,8.0
cmet,8,8,6.302170739495509,0,2,,-60.57803461130999,-25.72949993500388,-687204.605193317,-651199.9698286991,-36002.00845241027,-687202.6388587406,283,0.0018827532185241,True,2.423398952297368,3.0329353586154557,20.0,21.0,19.0
cmet,6,6,4.523697486720826,0,2,,-60.12042462129849,-49.71817246070179,-695992.4935529229,-651199.9698286991,-44789.91665586338,-695991.5843790106,228,0.0018660350469872,True,2.932367522687027,2.9582600073619845,21.0,11.0,24.0
cmet,15,15,7.047033030266635,1,2,,-60.04030485510579,-49.90731681356672,-690271.4693026266,-651199.9698286991,-39068.89587988898,-690270.3251384567,771,0.0019202061230316,True,2.803221452075121,2.81866117844327,22.0,10.0,12.5
cmet,2,2,6.524059429895843,0,2,,-59.56478652239166,-49.33293705566908,-687178.6040143403,-651199.9698286991,-35976.05121202929,-687177.5981975343,269,0.001704455120489,True,2.814613193261988,2.872622124568043,23.0,13.0,16.0
cmet,1,1,5.469510981763912,0,2,,-55.42740652925312,-41.82357996182257,-687640.1120239943,-651199.9698286991,-36437.738635460606,-687639.1033033152,355,0.0018285220721736,True,2.808347257882561,2.994812092875064,24.0,19.0,21.0
