system,mol_id,source_index,paff,formal_charge,pocket_charge,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A,eint_rank,pre_eint_rank,experimental_rank
eg5,1,1,7.76846108198865,1,-4,,-284.5098762283245,-149.9463183047806,-678114.3928131503,-633921.2991929809,-44180.756104238855,-678110.2926311789,1000,0.0191991683095693,False,3.11406840112028,2.794217234213491,1.0,18.0,18.5
eg5,7,7,8.204768480093946,1,-4,,-244.933274856056,-165.22842175129716,-688894.028678962,-633921.2991929809,-54962.10817391802,-688886.973060411,441,0.001701159751974,True,3.091532900391604,2.6313673816671748,2.0,6.0,11.5
eg5,19,19,8.351790240782796,1,-4,,-220.49882121007,-164.03453121282988,-741707.4733464895,-633921.2991929809,-107776.61241964049,-741704.7192232169,1000,0.0060184425674378,False,2.7857241500667493,2.4944483243870943,3.0,8.0,7.5
eg5,11,11,8.449292252839834,1,-4,,-220.1505452977802,-170.0758783356481,-687824.198126331,-633921.2991929809,-53893.352302154926,-687821.4221482124,921,0.0019138914067298,True,3.091532900391604,2.7945467850056964,4.0,3.0,5.0
eg5,16,16,8.14642165063763,1,-4,,-216.7085253767396,-171.60741652264215,-678557.2638294358,-633921.2991929809,-44626.56726537042,-678555.1123782893,671,0.001976910745725,True,3.089476659429606,2.7550258134902066,5.0,2.0,13.0
eg5,21,21,8.204768480093946,1,-4,,-215.77806782471748,-161.93214742128762,-678405.972663283,-633921.2991929809,-44475.31644767589,-678403.6697987255,501,0.0018736106576398,True,2.8320816442908674,2.551972380325902,6.0,9.0,11.5
eg5,2,2,8.272124175801654,1,-4,,-215.15346573222783,-156.0686799498604,-739568.5724379731,-633921.2991929809,-105637.94330767624,-739565.6950930669,1000,0.0341338068246841,False,2.814930080079689,2.673046006146357,7.0,15.0,9.5
eg5,24,24,7.901897877891741,1,-4,,-211.40555032240675,-167.8037924504123,-679097.6203189788,-633921.2991929809,-45167.15371367645,-679095.2854822539,357,0.0019013289129361,True,3.0891789766967745,2.7492657655917023,8.0,4.0,16.0
eg5,9,9,7.231034841006102,1,-4,,-207.7833774057724,-185.9820448711844,-682266.7726049351,-633921.2991929809,-48336.4630719167,-682265.5615948002,526,0.0019462878117337,True,2.402466408362981,2.745297729096966,9.0,1.0,24.0
eg5,18,18,7.746048337203666,1,-4,,-206.6996776737212,-159.784270043977,-668185.9877749654,-633921.2991929809,-34255.7252356151,-668183.5925962864,485,0.0019775487016886,True,3.095696459107563,2.7463350749802604,10.0,10.0,20.0
