system,mol_id,source_index,paff,formal_charge,pocket_charge,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A
hif2a,0,0,7.887484391064238,0,-4,,-57.6431920752267,-17.726590538825537,-918732.8617245915,-869125.2120775275,-49605.150001673945,-918730.8685150768,322,0.001366575830616057,True,2.80298696085508,2.9776217113552637
hif2a,1,1,6.377905345032991,0,-4,,-59.45246428498822,-12.683914079692071,-923295.9538147257,-869125.2120775275,-54168.163634339515,-923293.3979121569,442,0.0016387969953939319,True,2.7444766084836827,2.8977598254215433
hif2a,2,2,7.421559252697001,0,-4,,-55.66234403279122,-3.552006131825866,-921431.9740149427,-869125.2120775275,-52304.34818972613,-921429.6054650875,296,0.001870267209596932,True,2.664980910354409,2.9408808739740917
hif2a,3,3,7.586399481093778,0,-4,,-57.205771874414474,-13.781618182026616,-925402.3707591395,-869125.2120775275,-56274.6780045572,-925400.386765818,323,0.0018451523501425982,True,2.8372803978886694,2.892415461612903
hif2a,4,4,7.7461294414710435,0,-4,,-55.21794541965117,-41.73143597469952,-925388.559761845,-869125.2120775275,-56260.953207576305,-925387.8121395471,325,0.0016516890609636903,True,2.6974493384531377,2.9841182425471917
hif2a,5,5,8.302532682670526,0,-4,,-54.928909454287776,-11.516202215230617,-925592.5975771878,-869125.2120775275,-56465.00355670481,-925590.4201127074,266,0.001905941404402256,True,2.7650011365507994,2.9459998122986017
hif2a,6,6,7.001267150699917,0,-4,,-51.61234624930486,32.36739605073876,-920995.5448223095,-869125.2120775275,-51868.09462161906,-920991.5737047485,571,0.0016378406435251236,True,2.1007779307036363,2.952847043520211
hif2a,7,7,7.887484391064238,0,-4,,-59.83833533896254,15.716320815198262,-920995.8330452204,-869125.2120775275,-51868.02613188152,-920992.2742627433,441,0.0018904220778495073,True,2.342417642249358,2.9393693648554637
hif2a,8,8,7.722644162667462,0,-4,,-49.551560246728826,-10.69902442181553,-925200.926817792,-869125.2120775275,-56073.56598124058,-925198.9842566986,235,0.0018928083591163158,True,2.8365234069149694,2.9871355317404467
hif2a,9,9,7.421559252697001,0,-4,,-60.89548706133405,-31.794041390487966,-916666.5029766832,-869125.2120775275,-47538.65022090688,-916664.8478513504,451,0.001962340669706464,True,2.938496432731421,3.022618207906859
