system,mol_id,source_index,paff,formal_charge,pocket_charge,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A,eint_rank,pre_eint_rank,experimental_rank
hif2a,13,13,8.001447772700066,0,-4,,-64.35831501725335,-27.412274097110227,-915596.881987114,-869125.2120775275,-46468.8790689052,-915594.9349365688,380,0.0015928145730867,True,2.941406221102778,3.0833158223733927,1.0,7.0,4.0
hif2a,16,16,6.77077651373452,0,-4,,-62.83384324683126,-17.69140023478331,-915056.7206651024,-869125.2120775275,-45928.78385424635,-915054.591224146,361,0.0018547970103099,True,2.8415567199938714,2.9454332419489515,2.0,16.0,34.0
hif2a,31,31,7.001267150699917,0,-4,,-61.95446177751708,-14.442123729920295,-917102.694765666,-869125.2120775275,-47974.79608839961,-917099.9465733276,350,0.001695793820545,True,2.756993517056814,3.0130510992710438,3.0,19.0,31.5
hif2a,24,24,7.2019631561995245,0,-4,,-61.77292477727122,-26.898150583998945,-916033.1851587994,-869125.2120775275,-46905.2943537225,-916031.2588137492,412,0.0019126557745039,True,2.909101927622526,3.100703889573359,4.0,8.0,25.0
hif2a,9,9,7.421559252697001,0,-4,,-60.89548706133405,-31.79404139048797,-916666.5029766832,-869125.2120775275,-47538.65022090688,-916664.8478513504,451,0.0019623406697064,True,2.938496432731421,3.022618207906859,5.0,5.0,20.0
hif2a,36,36,7.348117241062376,0,-4,,-60.41685436651181,-24.57456898152741,-912897.4157983542,-869125.2120775275,-43769.58379805594,-912895.5633608792,327,0.00185789889656,True,2.86666979106766,3.1253037746194905,6.0,10.0,23.0
hif2a,11,11,7.137969092539677,0,-4,,-60.11430587629649,-15.123977557958352,-912897.1338816189,-869125.2120775275,-43769.31500106487,-912894.9105259936,689,0.0014211947564035,True,2.7505793154036366,2.9276033493639497,7.0,18.0,27.0
hif2a,20,20,7.77095713573467,0,-4,,-59.90428193671877,-0.3449367406790282,-928101.859053395,-869125.2120775275,-58974.049280341016,-928099.1112681584,334,0.0018616403685882,True,2.7336345252974845,2.851965916246649,8.0,38.0,10.0
hif2a,7,7,7.887484391064238,0,-4,,-59.83833533896254,15.716320815198262,-920995.8330452204,-869125.2120775275,-51868.02613188152,-920992.2742627432,441,0.0018904220778495,True,2.342417642249358,2.939369364855464,9.0,40.0,5.5
hif2a,1,1,6.377905345032991,0,-4,,-59.45246428498822,-12.683914079692071,-923295.9538147256,-869125.2120775275,-54168.16363433952,-923293.3979121568,442,0.0016387969953939,True,2.7444766084836827,2.8977598254215438,10.0,23.0,37.0
hif2a,26,26,7.700363561904325,0,-4,,-59.43719594192353,-17.872866460387087,-915596.5806263358,-869125.2120775275,-46468.7911080476,-915594.5067630383,496,0.0018434673547744,True,2.7655035090088984,2.925533862324952,11.0,14.0,14.0
hif2a,37,37,8.098375762312992,0,-4,,-58.88182511032459,-13.043143988127584,-920995.8546808352,-869125.2120775275,-51868.08924570558,-920993.6878370292,449,0.0013597379438579,True,2.7630841119909832,2.961320758370749,12.0,22.0,2.0
hif2a,22,22,6.554028155866606,0,-4,,-58.85851969540904,-15.743645125272428,-925995.462217428,-869125.2120775275,-56867.69779291689,-925993.0359015624,388,0.0018242048099637,True,2.7590918373769657,2.908921022389263,13.0,17.0,35.0
hif2a,25,25,7.7461294414710435,0,-4,,-58.75717449977392,-0.6936454016051048,-923155.1566824096,-869125.2120775275,-54027.39665264208,-923152.284926448,342,0.0019824488554149,True,2.6861993174721666,2.9261042712683385,14.0,37.0,11.5
hif2a,40,40,8.072042045705128,0,-4,,-58.15076461517669,-20.48905452972804,-915597.130367808,-869125.2120775275,-46469.39663446188,-915595.3668027534,341,0.0019892996642738,True,2.828713063396518,2.904141540562173,15.0,12.0,3.0
hif2a,21,21,7.825324961866451,0,-4,,-57.64932541070008,-7.428642581294521,-918296.2906940008,-869125.2120775275,-49168.57870511655,-918293.877035684,398,0.0019892200361937,True,2.6773340207356533,2.9314494457506663,16.0,31.0,8.0
hif2a,0,0,7.887484391064238,0,-4,,-57.6431920752267,-17.726590538825537,-918732.8617245916,-869125.2120775275,-49605.150001673945,-918730.8685150768,322,0.001366575830616,True,2.80298696085508,2.977621711355264,17.0,15.0,5.5
hif2a,23,23,7.120475041901261,0,-4,,-57.27906651614961,-18.07464006726191,-916033.4939432684,-869125.2120775275,-46905.7980103295,-916031.6234447436,359,0.0019762781448662,True,2.819037069091685,2.995567113170302,18.0,13.0,28.0
hif2a,3,3,7.586399481093778,0,-4,,-57.20577187441448,-13.781618182026616,-925402.3707591397,-869125.2120775275,-56274.6780045572,-925400.386765818,323,0.0018451523501425,True,2.8372803978886694,2.892415461612903,19.0,20.0,15.0
hif2a,15,15,7.825324961866451,0,-4,,-57.098659035137175,-9.771337343393691,-928101.5715398168,-869125.2120775275,-58973.88343008667,-928099.3443236492,462,0.0019524870440363,True,2.773363311249584,2.878733448056966,20.0,27.0,8.0
hif2a,19,19,6.825143640691583,0,-4,,-56.22649344739326,-12.568247044760753,-924556.2698267306,-869125.2120775275,-55428.61953768005,-924553.9329534492,158,0.0019248931203037,True,2.776221869746862,3.0052891026746,21.0,24.0,33.0
hif2a,2,2,7.421559252697001,0,-4,,-55.66234403279122,-3.552006131825866,-921431.9740149428,-869125.2120775275,-52304.34818972613,-921429.6054650876,296,0.0018702672095969,True,2.664980910354409,2.940880873974092,22.0,34.0,20.0
hif2a,4,4,7.7461294414710435,0,-4,,-55.21794541965117,-41.73143597469952,-925388.559761845,-869125.2120775275,-56260.95320757631,-925387.8121395472,325,0.0016516890609636,True,2.6974493384531377,2.984118242547192,23.0,1.0,11.5
hif2a,5,5,8.302532682670526,0,-4,,-54.928909454287776,-11.516202215230615,-925592.5975771878,-869125.2120775275,-56465.00355670481,-925590.4201127074,266,0.0019059414044022,True,2.7650011365508,2.9459998122986017,24.0,25.0,1.0
hif2a,14,14,7.4102766702601635,0,-4,,-54.710795060069735,-13.25391435486553,-922893.0997519168,-869125.2120775275,-53765.515189769154,-922891.100506246,234,0.0018710850272327,True,2.761143895978244,2.8529361067825163,25.0,21.0,22.0
hif2a,32,32,5.181393665302534,0,-4,,-54.31069674982613,-8.96908589029997,-917833.3009511154,-869125.2120775275,-48705.733738872594,-917830.843278044,525,0.0018785402644425,True,2.7567503859994225,2.9452474198159693,26.0,30.0,40.0
hif2a,17,17,7.1752239182547735,0,-4,,-54.25548203673718,-2.751288335130144,-935991.4762211012,-869125.2120775275,-66863.91140319486,-935988.6271759988,568,0.0015594462165609,True,2.7531514798758128,2.93835170828824,27.0,36.0,26.0
hif2a,12,12,6.482659197273142,0,-4,,-53.44503358356152,-40.66676395998022,-911253.7176443388,-869125.2120775275,-42126.18797080367,-911253.034295706,317,0.0018668934935703,True,2.774310668284187,2.980590077180312,28.0,2.0,36.0
hif2a,33,33,7.509997163699868,0,-4,,-53.19704178755154,-6.411103737563929,-917293.0686189438,-869125.2120775275,-48165.54969935083,-917290.54546585,296,0.0018996914150193,True,2.767634335924852,2.9300906571201666,29.0,32.0,17.0
hif2a,39,39,7.538966069822786,0,-4,,-52.8784446726136,-3.3413960698343,-928728.3041473576,-869125.2120775275,-59600.79904344324,-928725.9608701844,265,0.0019904375076293,True,2.753622258312548,2.943820109872815,30.0,35.0,16.0
