system,mol_id,source_index,paff,formal_charge,pocket_charge,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A,eint_rank,pre_eint_rank,experimental_rank
jnk1,7,4,6.942815445035783,0,2,,-71.67152531033791,-47.36784502633609,-550684.5479559833,-514442.2235459781,-36239.216438510455,-550683.2271343563,380,0.0014828604180365,True,2.6455471614948167,3.083834613252761,1.0,6.0,8.0
jnk1,12,15,7.111436810311683,0,2,,-70.699170833981,-48.69986431096928,-549615.6500138125,-514442.2235459781,-35170.36066162048,-549614.3094404415,354,0.0011291883420199,True,2.658169734325325,2.835222240637993,2.0,1.0,6.0
jnk1,20,3,7.82991224719632,0,2,,-70.33211088157407,-40.49038354554877,-564633.1236804747,-514442.2235459781,-50187.85024550875,-564631.4152430934,320,0.001999796135351,True,2.537099500853624,3.0001606726539323,3.0,15.0,1.0
jnk1,17,16,6.37829898039966,0,2,,-70.31173051623423,-45.5862830253046,-563563.9477061832,-514442.2235459781,-49118.67515499352,-563562.5705627261,318,0.0016871053958311,True,2.6314310462470973,2.92592994262624,4.0,10.0,14.5
jnk1,6,13,7.397360815680271,0,2,,-69.58729528672389,-40.44943550353905,-563563.7289809916,-514442.2235459781,-49118.48784428679,-563562.0399726374,652,0.0017858915962278,True,2.543488355536975,3.054844105644514,5.0,16.0,3.0
jnk1,11,0,7.434017847010816,0,2,,-67.4103193684541,-47.91770328814256,-553227.9041709637,-514442.2235459781,-38782.75743686948,-553226.6392288827,482,0.0019514337182044,True,2.6511802175275263,3.071855321809075,6.0,3.0,2.0
jnk1,4,1,7.096774417284297,0,2,,-66.69405630126413,-40.62539006607437,-617624.9674897311,-514442.2235459781,-103179.85181574326,-617623.4516227158,521,0.0015040668658912,True,2.633368590352568,3.0838014926786745,7.0,14.0,7.0
jnk1,8,10,7.140762295541175,0,2,,-65.67003692310361,-39.875383701209486,-553132.3762331425,-514442.2235459781,-38687.30496483762,-553130.8834555125,466,0.0014520682161673,True,2.6621015796256504,3.09228084682704,8.0,17.0,5.0
jnk1,9,7,7.324046753019181,0,2,,-64.30263374650077,-43.13229541092458,-547569.6170993526,-514442.2235459781,-33124.605127261704,-547568.3608433441,442,0.0019710620399564,True,2.6315171283207417,3.066278161651527,9.0,11.0,4.0
jnk1,16,11,6.8988268676041855,0,2,,-62.456834608066295,-42.80626616241535,-544454.580877595,-514442.2235459781,-30009.648946930305,-544453.3449451288,519,0.0016439532628282,True,2.645741792562045,3.0414314628048627,10.0,12.0,9.0
jnk1,3,2,5.5058652704412285,0,2,,-61.53578755672893,-2.9714293711263684,-681450.0470680478,-514442.2235459781,-167005.15507776343,-681447.2443322059,411,0.0013453267747536,True,2.046224190500444,3.0806558255068897,11.0,21.0,20.0
jnk1,0,9,6.502932467418681,0,2,,-60.82423822087176,-47.023293623734666,-553844.4110742558,-514442.2235459781,-39399.54993967105,-553843.539548429,702,0.0018130836542695,True,2.646723307485737,2.992355999693161,12.0,7.0,13.0
jnk1,2,14,6.35630504127122,0,2,,-60.5609701144044,-47.82786728689534,-542408.8595048984,-514442.2235459781,-27964.009786699266,-542408.0418759708,472,0.0019792946986854,True,2.6272160164850247,3.0172058478593624,13.0,4.0,16.0
jnk1,14,31,6.722873956227232,0,2,,-60.47390390461711,-48.27681924717441,-544454.5400296036,-514442.2235459781,-30009.694086952677,-544453.7164027528,541,0.0018618484027683,True,2.6279806118705005,3.011463790120889,14.0,2.0,10.0
jnk1,13,6,6.656891439667195,0,2,,-60.47095795122716,-28.87187293126953,-544454.5305006047,-514442.2235459781,-30009.68468570232,-544452.890525791,481,0.0017606455367058,True,2.603694670027224,3.0525068018656065,15.0,18.0,12.0
jnk1,5,22,6.217008462050093,0,2,,-60.14695090517262,-47.7924449268571,-553844.3618603022,-514442.2235459781,-39399.530095675145,-553843.5578763639,448,0.0019023907370865,True,2.654816851596722,3.0120593677223826,16.0,5.0,18.0
jnk1,10,27,6.700880017098792,0,2,,-59.47325803451721,-46.97919729364162,-542408.8156469283,-514442.2235459781,-27964.013096389124,-542408.0015794901,536,0.0017557059181854,True,2.623502876009576,3.014863309947841,17.0,8.0,11.0
jnk1,15,8,5.3445747520916616,0,2,,-59.19386477357153,-2.971668249281024,-543478.1221718426,-514442.2235459781,-29033.33173694196,-543475.4460403217,427,0.0016772154485806,True,2.542249761286878,3.133014649994245,18.0,20.0,21.0
jnk1,1,5,6.37829898039966,0,2,,-59.02073687241463,-42.29286214916024,-542408.6991881666,-514442.2235459781,-27963.916260802347,-542407.5880942551,418,0.0018546741921454,True,2.5996742244232007,2.962102401205245,19.0,13.0,14.5
jnk1,19,36,6.224340008151146,0,2,,-58.13805537750401,-46.21240477391361,-541339.373411044,-514442.2235459781,-26894.62876037207,-541338.6068808004,495,0.0019834917038679,True,2.6359888208157654,3.0157236871982023,20.0,9.0,17.0
jnk1,18,12,5.945747548883611,0,2,,-57.89741410738666,-26.15906702894004,-553844.2345938236,-514442.2235459781,-39399.50037834473,-553842.5529814592,500,0.0019986042752861,True,2.389346988549282,3.119326164176547,21.0,19.0,19.0
