system,mol_id,source_index,paff,formal_charge,pocket_charge,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A
mcl1,0,0,6.473606982404691,-1,1,,-117.35907021820611,-101.45772230505884,-680376.6123003862,-640316.841071125,-40054.68205830652,-680375.0977875937,230.0,0.0015857744729146361,True,2.7884544421203845,2.7209194079222874
mcl1,1,2,6.041055550586511,-1,1,,-116.16628466926866,-97.50250194943351,-671588.4015611326,-640316.841071125,-31266.523043129848,-671586.8343985466,441.0,0.0019369967048987746,True,2.777519436407301,2.723143541389407
mcl1,2,4,4.48680343548387,-1,1,,-107.63617114423835,-96.36326509922195,-666869.2118399809,-640316.841071125,-26547.70322271022,-666868.6460396721,536.0,0.0019360273145139217,True,3.015320506039019,2.766227895707125
mcl1,3,5,4.853372350439882,-1,1,,-110.78634064206257,-91.18021359246174,-667938.7364917111,-640316.841071125,-27617.091270161938,-667937.3615925249,359.0,0.0018566529033705592,True,2.640243558425924,2.7753164419442458
mcl1,4,7,5.087976581378299,-1,1,,-101.5931436120582,-49.68996234166304,-676037.5494563587,-640316.841071125,-35716.302889563805,-676034.6076477157,376.0,0.0018393563805148005,True,1.914072459422534,2.7787419903588377
mcl1,5,9,5.7551318951612895,-1,1,,-110.89146202855783,-100.78459727208308,-667938.7400732036,-640316.841071125,-27617.09029315964,-667938.0313095385,403.0,0.0019276179373264313,True,3.0153638839862325,2.783656770428342
mcl1,6,11,5.8064516686217,-1,1,,-99.98077613188889,-90.00394014424016,-676037.59627384,-640316.841071125,-35716.41962591669,-676036.9784470218,236.0,0.0019610822200775146,True,2.8696198445536547,2.75364906569428
mcl1,7,13,4.824046865102639,-1,1,,-103.72602425998122,-97.8349731371211,-667938.4329728443,-640316.841071125,-27617.09391559074,-667938.0393316126,215.0,0.0016793262911960483,True,3.0156395082612737,2.732436843624989
mcl1,8,14,5.043988353372434,-1,1,,-103.44030896580342,-96.85678396820288,-679374.0571173577,-640316.841071125,-39052.73044989193,-679373.6429207881,292.0,0.0019217162625864148,True,3.0174535414631203,2.745441170921912
mcl1,9,15,5.036656807917888,-1,1,,-97.08866339984532,-85.62110357827231,-676037.5147635671,-640316.841071125,-35716.46352952176,-676036.833406754,316.0,0.0019455176079645753,True,2.832629594030976,2.6611034287241857
mcl1,10,16,6.458944589442814,-1,1,,-107.44782086475001,-101.9803426653755,-680443.6169492624,-640316.841071125,-40122.11649963291,-680443.0173606531,357.0,0.001893322914838791,True,3.016909394661677,2.7309579814208678
mcl1,11,18,5.99706767228739,-1,1,,-105.85327445694202,-71.87645646867992,-681512.7206786725,-640316.841071125,-41191.28937511965,-681511.1396356323,283.0,0.0019524237141013145,True,2.705637570230594,2.7166539996952204
mcl1,12,20,6.561583437683284,-1,1,,-111.94198895249629,-104.85804009793036,-681513.1294337688,-640316.841071125,-41191.43409856583,-681512.6573080844,396.0,0.0019652810879051685,True,3.0210885891554002,2.7212218046706793
mcl1,13,21,5.146627552052785,-1,1,,-106.25172477312353,-13.894414139609403,-673152.9309299167,-640316.841071125,-32831.48234792274,-673149.3644477614,567.0,0.0011827010894194245,True,2.2872774179508526,2.7535167480020397
mcl1,14,23,5.153959098240469,-1,1,ValueError('Severe protein-ligand heavy-atom overlap: 1.182 A < 1.6 A. Redock into the prepared receptor; covalent complexes require a separate protocol.'),,,,,,,,,,,
mcl1,15,24,5.315249266862169,-1,1,,-100.36281458440304,315.59767063052857,-675198.5412204219,-640316.841071125,-34877.34800574326,-675180.3931660791,698.0,0.0018448613118380308,True,1.6231835862918664,2.5783909009856187
mcl1,16,26,5.227272810850439,-1,1,,-68.00342474048853,341.54886984467805,-675197.0449078823,-640316.841071125,-34877.254929158094,-675179.3957586784,286.0,0.001960813533514738,True,1.9571860980369373,2.6579483087111444
mcl1,17,28,6.524926406891495,-1,1,,-114.84914857578288,-99.0765684683698,-671048.3994891096,-640316.841071125,-30726.57808753371,-671047.000153855,328.0,0.0018149025272578,True,2.8273772674856743,2.783394080045773
mcl1,18,30,5.153959098240469,-1,1,,-107.55355018109329,-84.66390577597727,-671047.9994425689,-640316.841071125,-30726.49440808223,-671046.9375583689,441.0,0.0019956990145146847,True,3.01900627538678,2.711286153967077
mcl1,19,32,6.356305041055719,-1,1,,-115.9419740343399,-100.7392073676225,-683553.3618618184,-640316.841071125,-43231.493070845325,-683552.0075956525,311.0,0.0019894829019904137,True,2.8725821248822268,2.7822411386102295
mcl1,20,34,6.561583437683284,-1,1,,-114.94911475920107,44.21590922592508,-671114.0060142457,-640316.841071125,-30792.180277725754,-671106.9766210661,366.0,0.0019479709444567561,True,1.8420789955190306,2.773279836223726
mcl1,21,36,5.571847437683284,-1,1,,-108.78729811418626,-101.22657023806316,-670044.2684711737,-640316.841071125,-29722.7099363131,-670043.6563071305,325.0,0.0018630481790751219,True,3.019457355448374,2.705822440352003
