system,mol_id,source_index,paff,formal_charge,pocket_charge,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A,eint_rank,pre_eint_rank,experimental_rank
mcl1,38,63,6.165689037390028,-1,1,,-120.27289214615212,-106.81818281949964,-703346.567209655,-640316.841071125,-63024.51061229746,-703345.7871191286,241.0,0.0016017637681216,True,3.030543956585524,2.717393383152789,1.0,2.0,19.0
mcl1,36,60,6.6422290469208205,-1,1,,-120.14857147861328,-93.64435955005878,-703346.5686735606,-640316.841071125,-63024.51746725752,-703345.2333541838,234.0,0.0013811605749651,True,2.547669218176103,2.6675206811486434,2.0,22.0,8.0
mcl1,34,57,5.923753609970674,-1,1,,-119.69548428355414,-95.33070990250864,-703346.3433711615,-640316.841071125,-63024.31181257874,-703345.0207778304,305.0,0.0018159631872549,True,2.578752926011536,2.6940186356482183,3.0,19.0,23.0
mcl1,33,56,6.539589498533725,-1,1,,-119.3969579957582,-108.62949165322516,-690841.4982382151,-640316.841071125,-50519.47962495742,-690840.8585230198,244.0,0.0017538856482133,True,3.0309125905470933,2.716334390750909,4.0,1.0,12.0
mcl1,35,58,5.8357771539589445,-1,1,,-118.6289398988332,-90.19243785438644,-692881.4948537955,-640316.841071125,-52559.50954495464,-692879.4126597696,446.0,0.0019964221864938,True,2.598197105040937,2.6958460656157706,5.0,25.0,24.0
mcl1,32,55,6.898826867302052,-1,1,,-118.03819919072802,-96.54630379266958,-695087.3652141782,-640316.841071125,-54765.405522279,-695086.1723739163,409.0,0.0019918291363865,True,2.5662745065057546,2.761427607398745,6.0,17.0,4.0
mcl1,39,64,6.180352129765396,-1,1,,-118.02717366254709,-99.10546957680106,-692881.6826293761,-640316.841071125,-52559.723415589,-692879.977844714,231.0,0.0016652818303555,True,2.7807882558693136,2.721132814558213,7.0,11.0,18.0
mcl1,37,61,6.964809384164222,-1,1,,-117.86615847356808,-87.40598492714885,-692881.6663006349,-640316.841071125,-52559.71406912722,-692879.4935620755,219.0,0.0019201919203624,True,2.542973212112217,2.663790253936861,8.0,29.0,3.0
mcl1,30,52,6.788856472873899,-1,1,,-117.83335641230651,-106.66839308866354,-682582.2869972243,-640316.841071125,-42260.33618814869,-682581.5771059545,576.0,0.0019517904147505,True,3.03001535873042,2.7195453212869145,9.0,3.0,6.0
mcl1,40,66,5.557184695014662,-1,1,,-117.78551466720084,-104.79878921276465,-682053.2697977707,-640316.841071125,-41731.32106330945,-682052.5448260658,313.0,0.0018824879080057,True,3.0646812526098173,2.730630650944487,10.0,5.0,29.0
