system,mol_id,source_index,paff,formal_charge,pocket_charge,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A
p38,0,0,7.390029269579219,0,2,,-59.158099414635174,-55.71882171428512,-706180.6211615663,-669639.8453258709,-36538.21049770568,-706179.8036744505,493,0.0019201943650841713,True,2.8089142953806827,3.127885249151819
p38,1,1,7.8152491549942145,0,2,,-68.75658473663185,-60.93411339924024,-720036.5347891573,-669639.8453258709,-50393.7078955786,-720035.4711679429,487,0.0019662585109472275,True,2.8118753266786594,3.040551384409988
p38,2,2,8.98826996252334,0,2,,-69.65286520306654,-63.549404299727065,-726326.5869596688,-669639.8453258709,-56683.72119969047,-726325.5748266403,322,0.0019503725925460458,True,2.790272755423353,3.0208290953059214
p38,3,3,8.687683564127365,0,2,,-64.52661706597101,-60.45454609695591,-709665.5283398131,-669639.8453258709,-40022.88487499339,-709664.6984641302,485,0.001392487669363618,True,2.8093146605582247,3.1245842385683638
p38,4,4,7.8152491549942145,0,2,,-61.92669615442572,-58.849860843265844,-704457.3897006265,-669639.8453258709,-34814.85897904819,-704456.6393125142,346,0.0019813994877040386,True,2.8089554058476005,3.1317260519684726
p38,5,5,8.98826996252334,0,2,,-64.89176878277681,-59.43940162847383,-708226.3630650943,-669639.8453258709,-38583.7037657975,-708225.5180864041,614,0.0010102333035320044,True,2.8093229509703916,3.1284241381101383
p38,6,6,8.98826996252334,0,2,,-66.02961021349627,-60.75343941166874,-710769.081282214,-669639.8453258709,-41126.37264144278,-710768.1718576652,369,0.0019489459227770567,True,2.791958957647639,3.039096135382312
p38,7,7,6.796188018888322,0,2,,-67.92240360454436,-63.44905284173887,-707097.2948010482,-669639.8453258709,-37454.50408098707,-707096.376318108,269,0.001837466610595584,True,2.793486182180319,2.9037359725280516
p38,8,8,7.690615667975193,0,2,,-63.66785261176464,-57.74052880571404,-724220.4357430675,-669639.8453258709,-54577.82951779912,-724219.5306408858,456,0.0018015261739492416,True,2.810013079714548,3.015739802873376
p38,9,9,7.82991224719632,0,2,,-66.8791940512555,-60.915665290641,-709235.9612045139,-669639.8453258709,-39593.215722300556,-709235.1638311959,492,0.0019726899918168783,True,2.7935076489376316,2.8394283752815883
p38,10,10,8.98826996252334,0,2,,-94.82722034602476,-74.24653415056105,-728901.976894392,-669639.8453258709,-59258.0194710531,-728900.2476553703,698,0.001745831803418696,True,2.812205788922939,3.1291098738073404
p38,11,11,8.211143555179719,0,2,,-85.25121009283099,-75.71279469675407,-725290.5087781298,-669639.8453258709,-55646.96660989771,-725289.5185644573,559,0.0019937781617045403,True,2.809935390280317,3.1123153636990457
p38,12,12,6.950146291962117,0,2,,-65.19077643246912,-60.12724860127704,-713245.5957251609,-669639.8453258709,-43602.92345966518,-713244.7250039644,453,0.001946995034813881,True,2.808742928465086,3.1175863686915233
p38,13,13,8.673020471925259,0,2,,-63.728119106525774,-55.944115892927066,-709997.3348168734,-669639.8453258709,-40354.72597820245,-709996.4196769817,262,0.001606278819963336,True,2.7973952143648058,2.7568854299674372
p38,14,14,7.368035330450779,0,2,,-59.28438920637368,-56.73243028120374,-703481.0305018215,-669639.8453258709,-33838.61436151718,-703480.2652104544,501,0.0017395723843947053,True,2.8089589607464966,3.132793499750096
p38,15,15,6.217008462050093,0,2,,-61.13800207512985,-56.92378470339806,-704457.483607964,-669639.8453258709,-34814.98708739798,-704456.6669964768,392,0.0019319506827741861,True,2.80867828388719,3.0951702842624735
p38,16,16,7.499999664396134,0,2,,-62.329099991534434,-57.69715913992245,-706087.4281480054,-669639.8453258709,-36444.879976545155,-706086.6431468938,411,0.0019240633118897676,True,2.805749435504561,2.891187884687466
