system,mol_id,source_index,paff,formal_charge,pocket_charge,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A,eint_rank,pre_eint_rank,experimental_rank
p38,10,10,8.98826996252334,0,2,,-94.82722034602476,-74.24653415056105,-728901.976894392,-669639.8453258709,-59258.0194710531,-728900.2476553703,698,0.0017458318034186,True,2.812205788922939,3.1291098738073404,1.0,2.0,2.5
p38,11,11,8.211143555179719,0,2,,-85.25121009283099,-75.71279469675407,-725290.5087781298,-669639.8453258709,-55646.96660989771,-725289.5185644573,559,0.0019937781617045,True,2.809935390280317,3.1123153636990457,2.0,1.0,10.0
p38,26,26,8.145161038619682,0,2,,-81.95467907686879,-72.48096210179185,-713388.1136416445,-669639.8453258709,-43744.71442452698,-713387.0481149104,511,0.0019809184595942,True,2.809163881155609,2.696554986594121,3.0,3.0,11.0
p38,19,19,8.687683564127365,0,2,,-80.68076840094346,-67.91143569360773,-711342.0250428412,-669639.8453258709,-41698.68106771906,-711340.920585352,488,0.0017847188282757,True,2.81037395068261,3.065368349143839,4.0,4.0,5.5
p38,17,17,8.387096466556672,0,2,,-71.16440100178994,-66.75872948231573,-708226.8998600905,-669639.8453258709,-38583.96855371621,-708225.9670113425,296,0.0018957364372909,True,2.8323091119172528,2.771933347801466,5.0,6.0,8.0
p38,30,30,7.910557156783744,0,2,,-70.60212983931831,-66.7988321519971,-712411.1242193714,-669639.8453258709,-42768.217295382405,-712410.316957829,469,0.0018840059638023,True,2.806602502862464,2.9524452209156538,6.0,5.0,15.0
p38,2,2,8.98826996252334,0,2,,-69.65286520306654,-63.549404299727065,-726326.5869596688,-669639.8453258709,-56683.72119969047,-726325.5748266403,322,0.001950372592546,True,2.790272755423353,3.0208290953059214,7.0,7.0,2.5
p38,1,1,7.8152491549942145,0,2,,-68.75658473663185,-60.93411339924024,-720036.5347891573,-669639.8453258709,-50393.7078955786,-720035.4711679429,487,0.0019662585109472,True,2.81187532667866,3.040551384409988,8.0,12.0,18.5
p38,7,7,6.796188018888322,0,2,,-67.92240360454436,-63.44905284173887,-707097.2948010482,-669639.8453258709,-37454.50408098707,-707096.376318108,269,0.0018374666105955,True,2.793486182180319,2.903735972528052,9.0,8.0,31.0
p38,20,20,7.280058874762302,0,2,,-67.90118636867227,-61.05580807555744,-718999.798800948,-669639.8453258709,-49357.00900095322,-718998.9759392357,321,0.001816909876652,True,2.773582787555517,2.7771060648321746,10.0,11.0,27.0
p38,27,27,8.035190643802766,0,2,,-67.90108655369339,-62.17631838636767,-709261.6939122009,-669639.8453258709,-39618.90411653451,-709260.8011112949,290,0.0016183848492801,True,2.80895445635183,3.115595552841174,11.0,9.0,12.0
p38,9,9,7.82991224719632,0,2,,-66.8791940512555,-60.915665290641,-709235.9612045139,-669639.8453258709,-39593.21572230056,-709235.1638311959,492,0.0019726899918168,True,2.793507648937632,2.8394283752815883,12.0,13.0,17.0
p38,32,32,7.595307666185664,0,2,,-66.24871092663388,-56.24559551072562,-706120.6269584052,-669639.8453258709,-36477.90881652784,-706119.592891027,422,0.001304394332692,True,2.8230591090147774,3.063854394982556,13.0,29.0,23.0
p38,6,6,8.98826996252334,0,2,,-66.02961021349627,-60.75343941166874,-710769.081282214,-669639.8453258709,-41126.37264144278,-710768.1718576652,369,0.001948945922777,True,2.791958957647639,3.039096135382312,14.0,14.0,2.5
p38,28,28,6.642229046639808,0,2,,-65.85373004226406,-54.37625864374177,-717930.3391331747,-669639.8453258709,-48287.63811928957,-717929.2924891226,391,0.0019132557790726,True,2.816823335196198,3.10451636948401,15.0,33.0,32.0
