system,mol_id,source_index,paff,formal_charge,pocket_charge,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A
ptp1b,0,0,6.488270074391295,-2,1,,-325.0029478550524,-315.653244569587,-859267.7606042998,-745663.7631857892,-113589.90395680093,-859266.0876654236,276,0.0019789794459939003,True,2.857005387897627,2.736140282526818
ptp1b,1,1,5.681818181818182,-2,1,,-347.2320048836199,-333.55246643831725,-810951.5358959468,-745663.7631857892,-65272.715305301695,-810949.4800508905,282,0.0018693238962441683,True,2.857005387897627,2.816520218425905
ptp1b,2,2,5.381231783422207,-2,1,,-315.9350177107809,-306.67969864879825,-853517.5675035447,-745663.7631857892,-107840.10407871386,-853516.0769152712,255,0.0018842993304133415,True,2.857005387897627,2.763484134106773
ptp1b,3,3,8.372434073529284,-2,1,,-351.18014484370366,-336.73316558416957,-881007.0694665362,-745663.7631857892,-135328.0776683383,-881005.1063764957,412,0.0018444249872118235,True,2.857005387897627,2.7386309494275825
ptp1b,4,4,5.6598238931023825,-2,1,,-321.4284161251974,-309.25781372802993,-861275.979576803,-745663.7631857892,-115598.27793567069,-861274.2750561422,342,0.001464054104872048,True,2.857005387897627,2.7454601281600692
ptp1b,5,5,7.236070297330705,-2,1,,-350.59317939666374,-325.3620777761912,-879937.5633011197,-745663.7631857892,-134258.59695615267,-879935.3417065057,811,0.0018841464770957828,True,2.857005387897627,2.7453065827496688
ptp1b,6,6,6.392962072601765,-2,1,,-344.34163519125565,-328.63566664319643,-864926.7201539075,-745663.7631857892,-119248.0249015551,-864924.6215952875,553,0.0019986501429229975,True,2.857005387897627,2.7238814496032746
ptp1b,7,7,6.678885378795634,-2,1,,-325.6782650111348,-317.6078408128385,-859360.5241034408,-745663.7631857892,-113682.63817141835,-859358.9373558513,235,0.0015085793565958738,True,2.857005387897627,2.7599514965921697
ptp1b,8,8,6.151026644664775,-2,1,,-323.969196348915,-315.7144836609292,-859802.1170476116,-745663.7631857892,-114124.30522782079,-859800.6324401778,193,0.0019959337078034878,True,2.857005387897627,2.761819813195972
ptp1b,9,9,5.681818181818182,-2,1,,-318.25403945318726,-305.5796234074444,-858107.0071716199,-745663.7631857892,-112429.44318448847,-858105.2566241135,438,0.0015581767074763775,True,2.857005387897627,2.748840031543232
ptp1b,10,10,6.312316463839623,-2,1,,-326.3545231088278,-316.4774412779067,-859261.8253018697,-745663.7631857892,-113583.91004452055,-859260.2329087983,263,0.0018739260267466307,True,2.857005387897627,2.7467843187757195
ptp1b,11,11,6.8988268676041855,-2,1,,-326.9681656920077,-314.56697885117563,-859360.3632866591,-745663.7631857892,-113682.42141924908,-859358.6310818453,929,0.0019939178600907326,True,2.857005387897627,2.752317993217607
ptp1b,12,12,5.755131894891912,-2,1,,-317.505998612472,-304.8433886165042,-851908.3638436405,-745663.7631857892,-106230.83229463009,-851906.3931131075,214,0.001900473958812654,True,2.8569846539748456,2.740088302177346
ptp1b,13,13,6.341641949069115,-2,1,,-324.2077114961725,-309.4919693334447,-875817.3460478417,-745663.7631857892,-130139.52388505517,-875815.4658311461,309,0.0017261228058487177,True,2.857005387897627,2.7308258222648885
ptp1b,14,14,7.338709845221286,-2,1,,-340.85241664462467,-326.6383077169244,-874722.3529227829,-745663.7631857892,-129043.80897726721,-874720.4221460174,346,0.0019694215152412653,True,2.857005387897627,2.7318810044792246
ptp1b,15,15,9.142228934771854,-2,1,,-349.64606514854216,-336.55717011955534,-823456.5934451635,-745663.7631857892,-77777.66817095739,-823454.6491121104,312,0.001999278087168932,True,2.857005387897627,2.756681294352618
ptp1b,16,16,5.6598238931023825,-2,1,,-323.84608932325614,-310.5841419689118,-859705.3269700136,-745663.7631857892,-114027.52048864862,-859703.4048881475,258,0.0018897748086601496,True,2.857005387897627,2.7599692084017833
ptp1b,17,17,5.681818181818182,-2,1,,-318.08705684178074,-304.7153204443264,-857130.0243343796,-745663.7631857892,-111452.4675882995,-857128.3170778884,489,0.0019585841801017523,True,2.857005387897627,2.755125075038155
ptp1b,18,18,8.071847675133311,-2,1,,-346.75404958764875,-333.12784194148094,-812020.9131170626,-745663.7631857892,-66342.11325252084,-812018.7630396117,300,0.0016246739542111754,True,2.857005387897627,2.759585197978492
ptp1b,19,19,7.426686300909763,-2,1,,-329.01139240187007,-318.87882312253123,-862568.5760396959,-745663.7631857892,-116890.5455695898,-862566.8723247917,368,0.0016961919609457254,True,2.857005387897627,2.7581204279360416
ptp1b,20,20,6.656891439667195,-2,1,,-324.95471988796425,-315.9820694011062,-858291.3457682689,-745663.7631857892,-112613.4912121326,-858289.705185361,435,0.0019820015877485275,True,2.857005387897627,2.7458523599316282
ptp1b,21,21,6.700880017098792,-2,1,,-333.88948778115315,-320.33159482943665,-862880.2200750876,-745663.7631857892,-117201.97807074501,-862878.2532770562,670,0.001863298937678337,True,2.857005387897627,2.740798311812539
ptp1b,22,22,6.392962072601765,-2,1,,-322.72644918964943,-314.3989272735591,-857221.717713223,-745663.7631857892,-111543.95978404948,-857220.1472443973,213,0.0019327522022649646,True,2.857005387897627,2.7441314771473126
