system,mol_id,source_index,paff,formal_charge,pocket_charge,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A,eint_rank,pre_eint_rank,experimental_rank
ptp1b,3,3,8.372434073529284,-2,1,,-351.18014484370366,-336.7331655841696,-881007.0694665362,-745663.7631857892,-135328.0776683383,-881005.1063764957,412,0.0018444249872118,True,2.857005387897627,2.7386309494275825,1.0,1.0,2.0
ptp1b,5,5,7.236070297330705,-2,1,,-350.59317939666374,-325.3620777761912,-879937.5633011197,-745663.7631857892,-134258.59695615267,-879935.3417065057,811,0.0018841464770957,True,2.857005387897627,2.7453065827496688,2.0,7.0,6.0
ptp1b,15,15,9.142228934771854,-2,1,,-349.64606514854216,-336.55717011955534,-823456.5934451635,-745663.7631857892,-77777.66817095739,-823454.6491121104,312,0.0019992780871689,True,2.857005387897627,2.756681294352618,3.0,2.0,1.0
ptp1b,1,1,5.681818181818182,-2,1,,-347.2320048836199,-333.55246643831725,-810951.5358959468,-745663.7631857892,-65272.715305301695,-810949.4800508905,282,0.0018693238962441,True,2.857005387897627,2.816520218425905,4.0,3.0,19.0
ptp1b,18,18,8.071847675133311,-2,1,,-346.75404958764875,-333.12784194148094,-812020.9131170626,-745663.7631857892,-66342.11325252084,-812018.7630396117,300,0.0016246739542111,True,2.857005387897627,2.759585197978492,5.0,4.0,3.0
ptp1b,6,6,6.392962072601765,-2,1,,-344.34163519125565,-328.63566664319643,-864926.7201539075,-745663.7631857892,-119248.0249015551,-864924.6215952875,553,0.0019986501429229,True,2.857005387897627,2.7238814496032746,6.0,5.0,12.5
ptp1b,14,14,7.338709845221286,-2,1,,-340.85241664462467,-326.6383077169244,-874722.3529227829,-745663.7631857892,-129043.8089772672,-874720.4221460174,346,0.0019694215152412,True,2.857005387897627,2.731881004479225,7.0,6.0,5.0
ptp1b,21,21,6.700880017098792,-2,1,,-333.88948778115315,-320.33159482943665,-862880.2200750876,-745663.7631857892,-117201.978070745,-862878.2532770562,670,0.0018632989376783,True,2.857005387897627,2.740798311812539,8.0,8.0,8.0
ptp1b,19,19,7.426686300909763,-2,1,,-329.01139240187007,-318.87882312253123,-862568.5760396959,-745663.7631857892,-116890.5455695898,-862566.8723247917,368,0.0016961919609457,True,2.857005387897627,2.7581204279360416,9.0,9.0,4.0
ptp1b,11,11,6.8988268676041855,-2,1,,-326.9681656920077,-314.56697885117563,-859360.3632866591,-745663.7631857892,-113682.42141924908,-859358.6310818453,929,0.0019939178600907,True,2.857005387897627,2.752317993217607,10.0,15.0,7.0
ptp1b,10,10,6.312316463839623,-2,1,,-326.3545231088278,-316.4774412779067,-859261.8253018697,-745663.7631857892,-113583.91004452055,-859260.2329087983,263,0.0018739260267466,True,2.857005387897627,2.7467843187757195,11.0,11.0,15.0
ptp1b,7,7,6.678885378795634,-2,1,,-325.6782650111348,-317.6078408128385,-859360.5241034408,-745663.7631857892,-113682.63817141837,-859358.9373558513,235,0.0015085793565958,True,2.857005387897627,2.7599514965921697,12.0,10.0,9.0
ptp1b,0,0,6.488270074391295,-2,1,,-325.0029478550524,-315.653244569587,-859267.7606042998,-745663.7631857892,-113589.90395680092,-859266.0876654236,276,0.0019789794459939,True,2.857005387897627,2.736140282526818,13.0,14.0,11.0
ptp1b,20,20,6.656891439667195,-2,1,,-324.95471988796425,-315.9820694011062,-858291.3457682689,-745663.7631857892,-112613.4912121326,-858289.705185361,435,0.0019820015877485,True,2.857005387897627,2.745852359931628,14.0,12.0,10.0
ptp1b,13,13,6.341641949069115,-2,1,,-324.2077114961725,-309.4919693334447,-875817.3460478417,-745663.7631857892,-130139.52388505515,-875815.4658311461,309,0.0017261228058487,True,2.857005387897627,2.7308258222648885,15.0,18.0,14.0
ptp1b,8,8,6.151026644664775,-2,1,,-323.969196348915,-315.7144836609292,-859802.1170476116,-745663.7631857892,-114124.3052278208,-859800.6324401778,193,0.0019959337078034,True,2.857005387897627,2.761819813195972,16.0,13.0,16.0
ptp1b,16,16,5.659823893102383,-2,1,,-323.84608932325614,-310.5841419689118,-859705.3269700136,-745663.7631857892,-114027.52048864862,-859703.4048881475,258,0.0018897748086601,True,2.857005387897627,2.7599692084017837,17.0,17.0,21.5
ptp1b,22,22,6.392962072601765,-2,1,,-322.72644918964943,-314.3989272735591,-857221.717713223,-745663.7631857892,-111543.95978404948,-857220.1472443973,213,0.0019327522022649,True,2.857005387897627,2.7441314771473126,18.0,16.0,12.5
ptp1b,4,4,5.659823893102383,-2,1,,-321.4284161251974,-309.25781372803,-861275.979576803,-745663.7631857892,-115598.27793567067,-861274.2750561422,342,0.001464054104872,True,2.857005387897627,2.745460128160069,19.0,19.0,21.5
ptp1b,9,9,5.681818181818182,-2,1,,-318.25403945318726,-305.5796234074444,-858107.0071716199,-745663.7631857892,-112429.44318448848,-858105.2566241135,438,0.0015581767074763,True,2.857005387897627,2.748840031543232,20.0,21.0,19.0
