system,mol_id,source_index,paff,formal_charge,pocket_charge,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A
shp2,0,0,7.150035449836261,1,-3,,-247.71244596490018,-234.43401000404262,-637632.8510454067,-588229.2052990368,-49392.90391804103,-637632.0695506919,352.0,0.0017646061023697257,True,2.701143306526013,2.786771693295785
shp2,1,1,6.773338989078823,1,-3,,-253.97354537971717,-236.52083135883242,-707688.1957053286,-588229.2052990368,-119447.97707099529,-707687.3224001026,210.0,0.0018172108102589846,True,2.9504555366647556,2.7263858529537948
shp2,2,2,5.588550721445391,1,-3,,-239.05702866763403,-227.61540284602623,-612688.0546921242,-588229.2052990368,-24448.48289917656,-612687.2610443565,379.0,0.001747351954691112,True,2.955716756590449,2.8216280551128787
shp2,3,3,4.6584204145190995,1,-3,ValueError('Severe protein-ligand heavy-atom overlap: 1.541 A < 1.6 A. Redock into the prepared receptor; covalent complexes require a separate protocol.'),,,,,,,,,,,
shp2,4,4,4.268378805904444,1,-3,,-236.6758023365642,-39.09747838807673,-637632.4646271509,-588229.2052990368,-49392.99609395007,-637623.607630017,606.0,0.0019473278662189841,True,2.173133666596435,2.668899118571429
shp2,5,5,6.067610905666855,1,-3,,-235.1749568719302,-223.34020012054177,-626197.5867074261,-588229.2052990368,-37958.18325704445,-626196.6635545072,529.0,0.0018386795418336987,True,2.724834157112412,2.7762871309288397
shp2,6,6,7.168788714143187,1,-3,,-250.6579558122694,-235.8994071024881,-636563.4155979274,-588229.2052990368,-48323.34074116572,-636562.5235231044,203.0,0.0015490633668377995,True,2.7559561422442105,2.7303442408323138
shp2,7,7,6.56821930513354,1,-3,,-265.62126102544676,-253.49216293238823,-642222.1044191043,-588229.2052990368,-53981.38069201553,-642220.9371340944,292.0,0.001999459695070982,True,2.701063326928797,2.8026586324350076
shp2,8,8,4.921709337542134,1,-3,,-231.69161163383387,-44.77171387790346,-637632.2199302965,-588229.2052990368,-49392.96753206088,-637623.827738954,744.0,0.0019231479382142425,True,2.173032611750044,2.6777848089003222
shp2,9,9,6.649020829857968,1,-3,,-249.90642456495405,-218.33837569704914,-639679.6167544965,-588229.2052990368,-51439.57448721413,-639677.3636733324,714.0,0.00183326646219939,True,2.712041708142932,2.7751306363011596
