system,mol_id,source_index,paff,formal_charge,pocket_charge,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A,eint_rank,pre_eint_rank,experimental_rank
shp2,7,7,6.56821930513354,1,-3,,-265.6212610254468,-253.49216293238825,-642222.1044191043,-588229.2052990368,-53981.38069201553,-642220.9371340944,292.0,0.0019994596950709,True,2.701063326928797,2.802658632435008,1.0,1.0,9.0
shp2,16,16,6.200405160003394,1,-3,,-256.0141908148356,-174.57198340654298,-616202.1955324882,-588229.2052990368,-27961.88840739349,-616198.3079590248,331.0,0.0018160687759518,True,2.2110200935238407,2.813091668021712,2.0,20.0,14.0
shp2,13,13,7.120475041901261,1,-3,,-254.8541828908299,-233.8843517916628,-638702.1806228892,-588229.2052990368,-50461.92380049905,-638700.7467756661,204.0,0.0018919351277872,True,2.3881372444493816,2.718550438066205,3.0,8.0,3.0
shp2,1,1,6.773338989078823,1,-3,,-253.9735453797172,-236.5208313588324,-707688.1957053286,-588229.2052990368,-119447.97707099529,-707687.3224001026,210.0,0.0018172108102589,True,2.950455536664756,2.7263858529537948,4.0,4.0,4.0
shp2,24,24,6.407873371829036,1,-3,,-253.8428585360504,-236.65533670124643,-650137.7850895467,-588229.2052990368,-61897.572122331294,-650136.91454478,282.0,0.0019015367142856,True,2.940886738088013,2.717325751865352,5.0,3.0,12.0
shp2,18,18,6.502866045820398,1,-3,,-253.13007423435897,-234.82880509707,-640141.647485197,-588229.2052990368,-51901.46542723441,-640140.1855792451,422.0,0.0013103367527946,True,2.809187031161812,2.7258140860558435,6.0,6.0,10.0
shp2,15,15,6.654851247837816,1,-3,,-253.0975345774182,-240.7130019568122,-638702.234750322,-588229.2052990368,-50462.05410341238,-638701.4547926257,367.0,0.0016389836091548,True,2.9556664258046608,2.7275603978203256,7.0,2.0,6.0
shp2,12,12,6.4472837532021074,1,-3,,-252.59524303977815,-231.29128995051704,-637632.8118005939,-588229.2052990368,-49392.65293510689,-637630.9569281348,183.0,0.0017792014405131,True,2.3870872768963,2.711304624124771,8.0,10.0,11.0
shp2,6,6,7.168788714143187,1,-3,,-250.6579558122694,-235.8994071024881,-636563.4155979274,-588229.2052990368,-48323.34074116572,-636562.5235231044,203.0,0.0015490633668377,True,2.7559561422442105,2.7303442408323138,9.0,5.0,1.0
shp2,9,9,6.649020829857968,1,-3,,-249.90642456495405,-218.33837569704917,-639679.6167544965,-588229.2052990368,-51439.57448721413,-639677.3636733324,714.0,0.0018332664621993,True,2.712041708142932,2.77513063630116,10.0,18.0,7.0
shp2,0,0,7.150035449836261,1,-3,,-247.71244596490016,-234.43401000404265,-637632.8510454067,-588229.2052990368,-49392.90391804103,-637632.0695506919,352.0,0.0017646061023697,True,2.701143306526013,2.786771693295785,11.0,7.0,2.0
shp2,21,21,6.713413423107516,1,-3,,-245.7865896138276,-232.2473347397955,-638068.5608376387,-588229.2052990368,-49828.69722330862,-638067.7840888973,499.0,0.0019386349013075,True,2.7247776203584757,2.750030552274797,12.0,9.0,5.0
shp2,19,19,6.245255120688519,1,-3,,-241.1120498836546,-51.45135461954616,-637632.026112579,-588229.2052990368,-49392.36520547712,-637623.5108435292,853.0,0.001902075484395,True,2.174091518310848,2.6804531888628325,13.0,21.0,13.0
shp2,2,2,5.588550721445391,1,-3,,-239.05702866763403,-227.61540284602623,-612688.0546921242,-588229.2052990368,-24448.48289917656,-612687.2610443565,379.0,0.0017473519546911,True,2.955716756590449,2.8216280551128787,14.0,11.0,19.0
shp2,17,17,5.24507449868837,1,-3,,-238.68917549865773,-227.12460285479372,-636126.3662320753,-588229.2052990368,-47886.81039075074,-636125.6345268252,447.0,0.0019650133326649,True,2.7184296295802604,2.794583820756621,15.0,12.0,21.0
