system,mol_id,source_index,paff,formal_charge,pocket_charge,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A
syk,0,0,7.624803050871818,0,1,,-103.24963081039752,242.42085239890045,-679851.7501972057,-641072.1588215041,-38775.114047948206,-679835.3591437011,464.0,0.001961287809535861,True,1.778978604259078,2.628744550569302
syk,1,3,7.637770644380899,0,1,ValueError('Severe protein-ligand heavy-atom overlap: 1.161 A < 1.6 A. Redock into the prepared receptor; covalent complexes require a separate protocol.'),,,,,,,,,,,
syk,2,4,8.066961842198525,0,1,,-95.78450999070456,161.19512305879522,-675726.3056956972,-641072.1588215041,-34649.993264717115,-675714.1587236035,374.0,0.0016270818887278438,True,1.7593877390024835,2.6563985513259336
syk,3,5,7.681243930044761,0,1,,-85.645131609782,202.90970035891493,-677230.9966317235,-641072.1588215041,-36155.12388580445,-677217.5006030734,342.0,0.0019611164461821318,True,1.7601538751726773,2.661614384443742
syk,4,6,8.679351499003747,0,1,,-116.81208816049734,19.016232473482198,-690607.4430926034,-641072.1588215041,-49530.21881953156,-690600.5303402042,251.0,0.0018180934712290764,True,1.9095104126220743,2.7659602159046983
syk,5,7,7.5732361186634405,0,1,,-80.53066366681674,-53.8758212964881,-669931.7547013466,-641072.1588215041,-28856.103739748618,-669930.026500231,317.0,0.001961726928129792,True,2.8429915624791438,2.736119044879108
syk,6,8,8.072042045705128,0,1,,-87.73035548891372,-21.59017945103372,-673046.9384965516,-641072.1588215041,-31970.975326766904,-673043.543522343,341.0,0.001857484458014369,True,2.1427450492280324,2.7608719740160876
syk,7,9,8.114977666010255,0,1,,-110.31270417226733,-71.85418526781318,-677728.0228134515,-641072.1588215041,-36651.08038034446,-677725.6142326011,236.0,0.00198181439191103,True,2.8429915624791438,2.7491139777766933
syk,8,10,8.855474309837364,0,1,,-111.25903066396259,37.14144559128785,-679867.0551040572,-641072.1588215041,-38790.07163434954,-679859.5815919188,311.0,0.0016227816231548786,True,2.2085436434685772,2.5964231852516106
syk,9,11,9.3582410616609,0,1,,-125.62078418813313,364.01144340215416,-680843.2904018856,-641072.1588215041,-39765.68414760107,-680820.9795778787,396.0,0.0019720348063856363,True,1.7595987319605766,2.717442363579588
syk,10,12,8.329409658034875,0,1,,-100.69614655763671,182.0733868097319,-677804.9035785439,-641072.1588215041,-36728.37815884375,-677791.6807463084,489.0,0.0019163871183991432,True,1.748407344832142,2.669376668418674
syk,11,13,7.73188655327492,0,1,,-97.70693972029243,161.7664881190582,-679436.3235994639,-641072.1588215041,-38359.927804040635,-679423.4741943573,662.0,0.001821863348595798,True,1.7668041063187518,2.582640160716182
syk,12,14,8.156377898632956,0,1,,-94.40208282628129,-64.57506070434746,-673047.2689515176,-641072.1588215041,-31971.016468253227,-673045.3510673268,403.0,0.0018845850136131048,True,2.8429915624791438,2.7661290320017113
syk,13,15,8.120656363076128,0,1,,-110.62800630345748,-23.76841920575743,-676691.732397148,-641072.1588215041,-35614.77629124653,-676686.8600535144,285.0,0.0014335877494886518,True,2.233681554247435,2.7302500302574457
syk,14,16,8.639835542248141,0,1,,-107.27567525569494,176.47075108001334,-679819.3540026357,-641072.1588215041,-38742.5432675672,-679805.979535542,598.0,0.001752957934513688,True,1.7509095465532927,2.6790891729715227
syk,15,17,8.202143778199673,0,1,,-105.59078044328811,155.90082898996707,-676163.2416285923,-641072.1588215041,-35086.50395747804,-676150.8853920777,291.0,0.0018250009743496776,True,1.7596631253524186,2.6789509633781807
syk,16,18,7.17328300923546,0,1,,-97.56623766400675,336.3145639320082,-679436.0355263537,-641072.1588215041,-38359.64583234911,-679416.2454537266,320.0,0.0017096934607252479,True,1.633879094433375,2.65025457868822
syk,17,19,8.570187252637577,0,1,,-104.9198671850346,154.88617563670493,-675726.7195718142,-641072.1588215041,-34650.01099425243,-675714.4157468671,346.0,0.0018835504306480289,True,1.7596631253524186,2.6932000641797336
syk,18,20,7.477606496503276,0,1,,-93.58800148482588,184.69394249770585,-679818.7807940973,-641072.1588215041,-38742.563612741076,-679805.6568875962,355.0,0.0013457846362143755,True,1.7591983035392706,2.6398082364493427
syk,19,22,7.194444231273841,0,1,,-96.77508348791069,139.30137615714912,-677805.9865164235,-641072.1588215041,-36729.63113011105,-677794.3198620598,351.0,0.001786455512046814,True,1.7845580829301142,2.674438234061908
syk,20,24,7.75343022388447,0,1,,-97.23729453604359,152.7457599188796,-676736.7581595647,-641072.1588215041,-35660.38272988414,-676724.6698514011,694.0,0.0018976349383592606,True,1.7804977512241609,2.591467569672889
syk,21,25,7.3006174081931015,0,1,,-94.90504734693923,235.19478426112258,-677805.4503154078,-641072.1588215041,-36729.1760215375,-677790.2016805744,498.0,0.0019302963046357036,True,1.750942445934313,2.6695293941746536
syk,22,26,8.410457292260311,0,1,,-105.21060046041447,32.023654856385996,-677727.3984260182,-641072.1588215041,-36650.677241068384,-677720.653712999,263.0,0.0019419570453464985,True,2.2406813128022653,2.734423143670154
syk,23,27,7.911526912118682,0,1,,-88.28825100285879,222.53957228298313,-677231.0834443677,-641072.1588215041,-36155.09608194383,-677216.6401296937,595.0,0.0017830413999035954,True,1.7596631253524186,2.618072669534894
syk,24,28,7.901059567403933,0,1,,-107.46065748791926,150.39368958493716,-676598.6854696954,-641072.1588215041,-35521.86671303807,-676586.3067520725,264.0,0.001982681918889284,True,1.7613025318500162,2.679525413034875
syk,25,29,7.549580241228478,0,1,,-98.75042511735074,181.0264543615423,-677805.6793672396,-641072.1588215041,-36729.23832200678,-677791.3759326632,409.0,0.0019614859484136105,True,1.7596631253524186,2.6325666051794236
syk,26,30,7.984411681502445,0,1,,-97.23460656694652,156.02119526206988,-676162.3681594738,-641072.1588215041,-35085.99284635458,-676150.329784617,392.0,0.0005406406125985086,True,1.7585854854223828,2.6525037998992342
syk,27,32,7.568400626308407,0,1,,-99.55474524133069,218.9595663868899,-676736.4455555915,-641072.1588215041,-35659.96963173698,-676721.8838404346,489.0,0.0019883355125784874,True,1.750942445934313,2.6467318400665003
syk,28,33,8.421740573871869,0,1,,-105.84529989233639,154.75921413696625,-676162.7265176466,-641072.1588215041,-35085.97780952444,-676150.3780428676,293.0,0.0017321845516562462,True,1.7596631253524186,2.69384243985901
syk,29,34,7.4284726923162285,0,1,,-96.73545574211667,247.5409768874023,-679851.290902747,-641072.1588215041,-38774.93723485618,-679835.1902965843,564.0,0.0018558783922344446,True,1.7492305919940474,2.643474943615662
syk,30,35,8.421740573871869,0,1,,-102.81292540929219,-56.31000409011044,-677291.9434383783,-641072.1588215041,-36215.32622645933,-677289.1597390564,294.0,0.001970069482922554,True,2.7139232150084434,2.7582494862843623
syk,31,31,6.332760332616543,0,1,,-101.0815686852329,155.4252678897118,-677805.8013605595,-641072.1588215041,-36729.259227374045,-677792.2670424627,348.0,0.00198680954053998,True,1.7571070604122065,2.6168437259750394
syk,32,2,6.94817881430349,0,1,,-99.17275757089868,111.33180207727946,-677805.7724422852,-641072.1588215041,-36729.313082983856,-677794.7141677681,440.0,0.0016238410025835037,True,1.8016460638419558,2.640217603475731
syk,33,39,7.783924729243751,0,1,,-120.84393324150655,-54.538809776063324,-689141.9720796089,-641072.1588215041,-48064.57296918677,-689138.791146609,383.0,0.001757040387019515,True,2.2966186418243844,2.7316752831387414
syk,34,40,8.586580802268646,-1,1,,-258.4546379152999,-120.54236285013002,-689210.7938848003,-641072.1588215041,-48127.42740943585,-689204.7130899923,383.0,0.0017348505789414048,True,2.4542934924203554,2.588471340517589
syk,35,41,8.052067323164506,-1,1,,-177.65363303080375,-124.58451705925545,-688138.2633391432,-641072.1588215041,-47058.40072697747,-688135.7354812963,239.0,0.001941380207426846,True,2.684037314267827,2.720312278789945
syk,36,42,7.188387280685111,-1,1,,-239.9618756582499,-143.56362482142154,-686188.3106244911,-641072.1588215041,-45105.746071196874,-686183.9559333173,1000.0,0.004663568921387196,False,2.7081264828976854,2.611799300709957
syk,37,43,9.077363699412414,-1,1,,-244.73224850940667,-153.93534542096015,-688141.2352081401,-641072.1588215041,-47058.463791900314,-688137.3882995388,698.0,0.001962816109880805,True,2.460407217677798,2.5861831582629575
syk,38,44,7.960048239252084,0,1,,-110.03833731462072,-51.05681623461944,-689140.9772689082,-641072.1588215041,-48064.04673347417,-689138.1752935216,363.0,0.0015977148432284594,True,2.461026186939736,2.6958733606785805
syk,39,45,8.82550628304132,-1,1,,-240.40036293799758,-151.99787369591883,-690003.8947398334,-641072.1588215041,-48921.31117193112,-689999.9840552489,433.0,0.0018888624617829919,True,2.526852869978593,2.6855367089812527
syk,40,46,7.819571453105668,0,1,,-123.04770963337008,-69.90664333878411,-689219.9281277726,-641072.1588215041,-48142.43345256129,-689217.3047735833,543.0,0.0018769132439047098,True,2.3637572385081294,2.7020483174055183
syk,41,48,8.368046052994266,0,1,,-125.32865651500356,-67.46878608214269,-687610.515801471,-641072.1588215041,-46532.92221504126,-687607.6038543347,431.0,0.0019944696687161922,True,2.470451890509492,2.7069956474139425
syk,42,49,8.659144650456492,-1,1,,-252.4848352771566,-145.1510528141156,-703594.9126295721,-641072.1588215041,-62511.80502935156,-703589.7379009761,921.0,0.0019227538723498583,True,2.4727646205071334,2.582915819474541
syk,43,51,7.933249571456237,0,1,,-115.33952274188135,-63.32525625648925,-689141.2548438883,-641072.1588215041,-48064.09442729686,-689137.1795473614,447.0,0.0018170964904129505,True,2.5740720462168065,2.727933812065888
