system,mol_id,source_index,paff,formal_charge,pocket_charge,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A,eint_rank,pre_eint_rank,experimental_rank
syk,34,40,8.586580802268646,-1,1,,-258.4546379152999,-120.54236285013002,-689210.7938848003,-641072.1588215041,-48127.42740943585,-689204.7130899923,383.0,0.0017348505789414,True,2.4542934924203554,2.588471340517589,1.0,6.0,8.0
syk,42,49,8.659144650456492,-1,1,,-252.4848352771566,-145.1510528141156,-703594.9126295721,-641072.1588215041,-62511.80502935156,-703589.7379009761,921.0,0.0019227538723498,True,2.4727646205071334,2.582915819474541,2.0,3.0,6.0
syk,37,43,9.077363699412414,-1,1,,-244.73224850940667,-153.93534542096015,-688141.2352081401,-641072.1588215041,-47058.46379190032,-688137.3882995388,698.0,0.0019628161098808,True,2.460407217677798,2.586183158262957,3.0,1.0,2.0
syk,39,45,8.82550628304132,-1,1,,-240.4003629379976,-151.99787369591883,-690003.8947398334,-641072.1588215041,-48921.31117193112,-689999.9840552489,433.0,0.0018888624617829,True,2.526852869978593,2.6855367089812527,4.0,2.0,4.0
syk,36,42,7.188387280685111,-1,1,,-239.9618756582499,-143.56362482142154,-686188.3106244911,-641072.1588215041,-45105.74607119688,-686183.9559333173,1000.0,0.0046635689213871,False,2.708126482897685,2.611799300709957,5.0,4.0,40.0
syk,35,41,8.052067323164506,-1,1,,-177.65363303080375,-124.58451705925545,-688138.2633391432,-641072.1588215041,-47058.40072697747,-688135.7354812963,239.0,0.0019413802074268,True,2.684037314267827,2.720312278789945,6.0,5.0,21.0
syk,9,11,9.3582410616609,0,1,,-125.62078418813311,364.01144340215416,-680843.2904018856,-641072.1588215041,-39765.68414760107,-680820.9795778787,396.0,0.0019720348063856,True,1.7595987319605766,2.717442363579588,7.0,43.0,1.0
syk,41,48,8.368046052994266,0,1,,-125.32865651500356,-67.46878608214269,-687610.515801471,-641072.1588215041,-46532.92221504126,-687607.6038543347,431.0,0.0019944696687161,True,2.470451890509492,2.7069956474139425,8.0,9.0,13.0
syk,40,46,7.819571453105668,0,1,,-123.04770963337008,-69.90664333878411,-689219.9281277726,-641072.1588215041,-48142.43345256129,-689217.3047735833,543.0,0.0018769132439047,True,2.3637572385081294,2.7020483174055183,9.0,8.0,27.0
syk,33,39,7.783924729243751,0,1,,-120.84393324150656,-54.53880977606333,-689141.9720796089,-641072.1588215041,-48064.57296918677,-689138.791146609,383.0,0.0017570403870195,True,2.2966186418243844,2.7316752831387414,10.0,13.0,28.0
syk,4,6,8.679351499003747,0,1,,-116.81208816049734,19.0162324734822,-690607.4430926034,-641072.1588215041,-49530.21881953156,-690600.5303402042,251.0,0.001818093471229,True,1.9095104126220743,2.7659602159046983,11.0,18.0,5.0
syk,43,51,7.933249571456237,0,1,,-115.33952274188135,-63.32525625648925,-689141.2548438883,-641072.1588215041,-48064.09442729686,-689137.1795473614,447.0,0.0018170964904129,True,2.5740720462168065,2.727933812065888,12.0,11.0,24.0
syk,8,10,8.855474309837364,0,1,,-111.2590306639626,37.14144559128785,-679867.0551040572,-641072.1588215041,-38790.07163434954,-679859.5815919188,311.0,0.0016227816231548,True,2.208543643468577,2.59642318525161,13.0,20.0,3.0
syk,13,15,8.120656363076128,0,1,,-110.62800630345748,-23.76841920575743,-676691.732397148,-641072.1588215041,-35614.77629124653,-676686.8600535144,285.0,0.0014335877494886,True,2.233681554247435,2.7302500302574457,14.0,16.0,17.0
syk,7,9,8.114977666010255,0,1,,-110.31270417226732,-71.85418526781318,-677728.0228134515,-641072.1588215041,-36651.08038034446,-677725.6142326011,236.0,0.001981814391911,True,2.842991562479144,2.7491139777766933,15.0,7.0,18.0
syk,38,44,7.960048239252084,0,1,,-110.03833731462072,-51.05681623461944,-689140.9772689082,-641072.1588215041,-48064.04673347417,-689138.1752935216,363.0,0.0015977148432284,True,2.461026186939736,2.6958733606785805,16.0,15.0,23.0
