system,n_requested,preparation,scoring,n_scored,n_errors,exclusion_or_error,post_spearman,post_pearson,post_kendall,pre_spearman,pre_pearson,pre_kendall
tnks2,27,prepared,ready,27,0,"""""",-0.06838650667372115,0.07932122633540613,-0.06847367880174607,0.16486032858843486,0.20962663975297355,0.08559209850218258
p38,34,prepared,ready,34,0,"""""",0.44257550363729237,0.45024296796679514,0.31419122563557833,0.5031352477424643,0.4641705266154315,0.35368955114405104
hif2a,41,prepared,ready,41,0,"""""",0.255958894713472,0.34197250370684296,0.17780773467022218,-0.22249338038934086,-0.24801515048991288,-0.15083000940991262
mcl1,42,prepared,completed_with_errors,41,1,"""""",0.6042946127078836,0.5206799479807398,0.4014643822284119,0.25863495821388305,0.21528520554894606,0.15741308604092746
cdk8,32,prepared,ready,32,0,"""""",0.33961344501425644,0.4150425164739959,0.25644924100689204,0.6235435167388379,0.31442824696872274,0.4492990702440748
cmet,24,prepared,ready,24,0,"""""",0.5769656167329015,0.6250321127350076,0.43226053255946034,0.24515595639292342,0.24858309971505807,0.16850834320114558
tyk2,16,prepared,ready,16,0,"""""",0.5852941176470587,0.6246320439570889,0.4666666666666666,0.5735294117647058,0.6058725687439743,0.41666666666666663
thrombin,11,excluded_chemistry,not_prepared,0,0,"[{""residue"": ""H:2002::NA"", ""distance_A"": 2.49, ""reason"": ""nearby sodium ion requires dedicated treatment""}]",,,,,,
eg5,28,prepared,ready,28,0,"""""",0.5023988166959581,0.5953275833840527,0.3592816107490144,0.40427618910340335,0.5626825232759071,0.278845429238041
syk,44,prepared,completed_with_errors,43,1,"""""",0.5414731759059724,0.37097156838772344,0.3590028251782679,0.3691622307912842,0.2869247614173854,0.2747922859389211
pfkfb3,40,excluded_chemistry,not_prepared,0,0,"[{""residue"": ""A:602: :POP"", ""resname"": ""POP"", ""distance_A"": 2.468743405054469, ""elements"": [""H"", ""O"", ""P""], ""reason"": ""cofactor/substrate requires dedicated treatment""}]",,,,,,
cdk2,16,prepared,completed_with_errors,13,3,"""""",0.8351648351648352,0.6587758144899207,0.6410256410256409,-0.34615384615384615,-0.5856486791098379,-0.2051282051282051
ptp1b,23,prepared,ready,23,0,"""""",0.770906341670855,0.7237195226907526,0.6227855068812076,0.7258790778120311,0.7638003818899471,0.5828633590042072
jnk1,21,prepared,ready,21,0,"""""",0.7190646692982113,0.6698397927550277,0.5298344445383628,0.22539786833466965,0.6276818204027116,0.14797178180801124
shp2,26,prepared,completed_with_errors,24,2,"""""",0.6965217391304346,0.68109821002545,0.5,0.7104347826086955,0.7405969165931731,0.5
bace,36,prepared,ready,36,0,"""""",0.18672335888972222,0.1581531839677627,0.12460318273034572,-0.4373189839927562,-0.11184815210365154,-0.2779609460907712
