system,mol_id,source_index,paff,formal_charge,pocket_charge,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A
tnks2,0,0,6.26874109866682,0,-1,,-54.3181682235419,-47.614748502846744,-526793.0901689964,-507091.48809792736,-19699.246612359937,-526792.6611737866,359,0.0019796499982476234,True,2.807078179516922,2.8290212804439077
tnks2,1,1,7.285315270298037,0,-1,,-54.07325746811953,-31.240161781391468,-529908.1268795273,-507091.48809792736,-22814.29394322645,-529906.7189352509,288,0.001973617821931839,True,2.732586046799727,2.884739777410832
tnks2,2,2,8.06193967019358,0,-1,,-52.28713607766699,-32.32126680721991,-531070.0402463402,-507091.48809792736,-23976.284763593478,-531068.8347489428,185,0.0019728410989046097,True,2.7906706328692135,2.910229732196678
tnks2,3,3,8.445225852675451,0,-1,,-49.58916151408585,-32.239157884418034,-533769.5114521026,-507091.48809792736,-26675.87296460605,-533768.4478338865,183,0.0018262098310515285,True,2.7569917700359494,2.894017597345252
tnks2,4,4,7.52424075107071,0,-1,,-65.79826297071551,-45.640383654274146,-534746.8715939748,-507091.48809792736,-27652.530213313014,-534745.6274054255,529,0.0015825160080567002,True,2.702263542458269,2.800345414290498
tnks2,5,5,7.399279351108584,0,-1,,-66.85913218984223,-43.11631779146806,-537446.2391852755,-507091.48809792736,-30351.851800970355,-537444.8618177316,392,0.001970085082575679,True,2.7115920290186124,2.790643473508583
tnks2,6,6,7.922252252304658,0,-1,,-69.0182237506423,-48.388228892690414,-544552.2886822671,-507091.48809792736,-37457.807670890405,-544551.1164399581,383,0.0019989972934126854,True,2.728031165535776,2.8013169966994633
tnks2,7,7,7.4102766702601635,0,-1,,-60.4474373989234,-28.264319711558795,-544551.8944971159,-507091.48809792736,-37457.78515021199,-544550.2058800214,524,0.001983327092602849,True,2.7914293549048526,2.7646153310304764
tnks2,8,8,8.855474309837364,0,-1,,-62.38487278981841,-45.47110166424238,-533116.635028824,-507091.48809792736,-26022.44166676985,-533115.5761714255,386,0.00199852604418993,True,2.8030883437077665,2.793621228421044
tnks2,9,9,7.679170177828881,0,-1,,-64.34666182480561,-42.85967127005014,-534746.6705721971,-507091.48809792736,-27652.392138918724,-534745.4050361576,396,0.001970534212887287,True,2.709860937151824,2.789427312389875
tnks2,10,10,7.367864731819399,0,-1,,-72.35290401666705,-49.4767799964955,-535162.4645157079,-507091.48809792736,-28067.838898908587,-535161.2176269768,428,0.0019264859147369862,True,2.799005286289516,2.8028291123540656
tnks2,11,11,7.887484391064238,0,-1,,-63.301041140917754,-43.86546032443578,-532047.2656659962,-507091.48809792736,-24953.03257512223,-532046.0922161965,509,0.00198837136849761,True,2.707062841988171,2.803061405368364
tnks2,12,12,8.037667120656659,0,-1,,-63.02797339781641,-42.329576129763666,-537446.309249676,-507091.48809792736,-30352.08800014002,-537445.0858379648,452,0.001854988862760365,True,2.627004697852343,2.7894523900765527
tnks2,13,13,7.700363561904325,0,-1,,-53.153883668997565,-37.14400546212675,-539999.1201672737,-507091.48809792736,-32905.32709879404,-539998.1503887346,361,0.0018345136195421219,True,2.774881671864735,2.9061690946101684
tnks2,14,14,8.126409172662191,0,-1,,-62.29400991111771,-39.25841858884832,-537445.9864101876,-507091.48809792736,-30351.796988320773,-537444.743577306,400,0.0017516470979899168,True,2.6725265812405214,2.7843686794867826
tnks2,15,15,7.98025508779934,0,-1,,-60.98204050694257,-41.20419488350461,-534746.7405158938,-507091.48809792736,-27652.60798640501,-534745.5915845655,518,0.0019979020580649376,True,2.630635792096558,2.791707869876526
tnks2,16,16,9.302713304670675,0,-1,,-58.69492312597989,-41.634868069083254,-535816.0673934515,-507091.48809792736,-28722.034042759205,-535815.0559441008,363,0.0013906159438192844,True,2.7516273440475687,2.78491183196153
tnks2,17,17,7.855293687837214,0,-1,,-52.93151319511397,-39.46151716507432,-538930.2431361156,-507091.48809792736,-31836.459710532377,-538929.3277388967,401,0.001128789852373302,True,2.7839794472218604,2.920458086829374
tnks2,18,18,7.302351361495658,0,-1,,-63.62857928214164,-25.15891938061866,-544551.7712032227,-507091.48809792736,-37457.52390895058,-544549.8251016524,350,0.001432057935744524,True,2.514181283482796,2.7675356947664627
tnks2,19,19,6.156015955457939,0,-1,,-56.17368260666478,-31.10646203885664,-535182.9804002381,-507091.48809792736,-28089.05638088251,-535181.3492305956,298,0.001890075276605785,True,2.7825683893896533,2.7735605935087655
tnks2,20,20,7.922252252304658,0,-1,,-57.72041062422213,-50.4611459764079,-537816.5475178956,-507091.48809792736,-30722.556426065035,-537815.2710389243,287,0.0018410782795399427,True,2.7865248319165237,2.8190451743023353
tnks2,21,21,8.74631076264591,0,-1,,-55.22044578622287,-48.109389345318554,-538885.8242174294,-507091.48809792736,-31791.941534334674,-538884.5575136225,266,0.0017244352493435144,True,2.7865248319165237,2.829089930140111
tnks2,22,22,7.421559252697001,1,-1,,-89.9121432717604,-77.37169822542916,-539022.8453750006,-507091.48809792736,-31927.458317519817,-539021.929617683,448,0.00195184419862926,True,2.813895439799352,2.8449759501990592
tnks2,23,23,9.156559219807823,1,-1,,-86.73280006464968,-76.74852362762608,-537392.6009761266,-507091.48809792736,-30297.351788016073,-537391.7988696595,176,0.0019131845328956842,True,2.783889091920063,2.863801251597914
tnks2,24,24,7.509997163699868,0,-1,,-58.13318909555951,-49.951520706061835,-540080.2748290827,-507091.48809792736,-32986.26583748345,-540079.2982929852,268,0.0019824791233986616,True,2.7865248319165237,2.854020209723232
tnks2,25,25,8.659144650456492,0,-1,,-54.79911042666047,-48.637707625404964,-538450.0402470939,-507091.48809792736,-31356.175834829628,-538449.0820315788,270,0.0016437740996479988,True,2.7865248319165237,2.877418975177602
tnks2,26,28,8.82550628304132,0,-1,,-61.48030253669248,-32.72071496957864,-540000.0888044565,-507091.48809792736,-32905.934668281145,-539998.065816598,430,0.0019569634459912777,True,2.5856010459712775,2.74313680723432
