system,mol_id,source_index,paff,formal_charge,pocket_charge,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A,eint_rank,pre_eint_rank,experimental_rank
tnks2,22,22,7.421559252697001,1,-1,,-89.9121432717604,-77.37169822542916,-539022.8453750006,-507091.48809792736,-31927.458317519817,-539021.929617683,448,0.0019518441986292,True,2.813895439799352,2.8449759501990592,1.0,1.0,20.0
tnks2,23,23,9.156559219807823,1,-1,,-86.73280006464968,-76.74852362762608,-537392.6009761266,-507091.48809792736,-30297.351788016076,-537391.7988696595,176,0.0019131845328956,True,2.783889091920063,2.863801251597914,2.0,2.0,2.0
tnks2,10,10,7.367864731819399,0,-1,,-72.35290401666705,-49.4767799964955,-535162.4645157079,-507091.48809792736,-28067.838898908587,-535161.2176269768,428,0.0019264859147369,True,2.799005286289516,2.8028291123540656,3.0,5.0,23.0
tnks2,6,6,7.922252252304658,0,-1,,-69.0182237506423,-48.388228892690414,-544552.2886822671,-507091.48809792736,-37457.807670890405,-544551.1164399581,383,0.0019989972934126,True,2.728031165535776,2.8013169966994638,4.0,7.0,12.5
tnks2,5,5,7.399279351108584,0,-1,,-66.85913218984223,-43.11631779146806,-537446.2391852755,-507091.48809792736,-30351.851800970355,-537444.8618177316,392,0.0019700850825756,True,2.7115920290186124,2.790643473508583,5.0,13.0,22.0
tnks2,4,4,7.52424075107071,0,-1,,-65.79826297071551,-45.64038365427415,-534746.8715939748,-507091.48809792736,-27652.530213313014,-534745.6274054255,529,0.0015825160080567,True,2.702263542458269,2.800345414290498,6.0,10.0,18.0
tnks2,9,9,7.679170177828881,0,-1,,-64.34666182480561,-42.85967127005014,-534746.6705721971,-507091.48809792736,-27652.392138918724,-534745.4050361576,396,0.0019705342128872,True,2.709860937151824,2.789427312389875,7.0,14.0,17.0
tnks2,18,18,7.302351361495658,0,-1,,-63.62857928214164,-25.15891938061866,-544551.7712032227,-507091.48809792736,-37457.52390895058,-544549.8251016524,350,0.0014320579357445,True,2.514181283482796,2.7675356947664627,8.0,27.0,24.0
tnks2,11,11,7.887484391064238,0,-1,,-63.30104114091776,-43.86546032443578,-532047.2656659962,-507091.48809792736,-24953.03257512223,-532046.0922161965,509,0.0019883713684976,True,2.707062841988171,2.803061405368364,9.0,12.0,14.0
tnks2,12,12,8.037667120656659,0,-1,,-63.02797339781641,-42.32957612976367,-537446.309249676,-507091.48809792736,-30352.08800014002,-537445.0858379648,452,0.0018549888627603,True,2.627004697852343,2.7894523900765527,10.0,15.0,10.0
tnks2,8,8,8.855474309837364,0,-1,,-62.38487278981841,-45.47110166424238,-533116.635028824,-507091.48809792736,-26022.44166676985,-533115.5761714255,386,0.0019985260441899,True,2.8030883437077665,2.793621228421044,11.0,11.0,3.0
tnks2,14,14,8.126409172662191,0,-1,,-62.29400991111771,-39.25841858884832,-537445.9864101876,-507091.48809792736,-30351.796988320773,-537444.743577306,400,0.0017516470979899,True,2.672526581240521,2.7843686794867826,12.0,19.0,8.0
tnks2,26,28,8.82550628304132,0,-1,,-61.48030253669248,-32.72071496957864,-540000.0888044565,-507091.48809792736,-32905.934668281145,-539998.065816598,430,0.0019569634459912,True,2.585601045971277,2.74313680723432,13.0,21.0,4.0
tnks2,15,15,7.98025508779934,0,-1,,-60.98204050694257,-41.20419488350461,-534746.7405158938,-507091.48809792736,-27652.60798640501,-534745.5915845655,518,0.0019979020580649,True,2.630635792096558,2.791707869876526,14.0,17.0,11.0
