system,mol_id,source_index,paff,formal_charge,pocket_charge,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A,eint_rank,pre_eint_rank,experimental_rank
tyk2,14,14,8.02052755160066,0,2,,-72.38248147502547,-65.97042922275905,-629319.6545785991,-576409.6083991721,-52906.9073779551,-629318.9444881107,230,0.0017079702811315,True,2.840809925689095,2.836734441633609,1.0,1.0,5.0
tyk2,13,13,8.269794525638703,0,2,,-66.75771640278906,-60.50346273570303,-639315.5304733095,-576409.6083991721,-62903.02718556434,-639314.8743872683,219,0.0019859634339809,True,2.8569663136367125,2.8436134519114717,2.0,2.0,3.0
tyk2,0,0,8.57771247013573,0,2,,-65.43601622862569,-56.37902563919173,-629510.0727930657,-576409.6083991721,-53097.6268196647,-629509.3349202921,219,0.0019945127423852,True,2.864425697437601,2.852487882662518,3.0,4.0,1.0
tyk2,11,11,7.719941153204685,0,2,,-63.90520827158671,-57.215616488855225,-627280.9037086582,-576409.6083991721,-50868.52411737302,-627280.349535647,202,0.0019072527065873,True,2.82624449951298,2.7627531880779728,4.0,3.0,6.0
tyk2,7,7,6.5835773770061055,0,2,,-63.18666691079629,-54.687052258030505,-626751.4419780984,-576409.6083991721,-50339.09354571567,-626750.8757486345,195,0.0019359795842319,True,2.8082470813910394,2.886952514232373,5.0,5.0,13.0
tyk2,2,2,5.681818181818182,0,2,,-62.41017292081643,-54.26488782980612,-629920.4073974448,-576409.6083991721,-53508.09263702846,-629919.5051437906,491,0.0018983290065079,True,2.84128278058127,3.023244886019096,6.0,6.0,15.0
tyk2,4,4,7.00879796159582,0,2,,-60.42589232342444,-52.06641634746427,-627879.6096224658,-576409.6083991721,-51467.3809086001,-627878.9266251313,246,0.0015529346419498,True,2.8374559651515394,2.8355765226465084,7.0,8.0,9.0
tyk2,15,15,8.29178916394186,0,2,,-58.90064756775463,-51.42022354796854,-626810.45820738,-576409.6083991721,-50398.29563438691,-626809.8530127646,216,0.0017157172551378,True,2.869441792854562,2.849935233171403,8.0,9.0,2.0
tyk2,12,12,8.049853036830152,0,2,,-58.02593159302855,-52.695131466623074,-627879.7467506356,-576409.6083991721,-51467.62210891715,-627879.101252839,184,0.0016902245115488,True,2.877617484340036,2.901680567595598,9.0,7.0,4.0
tyk2,9,9,6.752199441456725,0,2,,-56.86313772398253,-49.77644504383796,-626751.797711481,-576409.6083991721,-50339.72349327713,-626751.2801485489,209,0.0018264862010255,True,2.8418404489802622,2.764001055851777,10.0,11.0,11.0
tyk2,8,8,7.170087780770667,0,2,,-56.70485536663733,-49.76380611905598,-625774.8305367794,-576409.6083991721,-49362.76318234815,-625774.3167128426,190,0.0018778711091727,True,2.85265691846287,2.811759297898425,11.0,12.0,7.0
tyk2,1,1,7.111436810311683,0,2,,-56.36126838550327,-51.28497813620085,-627879.5767690822,-576409.6083991721,-51467.52431399268,-627878.9160788727,244,0.0019758709240704,True,2.9398023799133988,2.9188031453695165,12.0,10.0,8.0
tyk2,3,3,6.994134869393714,0,2,,-55.081525515876905,-48.00478247109686,-624705.5451023306,-576409.6083991721,-48293.54814214428,-624705.0392577603,238,0.0019496573368087,True,2.83654811830787,2.832041339810732,13.0,14.0,10.0
tyk2,10,10,6.598240469208211,0,2,,-54.37496277957728,-49.261221773316585,-628949.5499770149,-576409.6083991721,-52537.58365628869,-628948.7228869476,175,0.0018518264405429,True,2.974055847215376,3.074923143228574,14.0,13.0,12.0
tyk2,6,6,6.055718642875246,0,2,,-51.94643432584004,-45.90967243911109,-626843.9358560957,-576409.6083991721,-50432.07484633057,-626843.0337798854,187,0.0019229459576308,True,2.9903943237026978,3.1101386498881247,15.0,16.0,14.0
tyk2,5,5,5.439882753881191,0,2,,-47.93308317118142,-46.05097389903559,-627913.0660628177,-576409.6083991721,-51501.37908843035,-627911.6641237137,531,0.0019876575097441,True,2.698968692138338,3.1711893079951503,16.0,15.0,16.0
