layer,uniprot,mol_id,paff,pocket_charge,smina_affinity_kcal_mol,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A
L1,P0C6U8,20305,6.0458,-3,-6.53317,,-64.0444645507168,-52.659448524353145,-636466.5934058627,-595148.5756568993,-41315.24051812655,-636462.7903472058,288,0.0019272177014499903,True,3.1230634486304454,2.7420621398059244
L1,P0C6U8,20766,7.5229,-3,-9.00076,,-58.05235122323808,-40.74754717499783,-640533.4977224019,-595148.5756568993,-45382.40467729269,-640530.2868688592,483,0.0019347605993971229,True,2.81916699499885,2.7600270224397487
L1,P0C6U8,34868,7.2757,-3,-8.41051,,-73.69115579134063,-53.126398400980015,-635729.808618114,-595148.5756568993,-40578.037410253295,-635727.3484024475,329,0.0019701982382684946,True,2.8715745314764023,2.7210256357344176
L1,P0C6U8,48138,7.3979,-3,-8.54161,,-75.49389730288728,-57.40277713661299,-638330.8505975584,-595148.5756568993,-43179.00121542691,-638328.5459782513,388,0.0018349146703258157,True,2.8906257745739596,2.6659809324181913
L1,P0C6U8,52582,7.2757,-3,-7.53969,,-71.09860804291556,-46.49000375226925,-649385.5728395777,-595148.5756568993,-54233.91405522781,-649382.3566761203,470,0.001493586227297783,True,2.9162955576009653,2.9551772114496475
L1,P0C6U8,56675,7.699,-3,-7.90287,,-57.75257808873793,-30.935566988470143,-643292.688663061,-595148.5756568993,-48141.608617345286,-643289.7468434643,1000,0.05642859637737274,False,2.898077733650323,2.7422548761689347
L1,P0C6U8,60488,7.8239,-3,-7.75724,,-63.14942316863003,-38.39059536225524,-645377.0932264533,-595148.5756568993,-50225.779151384944,-645373.3077631375,692,0.001787232351489365,True,3.0220808489534807,3.0572076573252036
L1,P0C6U8,72398,7.301,-3,-7.15286,,-8.761470672311233,39.937240048787814,-649078.7739815924,-595148.5756568993,-53929.81839136559,-649075.3213214407,518,0.0017922412371262908,True,2.854074893617009,2.9203734709284492
L1,P0C6U8,85332,7.284,-3,-8.768,,-59.648308822317944,-42.550106222429484,-634626.0159204617,-595148.5756568993,-39474.85366808087,-634622.951587779,455,0.0018721608212217689,True,2.858260726840099,2.7951347152600086
L1,P0C6U8,93662,7.2757,-3,-8.41051,,-73.7015902024074,-53.12599443646885,-635729.8088712749,-595148.5756568993,-40578.037210935356,-635727.3483782385,340,0.0019006631337106228,True,2.8715745314764023,2.719949102516723
