mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,input_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,initial_interaction_ligand_ev,interaction_geometry,complex_bound_ev,pocket_ev,complex_initial_ev,complex_minimization_steps,complex_final_max_force_ev_a,complex_optimization_converged,gas_bound_ev,interaction_ligand_ev,interaction_model,desolvation_gas_model,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet_interaction_rank,aimnet2_score_rank
8816,L1:Q6GI75:8816,0,39,0,6.4802,Cn1c(C2CC(=O)N(c3cccc(Br)c3Cl)C2)nc2ccccc21,-8.31623,8.31623,-56.13007751058528,21.611940493378736,-28.763447304186325,-108007.89167767168,fixed_pocket_aimnet2025_minimized_v2,-386474.27352861955,-278463.50607530365,-386472.6450541026,382,0.00192106026224792,True,-108016.43294935429,-108008.33342278363,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-108016.83656176277,-108017.27852694217,9.307523250817164,10.191959159055243,-36.630595100712874,265,0,3,0.0017789838602766395,True,,8.0,7.0
17359,L1:Q6GI75:17359,0,42,1,6.7595,Cc1c(Br)cccc1N1CC(c2nc3ccccc3n2C)CC1=O,-8.37366,8.37366,-56.8644853428937,14.982380191065868,-30.287106905090866,-96572.34573177918,fixed_pocket_aimnet2025_minimized_v2,-375038.8841271254,-278463.50607530365,-375037.16518034384,546,0.0018874348606914282,True,-96579.02464296688,-96572.91217435166,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-96579.4134547952,-96579.83451937819,8.966213764111346,9.709979955775287,-38.18829162300707,374,0,4,0.0018864141311496496,True,,7.0,5.0
19802,L1:Q6GI75:19802,0,39,2,6.644,Cn1c(C2CC(=O)N(c3cccc(F)c3F)C2)nc2ccccc21,-8.44092,8.44092,-62.09036053452956,-13.358546558801946,-35.85307467841995,-30846.737119732923,fixed_pocket_aimnet2025_minimized_v2,-309313.46636461536,-278463.50607530365,-309311.7979315043,349,0.0018886490724980831,True,-30882.306183495915,-30847.26779644508,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-30882.7611752846,-30883.105543310296,10.49235990547246,7.941315327919072,-43.656685301138026,254,0,3,0.001775022828951478,True,,4.0,1.0
23754,L1:Q6GI75:23754,0,43,3,6.1871,Cc1c(O)cccc1N1CC(c2nc3ccccc3n2C)CC1=O,-8.55052,8.55052,-63.5383964245601,31.14455162978405,-34.4952317412456,-28563.111304228543,fixed_pocket_aimnet2025_minimized_v2,-307029.98752787494,-278463.50607530365,-307028.11323435727,295,0.0018463965971022844,True,-28597.173440652496,-28563.726166925375,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-28597.763054815,-28598.20117023772,13.596825596064141,10.103181660953052,-39.8383891675429,250,0,5,0.0018956399289891124,True,,2.0,4.0
36324,L1:Q6GI75:36324,0,48,4,6.1278,CCCn1c(C2CC(=O)N(c3cccc(Br)c3C)C2)nc2ccccc21,-7.98423,7.98423,-65.0824559829394,3.869777285947064,-25.636060028010878,-98710.82509649498,fixed_pocket_aimnet2025_minimized_v2,-377177.7107126292,-278463.50607530365,-377175.44285657804,620,0.0018994680140167475,True,-98719.88119949008,-98711.38239491999,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-98720.30947631941,-98720.84198167242,9.876298307607371,12.279865163159116,-42.92629251217291,326,0,6,0.0019441506592556834,True,,1.0,2.0
37901,L1:Q6GI75:37901,0,49,5,7.3768,CN(Cc1oc2ccccc2c1C)C(=O)\C=C\c1cnc2NC(=O)CCc2c1,-8.21186,8.21186,-63.53472437675917,45.49823347348479,-34.338841848644584,-33751.02328150885,fixed_pocket_aimnet2025_minimized_v2,-312218.1095515546,-278463.50607530365,-312216.01842993,430,0.001883913530036807,True,-33790.95448569927,-33751.848349840104,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-33791.35977471398,-33791.86718334587,9.346186708870507,11.701121025431906,-42.487416642456765,843,0,7,0.0019227492157369852,True,,3.0,3.0
90964,L1:Q6GI75:90964,0,42,6,7.0269,Cc1c(Br)cccc1N1C[C@@H](c2nc3ccccc3n2C)CC1=O,-8.37849,8.37849,-50.587021049794394,13.289559577315536,-32.30316377196039,-96572.37628243242,fixed_pocket_aimnet2025_minimized_v2,-375038.69978689624,-278463.50607530365,-375037.2831554972,576,0.001980322878807783,True,-96579.164171003,-96573.0000507385,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-96579.54880919143,-96579.83559267933,8.869967341909383,6.613384339745338,-35.10366936813968,395,0,4,0.001916482811793685,True,,10.0,10.0
104905,L1:Q6GI75:104905,0,39,7,6.6383,Cn1c(C2CC(=O)N(c3cccc(Cl)c3Br)C2)nc2ccccc21,-8.37163,8.37163,-57.1142964559862,16.526458956507604,-27.774285747423566,-108007.8786780684,fixed_pocket_aimnet2025_minimized_v2,-386474.2645107324,-278463.50607530365,-386472.58916039445,349,0.0019178010988980532,True,-108016.35871102415,-108008.28172512351,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-108016.76879637693,-108017.28876549883,9.456792892372622,11.990772806071792,-35.666730757541785,301,0,3,0.0014159645652398467,True,,6.0,8.0
125406,L1:Q6GI75:125406,0,43,8,6.7011,COc1c(Br)cccc1N1CC(c2nc3ccccc3n2C)CC1=O,-8.24629,8.24629,-57.841667911905574,40.26921367729,-30.308084457260176,-98618.1024831027,fixed_pocket_aimnet2025_minimized_v2,-377084.4955703118,-278463.50607530365,-377082.9228413401,868,0.0018241500947624445,True,-98626.69813658934,-98618.48124289128,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-98627.0990573658,-98627.6142955379,9.245452741870904,11.881674511830768,-36.7145406582039,448,0,5,0.001970351906493306,True,,5.0,6.0
134127,L1:Q6GI75:134127,0,42,9,6.3675,Cc1c(Cl)cccc1N1CC(c2nc3ccccc3n2C)CC1=O,-8.48952,8.48952,-55.79546821018992,17.112336692110294,-26.970729355710283,-39022.05217086928,fixed_pocket_aimnet2025_minimized_v2,-317488.41555631673,-278463.50607530365,-317486.7278076922,358,0.0015564659843221307,True,-39056.95489452302,-39022.48996051339,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-39057.41725904553,-39057.82872737602,10.662379186463541,9.488685116147474,-35.644403907578905,388,0,4,0.0019539811182767153,True,,9.0,9.0
