layer,uniprot,mol_id,paff,pocket_charge,smina_affinity_kcal_mol,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A
L1,Q86WV6,6252,6.1079,2,-9.06215,,-58.459430822024,-39.544957003786585,-857584.279256665,-820468.4580466496,-37113.286169163366,-857582.6097747887,226,0.0017996554961428046,True,2.8104274637638063,2.762481668225882
L1,Q86WV6,44378,6.4815,2,-9.22073,,-42.082325073502595,-23.631121089013483,-847952.0971812496,-820468.4580466496,-27481.814272268835,-847950.9249114661,464,0.0019631667528301477,True,2.973317607729561,3.040781833224756
L1,Q86WV6,47502,6.4949,2,-9.57742,,-40.416009854074105,-12.969523895053815,-867116.3205253981,-820468.4580466496,-46646.109874684196,-867114.9453954976,203,0.0019511556020006537,True,2.7331634393223267,2.7554589599059898
L1,Q86WV6,55811,7.1739,2,-9.59642,,-45.71913754576485,-26.9259029855977,-921967.612674491,-820468.4580466496,-101497.17205839505,-921966.3619840763,172,0.001961821224540472,True,2.757894069076193,2.749836641250583
L1,Q86WV6,56848,6.567,2,-10.07559,,-38.97731204711037,-16.32168421158268,-857311.0892633254,-820468.4580466496,-36840.94100045318,-857309.7783865692,263,0.0014440910890698433,True,2.781831802916366,2.693437902317271
L1,Q86WV6,71154,7.0655,2,-9.58089,,-43.101851726424286,-21.288301083477734,-854611.6964838224,-820468.4580466496,-34141.36936398156,-854610.4506530232,498,0.001741950400173664,True,2.76610996581725,2.7553383318575753
L1,Q86WV6,76654,6.5607,2,-7.45618,,-23.756968815794796,-15.202410929890439,-867116.0657008047,-820468.4580466496,-46646.57745448292,-867115.0304012307,704,0.001853596419095993,True,3.0043393945710615,3.236398351851063
L1,Q86WV6,101630,7.0269,2,-9.44528,,-33.72342418221885,-23.604975760521768,-864416.7898317325,-820468.4580466496,-43946.869399001305,-864415.8530883882,217,0.0018913340754806995,True,2.755009551687506,2.87506218179757
L1,Q86WV6,110106,7.0809,2,-8.61374,,-94.7084850823451,-27.389789276829408,-904145.0415482123,-820468.4580466496,-83672.47655294302,-904141.3345082332,655,0.0019581441301852465,True,2.43066467721971,2.4476533976593244
L1,Q86WV6,143720,6.7696,2,-7.97032,,-89.41836668786954,-35.8171304577677,-912278.5615327221,-820468.4580466496,-91806.22593869832,-912275.5775204176,835,0.001992673147469759,True,3.0010117200201494,2.5864869964544868
