mol_id,paff,smiles,formal_charge,n_atoms
6252,6.1079,O=C(Nc1ccc(OCCCC(F)(F)F)cc1)c1ccc([N+](=O)[O-])o1,0,38
44378,6.4815,N#Cc1ccc(NC(=O)Nc2c[nH]c3ccc(F)cc23)cc1,0,33
47502,6.4949,O=C(Nc1ccc(C(F)(F)F)cc1)Nc1c[nH]c2cc(F)c(Cl)cc12,0,35
55811,7.1739,O=C(Nc1ccc(C(F)(F)F)cc1)Nc1c[nH]c2ccc(Br)cc12,0,35
56848,6.567,O=C(Nc1ccc(C(F)(F)F)cc1)Nc1c[nH]c2cc(F)c(F)cc12,0,35
71154,7.0655,O=C(Nc1ccc(C(F)(F)F)cc1)Nc1c[nH]c2ccc(F)cc12,0,35
76654,6.5607,O=C(Nc1ccc(C(F)(F)F)cc1F)Nc1c[nH]c2ccc(Cl)cc12,0,35
101630,7.0269,O=C(Nc1cccc(C(F)(F)F)c1)Nc1c[nH]c2ccc(Cl)cc12,0,35
110106,7.0809,Cn1cnc2n(cc(F)c2c1=O)[C@@H]1O[C@@H]2COP(O)(=O)O[C@@H]3[C@@H](COP(O)(=O)O[C@@H]1[C@@H]2O)O[C@H]([C@@H]3F)n1cnc2c(N)ncnc12 |r|,0,70
143720,6.7696,Cn1cnc2c(c(F)cn2[C@@H]2O[C@@H]3COP(=O)(S)O[C@H]4[C@@H](O)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4COP(=O)(O)O[C@@H]2[C@@H]3O)c1=O,0,71
