mol_id,paff,smiles,formal_charge,n_atoms
15830,8.5528,N=C(N)NCCC[C@H](N)C(=O)NCC(=O)N[C@@H](CCNC(=N)NCCCSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(N)=O,0,93
15838,8.5528,N=C(N)NCCC[C@H](N)C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CCCNC(=N)NCCCSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(=O)O,0,113
67197,6.4157,C[C@@H]1CCCC[C@@H]1Oc1ccccc1CN(C)CCN,0,48
96489,7.3188,CN(CCN)Cc1ccccc1OC1CCC(C)(C)CC1,0,51
118699,6.0,c1ccc(cc1)CC2CCN(CC2)CCN,0,38
122709,7.3372,CN(CCN)Cc1ccccc1OCc1ccc(Cl)c(Cl)c1,0,42
123696,7.0809,CC(C)Oc1ccc(-c2c[nH]cc2CNCCN)cc1,0,43
127043,7.5229,N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12)C(O)=O,0,46
127161,7.6778,CNCC(O)CN1CCc2c(C1)cccc2OCc1ccc(cc1)-c1nccs1,0,56
138520,7.1938,C[C@H]1CCCC[C@@H]1Oc1ccccc1CN(C)CCN,0,48
