mol_id,paff,smiles,formal_charge,n_atoms
35301,7.7696,CC(=O)Nc1nnc(s1)S(=O)(=O)N,0,19
35426,7.1938,NS(=O)(=O)c1ccc(CCN2CCC(Nc3ccccc3)CC2)cc1,0,50
35427,6.1481,Cc1ccc(NC2CCN(CCc3ccc(S(N)(=O)=O)cc3)CC2)cc1,0,53
35430,7.0555,CCC(=O)N(c1ccccc1)C2CCN(CC2)CCc3ccc(cc3)S(=O)(=O)N,0,58
35431,6.1669,NS(=O)(=O)c1ccc(CCN2CCC(N(C(=O)CCl)c3ccccc3)CC2)cc1,0,55
35432,6.1746,CCCCCCCCCCC(=O)N(c1ccccc1)C1CCN(CCc2ccc(S(N)(=O)=O)cc2)CC1,0,82
35433,6.1701,CCC(=O)N(c1ccc(C)cc1)C1CCN(CCc2ccc(S(N)(=O)=O)cc2)CC1,0,61
35468,7.0362,C=CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)cc(OC)c1OC,0,51
35485,6.341,N=C(N)c1ccc2nc(-c3cc(CC(=O)N[C@@H](CC(=O)O)C(=O)O)cc(-c4cc(S(N)(=O)=O)ccc4O)c3O)[nH]c2c1,0,66
85942,7.0132,CCCCCCCCCCCCCC(=O)N(c1ccccc1)C1CCN(CCc2ccc(S(N)(=O)=O)cc2)CC1,0,91
