layer,uniprot,mol_id,paff,pocket_charge,smina_affinity_kcal_mol,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A
L1,Q96MU7,23658,6.0,0,-6.93345,,-66.76860126726861,-45.44344836569986,-525696.6169563469,-485857.8059798049,-39835.915615956575,-525693.8229854308,556,0.0019516381435096264,True,3.163542171318872,2.8966911587874145
L1,Q96MU7,24173,6.7447,0,-6.3299,,-42.262744269610856,-8.301144853083626,-537131.5133255995,-485857.8059798049,-51271.87465974654,-537129.6020469131,394,0.0018793870694935322,True,2.915575642660085,2.780671079463631
L1,Q96MU7,43216,6.0132,0,-6.77846,,-50.21265473486077,-34.98421150581914,-525695.7943293977,-485857.8059798049,-39835.81092279866,-525694.2240229768,750,0.0018335535423830152,True,3.069631931768044,3.1070876714716436
L1,Q96MU7,58793,6.0605,0,-6.62311,,-49.703195782599764,-28.40006921943167,-524626.9184887761,-485857.8059798049,-38766.95717440812,-524624.9190602101,678,0.001936713233590126,True,3.0830904507595256,2.937745059660712
L1,Q96MU7,73954,6.0,0,-6.12536,,-47.575645302435625,-18.975814423407634,-538200.2047188224,-485857.8059798049,-52340.33566377522,-538198.330499414,386,0.001933601568453014,True,2.805584524036041,2.715550431083356
L1,Q96MU7,75808,6.2924,0,-6.94643,,-68.45585883921576,-36.39545538228173,-524627.802317653,-485857.8059798049,-38767.02781084941,-524624.9917462039,844,0.001898487564176321,True,3.058400435777771,2.8903364049255784
L1,Q96MU7,76036,6.2291,0,-6.35241,,-43.63010526995594,-34.16570779379471,-535117.0198841362,-485857.8059798049,-49257.32192389826,-535115.3944541189,297,0.0019318725680932403,True,3.2086283706826544,2.8502931157581455
L1,Q96MU7,88977,6.3468,0,-5.07405,,-36.751380202969855,-27.256793937128695,-549501.8864155689,-485857.8059798049,-63642.486745081835,-549500.6777017647,334,0.001964703667908907,True,3.111712323214093,2.84058801206704
L1,Q96MU7,110901,6.0,0,-7.11883,,-59.19982160063357,-52.54508836884019,-525155.8462059894,-485857.8059798049,-39295.473078949486,-525154.4271692679,473,0.0019014721037819982,True,2.9264541401639925,3.0012778644728733
L1,Q96MU7,140320,6.3372,0,-5.08169,,-66.54938553189362,-37.96000143474205,-536997.9265771825,-485857.8059798049,-51137.23474288616,-536995.8207830094,380,0.001898492337204516,True,2.950828021268781,3.0063267063387675
