mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,input_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,initial_interaction_ligand_ev,interaction_geometry,complex_bound_ev,pocket_ev,complex_initial_ev,complex_minimization_steps,complex_final_max_force_ev_a,complex_optimization_converged,gas_bound_ev,interaction_ligand_ev,interaction_model,desolvation_gas_model,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet_interaction_rank,aimnet2_score_rank
4142,L2:O75460:4142,0,81,0,9.5376,CC(C)n1c(=O)c(-c2ccc(NS(=O)(=O)CC3CC(F)(F)C3)c(F)c2)nc2cnc(N[C@H]3CC[C@H](N(C)CCF)CC3)nc21,-9.31291,9.31291,-261.7230612391513,6.301505924462588,-53.5347697355173,-68918.27870666352,fixed_pocket_aimnet2025_minimized_v2,-417904.72334110946,-348976.36642189673,-417896.9666158956,436,0.001982941059395671,True,-68985.31168672288,-68917.00753310267,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-68986.68274201844,-68992.08945764357,31.617286221683166,124.68182427976859,-105.42395073769956,595,0,14,0.0017616336699575186,True,,2.0,2.0
6730,L2:O75460:6730,0,68,1,9.0,CC(C)n1c(=O)c(-c2ccc(NS(=O)(=O)CCC(F)F)c(F)c2)nc2cnc(N[C@@H]3CNC[C@H](CF)C3)nc21,-9.44712,9.44712,-132.73025114644352,-8.253459322566776,-73.54713050913583,-63607.090783930944,fixed_pocket_aimnet2025_minimized_v2,-412590.5323141133,-348976.36642189673,-412586.64651126176,293,0.0013062370708212256,True,-63671.02113227995,-63608.4101637698,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-63671.75569258515,-63673.2999017913,16.939363052578805,35.610310258890195,-80.18057783497451,722,0,12,0.0019838593434542418,True,,7.0,7.0
14710,L2:O75460:14710,0,74,2,10.0,CCCS(=O)(=O)Nc1c(F)cc(-c2nc3cnc(N[C@H]4CC[C@H](N(C)C)CC4)nc3n(C(C)C)c2=O)cc1F,-9.20146,9.20146,-147.7241982732205,27.24025090452288,-42.23940092228853,-60346.933207894326,fixed_pocket_aimnet2025_minimized_v2,-409329.64773019566,-348976.36642189673,-409325.13130357576,456,0.001991044031456113,True,-60406.71834617214,-60346.875380765974,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-60407.284836099076,-60409.619744314106,13.063568055585318,53.84426257282154,-80.81636764481365,490,0,14,0.001968827098608017,True,,3.0,6.0
25683,L2:O75460:25683,0,68,3,8.9586,O=c1c(-c2ccc(NS(=O)(=O)Cc3ccccc3)c(F)c2F)cc2cnc(N[C@@H]3CNC[C@@H](F)C3)nc2n1C1CC1,-11.90853,11.90853,-138.80225027763265,-0.4077962045582111,-67.27543051231672,-63512.82274409534,fixed_pocket_aimnet2025_minimized_v2,-412497.5927897681,-348976.36642189673,-412492.1065047737,529,0.0018872107611969113,True,-63578.93073417257,-63515.20733262136,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-63579.533977232895,-63581.22357558425,13.911115446060865,38.963063595915415,-85.92807123565638,1000,0,8,0.01471263263374567,False,,4.0,4.0
48303,L2:O75460:48303,0,70,4,7.0757,Cc1ccc2c(NS(=O)(=O)CCC(F)(F)F)cccc2c1Oc1ncccc1-c1ccnc(N[C@H]2CCCNC2)n1,-6.75467,6.75467,-65.10585926716918,21.93067519278061,-16.369769753703366,-63548.49294881409,fixed_pocket_aimnet2025_minimized_v2,-412528.6467093044,-348976.36642189673,-412525.56923111284,794,0.001939365640282631,True,-63613.19181973446,-63549.457030139674,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-63613.87886406684,-63614.87125688895,15.843618688742925,22.88512214104354,-26.37711843738272,402,0,11,0.0016505323583260179,True,,10.0,10.0
72342,L2:O75460:72342,0,84,5,9.7447,CC(C)n1c(=O)c(-c2ccc(NS(=O)(=O)CC3CCCCC3)nc2)cc2cnc(N[C@H]3CC[C@H](N(C)C)CC3)nc21,-9.91985,9.91985,-268.5533545907456,-4.3739786325322445,-81.9193147667151,-59191.02779593138,fixed_pocket_aimnet2025_minimized_v2,-408176.3903471545,-348976.36642189673,-408170.9465755331,541,0.0019472528947517276,True,-59247.81406957806,-59188.37834959483,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-59250.079704457414,-59254.68326639073,52.24678150204909,106.16066015453639,-110.14591293416011,678,0,13,0.0014510719338431954,True,,1.0,1.0
84980,L2:O75460:84980,0,68,6,9.0132,CC(C)n1c(=O)c(-c2ccc(NS(=O)(=O)N3CCCC3)c(F)c2)nc2cnc(N[C@@H]3CNC[C@@H](F)C3)nc21,-10.4061,10.4061,-133.77320401394746,-22.14738867439323,-75.33384936628751,-59680.59330704795,fixed_pocket_aimnet2025_minimized_v2,-408663.2781227005,-348976.36642189673,-408660.22651384154,331,0.001606479869224131,True,-59740.66040199729,-59681.110745640166,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-59741.30493732601,-59743.36837496454,14.863337776469907,47.584002358938335,-71.32586387853922,869,0,9,0.0018916395492851734,True,,5.0,8.0
96586,L2:O75460:96586,0,72,7,9.6198,CC(C)n1c(=O)c(-c2ccc(NS(=O)(=O)Cc3ccccc3)c(F)c2)nc2cnc(N[C@@H]3CNC[C@H](CF)C3)nc21,-10.26332,10.26332,-133.67776350865932,15.22527667174448,-66.1067359242877,-62354.074515151624,fixed_pocket_aimnet2025_minimized_v2,-411337.0288430886,-348976.36642189673,-411333.30759643606,348,0.001924874959513545,True,-62417.55662350259,-62354.86560472027,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-62418.220825840326,-62419.74419804392,15.316869778554592,35.129797564765596,-83.23109616533914,579,0,11,0.0014771489659324288,True,,6.0,5.0
100233,L2:O75460:100233,0,68,8,6.2676,O=S(=O)(Cc1ccccc1)Nc1c(F)cc(Oc2ncccc2-c2ccnc(N[C@@H]3CNC[C@@H](CF)C3)n2)c(F)c1F,-11.32057,11.32057,-126.0341583112115,-21.43837188466607,-78.83370172759759,-66213.7951370283,fixed_pocket_aimnet2025_minimized_v2,-415196.6557087562,-348976.36642189673,-415193.5801117845,238,0.0019784660544246435,True,-66281.08830504841,-66214.82392848041,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-66281.79342334576,-66282.8067767258,16.26041422232751,23.368484089729925,-86.40525999915405,540,0,10,0.0019407126819714904,True,,8.0,3.0
127767,L2:O75460:127767,0,72,9,8.8539,CC(C)n1c(=O)c(-c2cc(F)c(NC(=O)C3CC3)c(F)c2F)cc2cnc(N[C@H]3CC[C@H](N(C)C)CC3)nc21,-9.67017,9.67017,-118.65924819285983,32.43341266641515,-61.420530157025226,-50733.226651993464,fixed_pocket_aimnet2025_minimized_v2,-399716.51308007643,-348976.36642189673,-399712.2565201625,380,0.0019067036919295788,True,-50792.169255867404,-50735.00110617181,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-50792.76166420157,-50794.33613796457,13.661260725314868,36.308227519742736,-68.68975994780223,481,0,12,0.0018273036694154143,True,,9.0,9.0
