layer,uniprot,mol_id,paff,pocket_charge,smina_affinity_kcal_mol,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A
L2,O95819,11547,6.3872,2,-8.36945,,-65.68991730598607,-47.06554437228592,-745663.8953322872,-694968.6667956018,-50692.379952263655,-745661.8849676468,353,0.0018400137778371572,True,2.9176507011514476,3.0239310754802857
L2,O95819,16994,7.0,2,-10.31897,,-64.02114304430226,-33.616941301535554,-740130.3311326277,-694968.6667956018,-45158.88811750519,-740127.9153749727,309,0.001845341525040567,True,2.6995460653984313,2.6906018454989287
L2,O95819,17170,6.0132,2,-8.49593,,-73.56927873438276,-49.48579303796092,-726731.3575126969,-694968.6667956018,-31759.50045122301,-726728.9446514519,645,0.001957888016477227,True,2.8372694790027904,2.921261661693398
L2,O95819,35616,7.301,2,-10.3025,,-76.80779254567683,-48.112622661262336,-735654.4356048122,-694968.6667956018,-40682.43810808786,-735652.2320117932,376,0.001850814325734973,True,2.7886556142314403,2.736825033480513
L2,O95819,48976,8.8239,2,-10.16245,,-68.84377579966574,-50.802009816982554,-736076.1999325702,-694968.6667956018,-41104.54778829821,-736074.4370891216,362,0.0016767482738941908,True,2.8041875864989705,2.7379583201419737
L2,O95819,51207,9.301,2,-10.96801,,-70.02022179600868,-46.088939333454285,-732386.9510820743,-694968.6667956018,-37415.247922275485,-732383.853478767,183,0.0018795180367305875,True,2.9106146723915556,2.771513580980944
L2,O95819,84031,6.3565,2,-8.66364,,-74.28036137121528,-58.15736398682993,-728170.5130825229,-694968.6667956018,-33198.62518558744,-728168.7861611667,502,0.0002593475510366261,True,2.802841746872421,2.9159186291699544
L2,O95819,99264,8.0969,2,-6.7597,,-59.06432472160996,-33.47040245601511,-739139.82994849,-694968.6667956018,-44168.601881353985,-739135.6983334725,751,0.00196403032168746,True,2.874506651703374,2.7338886748888234
L2,O95819,104627,6.0506,2,-10.3071,,-54.62207700633459,-30.0695348565033,-737036.3318186974,-694968.6667956018,-42065.29638565435,-737034.7560300608,345,0.001834566704928875,True,2.948416682773499,2.8612487575848564
L2,O95819,140980,9.1192,2,-10.21651,,-85.96745729721644,-55.89083782976061,-732823.5631067301,-694968.6667956018,-37851.16840934864,-732820.8150271487,416,0.0012071500532329082,True,2.98359255166904,2.7513723183609935
