mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,input_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,initial_interaction_ligand_ev,interaction_geometry,complex_bound_ev,pocket_ev,complex_initial_ev,complex_minimization_steps,complex_final_max_force_ev_a,complex_optimization_converged,gas_bound_ev,interaction_ligand_ev,interaction_model,desolvation_gas_model,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet_interaction_rank,aimnet2_score_rank
3680,L2:Q15119:3680,0,45,0,7.8416,C[C@H]1Cc2c(cnn2CC(C)(C)O)-c2onc([C@@](C)(O)C(F)(F)F)c21,-8.90334,8.90334,-75.95624626401218,19.34096173729984,-18.005155353349423,-35661.884675074274,fixed_pocket_aimnet2025_minimized_v2,-409546.42197302845,-373880.70176078554,-409543.36721329344,518,0.0019531050929799676,True,-35701.84813232717,-35662.42643766211,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-35702.36781063707,-35703.350215237224,11.98406652202552,22.654788270830448,-41.31739147115621,387,0,10,0.001962744165211916,True,,2.0,3.0
9129,L2:Q15119:9129,0,55,1,7.3054,C[C@H]1Cn2nc(C34CCC(CO)(CC3)CO4)cc2-c2cnc([C@@](C)(O)C(F)(F)F)n21,-8.91009,8.91009,-75.09034186553333,13.095597139149591,-40.25647186567433,-41380.03424287642,fixed_pocket_aimnet2025_minimized_v2,-415264.53980513994,-373880.70176078554,-415262.48168950435,344,0.001829951535910368,True,-41426.97284277461,-41380.58181894219,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-41427.63734137508,-41428.21650148852,15.323701759483349,13.355749497583538,-46.410890608466445,256,0,8,0.001971285091713071,True,,3.0,2.0
12707,L2:Q15119:12707,0,52,2,8.1249,C[C@H]1Cn2c(nnc2C23CC(C(C)(C)O)(C2)C3)-c2onc([C@@](C)(O)C(F)(F)F)c21,-9.74215,9.74215,-60.59489366022387,64.09715500571049,-26.4389352837405,-40306.73539078787,fixed_pocket_aimnet2025_minimized_v2,-414191.10706146865,-373880.70176078554,-414188.5836523191,298,0.001700692460872233,True,-40352.658756700795,-40307.777657397906,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-40353.63866933734,-40354.46732810088,22.597322224918727,19.10932505181887,-18.88824638348627,313,0,10,0.0019855902064591646,True,,5.0,8.0
27781,L2:Q15119:27781,0,32,3,7.6716,C[C@H]1Cn2nccc2-c2onc([C@@](C)(O)C(F)(F)F)c21,-7.76486,7.76486,-23.930029873740132,-8.430642649172256,-10.461537596746325,-29339.559992245704,fixed_pocket_aimnet2025_minimized_v2,-403221.7278478902,-373880.70176078554,-403220.7154082381,223,0.001630038837902248,True,-29372.19529307833,-29339.98838279468,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-29372.515528871885,-29372.782258291463,7.384812834355564,6.150926538012668,-10.394290501371898,202,0,5,0.001809208421036601,True,,10.0,10.0
59648,L2:Q15119:59648,0,37,4,7.9547,C[C@H]1Cn2nc(C(F)(F)F)cc2-c2cnnc([C@@](C)(O)C(F)(F)F)c21,-8.85453,8.85453,-43.33004062116636,-1.1805276539516796,-14.217515111820191,-39003.736420259425,fixed_pocket_aimnet2025_minimized_v2,-412886.91852148285,-373880.70176078554,-412885.05471085233,631,0.0016266549937427044,True,-39046.297211480836,-39004.33779229901,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-39046.71192189663,-39047.49770989137,9.563449379329583,18.120701637440202,-15.645889604396576,425,0,6,0.001900925999507308,True,,9.0,9.0
82397,L2:Q15119:82397,0,35,5,7.5952,C[C@H]1Cc2c(cnn2C)-c2onc([C@@](C)(O)C(F)(F)F)c21,-7.73144,7.73144,-49.42224532331792,23.677332171590063,-17.58626970403336,-30408.63653007666,fixed_pocket_aimnet2025_minimized_v2,-404291.9570661417,-373880.70176078554,-404290.10090369487,373,0.0016233448404818773,True,-30442.5225705541,-30409.112153958107,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-30443.068282633325,-30443.498063600768,12.584419504678893,9.910984556400683,-26.92684126223834,172,0,6,0.001757617574185133,True,,8.0,7.0
112986,L2:Q15119:112986,0,46,6,7.7305,C[C@H]1Cn2nc(N3CC4CC3C4)cc2-c2cnc([C@@](C)(O)C(F)(F)F)n21,-9.24678,9.24678,-103.99406875066623,4.373340722820941,-52.14215513141528,-35584.11173867824,fixed_pocket_aimnet2025_minimized_v2,-409469.79643894854,-373880.70176078554,-409467.0745973143,635,0.0019580151420086622,True,-35624.46745970436,-35584.58506852517,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-35624.957071228964,-35626.0544460414,11.290709981485024,25.306064350341206,-67.39729441884,436,0,6,0.0019656044896692038,True,,1.0,1.0
113276,L2:Q15119:113276,0,54,7,8.1805,C[C@H]1Cn2nc(C34CCC(C#N)(CC3)CC4)cc2-c2cnc([C@@](C)(O)C(F)(F)F)n21,-9.17724,9.17724,-56.78735259106473,1.6854277236778814,-36.98224499801698,-39797.68659178923,fixed_pocket_aimnet2025_minimized_v2,-413681.18632143224,-373880.70176078554,-413679.99205450196,555,0.001976348226889968,True,-39843.27485512559,-39798.022027969324,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-39843.69814018688,-39844.127849672266,9.761185401859677,9.909336140940113,-37.11683104826494,324,0,6,0.001967267831787467,True,,6.0,4.0
120756,L2:Q15119:120756,0,52,8,7.4763,C[C@H]1Cn2nc(C34CCC(C#N)(CC3)CO4)cc2-c2cnc([C@@](C)(O)C(F)(F)F)n21,-9.07414,9.07414,-63.21006427195712,5.362818881470384,-39.827157907641464,-40773.97479420846,fixed_pocket_aimnet2025_minimized_v2,-414657.66040054517,-373880.70176078554,-414656.40362402116,571,0.0018598729511722922,True,-40820.41012796085,-40774.21759194341,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-40821.05374016045,-40821.57187476373,14.842049913273224,11.948467801564572,-36.41954655711933,518,0,6,0.001903478056192398,True,,4.0,6.0
122387,L2:Q15119:122387,0,54,9,7.9586,C[C@H]1Cn2nc(C34CCC(CO)(CC3)C4)cc2-c2cnc([C@@](C)(O)C(F)(F)F)n21,-8.94842,8.94842,-54.458989119399924,76.3521986944451,-23.958853002059964,-39334.345511919724,fixed_pocket_aimnet2025_minimized_v2,-413218.0145474507,-373880.70176078554,-413216.08622690436,302,0.0019783535972237587,True,-39379.218302898684,-39334.951221384086,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-39379.578070276555,-39379.98142925731,8.29643282529799,9.301679068526548,-36.860877225575386,218,0,8,0.0019431908149272203,True,,7.0,5.0
