layer,uniprot,mol_id,paff,pocket_charge,smina_affinity_kcal_mol,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A
L2,Q8NER1,27152,7.0223,2,-9.63657,,-55.595901400619105,-43.054079472889164,-892317.7767877496,-853276.5750970907,-39038.79082419517,-892316.065832558,729,0.0016006608493626118,True,3.2206743870110026,2.9800082906970946
L2,Q8NER1,35078,6.6498,2,-9.75623,,-49.084520563819325,-33.22738497180788,-889202.7177181294,-853276.5750970907,-35924.014114772326,-889201.0960007545,736,0.0016378021100535989,True,3.1278296062948754,2.961539698758143
L2,Q8NER1,38542,6.1593,2,-10.16139,,-52.75258326300775,-32.771860254591374,-900945.6095469312,-853276.5750970907,-47666.746881320905,-900943.4128202504,1000,0.006506189238280058,False,2.956947117319467,3.0922093676907147
L2,Q8NER1,52263,6.1662,2,-9.54419,,-40.85997524021545,-24.720545946917504,-958716.8941945452,-853276.5750970907,-105438.54724122891,-958715.1178363427,548,0.0013712202198803425,True,3.089281327181098,3.1027510380426566
L2,Q8NER1,62450,6.0297,2,-9.5076,,-39.72305360014127,-28.20941783956596,-891776.6530928406,-853276.5750970907,-38498.35544111277,-891774.8857065653,536,0.0011997640831395984,True,3.1199825527204283,3.1383227284394226
L2,Q8NER1,119254,6.4045,2,-9.23689,,-63.38654619216278,-42.20073691103957,-892654.8029833027,-853276.5750970907,-39375.479185415454,-892652.8545018374,706,0.0010431945556774735,True,3.0054394966370315,3.0437614714996375
L2,Q8NER1,125391,6.3497,2,-9.07439,,-39.11043773359045,-16.567398841356894,-953540.4267148343,-853276.5750970907,-100262.15562864479,-953538.2297820004,354,0.0019446361111477017,True,3.0845162449498886,2.9961773989777
L2,Q8NER1,131041,7.8239,2,-9.98308,,-78.80087835312013,-36.099048118085776,-890575.3459032029,-853276.5750970907,-37295.35367660896,-890572.8477675165,737,0.0018651601858437061,True,2.792115046585646,2.565067354296554
L2,Q8NER1,132261,6.202,2,-10.15633,,-55.21072163411192,-35.195436827039195,-897830.859403696,-853276.5750970907,-44551.89014311714,-897828.632107707,452,0.0014998142141848803,True,3.07460370332392,3.114333646926967
L2,Q8NER1,140296,6.9393,2,-9.71959,,-52.71986541969606,-34.02819786311481,-891777.3566357093,-853276.5750970907,-38498.49538887894,-891775.4123206162,395,0.0010954594472423196,True,2.8735787167970552,3.127161122618832
