layer,uniprot,mol_id,paff,pocket_charge,smina_affinity_kcal_mol,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A
L3,A0A1D8PKB4,1740,6.9586,0,-10.12759,,-53.02482096008451,-35.856192024042706,-621283.5309086799,-594176.680705649,-27104.55082916746,-621282.0782772587,392,0.0018831354100257158,True,2.95454524073176,3.107504303393174
L3,A0A1D8PKB4,3477,6.0044,0,-8.85682,,-65.18689622632,-45.2413565407246,-622006.1074321049,-594176.680705649,-27826.59995509276,-622004.795864163,335,0.0018101115711033344,True,2.8047081445367774,2.5942183187830294
L3,A0A1D8PKB4,10448,7.1079,0,-9.73044,,-64.90034241234207,-35.19200898238309,-622723.3146202121,-594176.680705649,-28543.81956934941,-622721.4004455461,578,0.0018806760199368,True,2.96775027934063,2.6962024627608936
L3,A0A1D8PKB4,21866,6.7447,0,-9.46725,,-73.89532932052099,-29.7253677523677,-638157.7594494518,-594176.680705649,-43977.87433903921,-638154.3704750398,420,0.0019851508550345898,True,2.900854380042844,2.848687128272941
L3,A0A1D8PKB4,38545,6.8861,0,-8.93704,,-80.63180495953198,-35.647849460534985,-655640.8460512203,-594176.680705649,-61460.66881957588,-655637.656888592,518,0.0019325019093230367,True,2.6784267557262096,2.6742416649787226
L3,A0A1D8PKB4,65458,6.1135,0,-9.82226,,-76.82796016275564,-43.28372790236074,-634574.2114128375,-594176.680705649,-40394.19913151535,-634572.1696503337,628,0.0019475026056170464,True,3.1666989643616654,2.564364206160711
L3,A0A1D8PKB4,66338,6.3279,0,-8.75095,,-70.90288651182688,-32.092608047637334,-651552.8656707293,-594176.680705649,-57373.110324918605,-651549.7451220169,484,0.0019590884912759066,True,2.977392286947616,2.7042070747965457
L3,A0A1D8PKB4,69135,6.8861,0,-9.70938,,-63.76663203706604,-33.123512516525686,-622723.7073136503,-594176.680705649,-28544.26142512252,-622721.8671486177,505,0.0019135471666231751,True,2.9616781691681204,2.5923241136456134
L3,A0A1D8PKB4,121070,6.8239,0,-8.66517,,-47.18767111367291,-16.94766836339537,-617950.6920127932,-594176.680705649,-23771.965056055087,-617949.0409278593,591,0.0015069302171468735,True,3.067278808391793,2.813475379852135
L3,A0A1D8PKB4,127503,6.7959,0,-9.78738,,-87.73217615291095,-49.217300666801584,-631567.9085127538,-594176.680705649,-37387.423379872766,-631565.2673948657,717,0.0016928347758948803,True,2.743720915075386,2.6425186516852928
