mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,input_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,initial_interaction_ligand_ev,interaction_geometry,complex_bound_ev,pocket_ev,complex_initial_ev,complex_minimization_steps,complex_final_max_force_ev_a,complex_optimization_converged,gas_bound_ev,interaction_ligand_ev,interaction_model,desolvation_gas_model,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet_interaction_rank,aimnet2_score_rank
1740,L3:A0A1D8PKB4:1740,0,37,0,6.9586,Cc1ccc2c(c(nn2c1)c3ccc(cc3)F)c4ccncc4,-9.31379,9.31379,-88.13304785469987,11.228292455547844,-54.55742957631229,-27103.84547446978,fixed_pocket_aimnet2025_minimized_v2,-277850.84610711434,-250742.8285189147,-277849.0398274478,414,0.001968134194612503,True,-27135.549359990284,-27104.19577752532,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-27135.77007231158,-27136.372945351286,5.0897470420872395,13.902582567901327,-69.14071824471131,395,0,3,0.001778049860149622,True,,6.0,4.0
3477,L3:A0A1D8PKB4:3477,0,39,1,6.0044,CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,-8.07853,8.07853,-77.8085408212279,63.36336705987612,-42.70142938130471,-27826.236723646143,fixed_pocket_aimnet2025_minimized_v2,-278572.6930453844,-250742.8285189147,-278570.9169517958,438,0.0019370324444025755,True,-27859.058848131084,-27826.490428794652,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-27859.70229700038,-27860.340485969136,14.838283426994371,14.716987238937671,-48.25327015529585,251,0,6,0.0017792897997424006,True,,10.0,9.0
10448,L3:A0A1D8PKB4:10448,0,35,2,7.1079,c1cc(ccc1c2c(c3ccc(cn3n2)C#N)c4ccncc4)F,-8.96812,8.96812,-79.69196810734293,11.363052391687448,-45.99025451735466,-28543.197202014413,fixed_pocket_aimnet2025_minimized_v2,-279289.8152247822,-250742.8285189147,-279288.0200471201,523,0.001423680572770536,True,-28576.87178624993,-28543.530935055274,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-28577.294904713377,-28577.868157238907,9.757343564365017,13.21951728400365,-56.715107258974264,318,0,2,0.0017199328867718577,True,,7.0,7.0
21866,L3:A0A1D8PKB4:21866,0,64,3,6.7447,Cc1occc1-c1nc(N)c(OC[C@@H](N)Cc2c[nH]c3ccccc23)cc1-c1cc2c(C)n[nH]c2cn1,-8.89634,8.89634,-298.68030095515377,96.75047174761131,-79.15036345974474,-43977.01306932782,fixed_pocket_aimnet2025_minimized_v2,-294728.66212287877,-250742.8285189147,-294723.27387285436,1000,0.05056387558579445,False,-44023.21420724941,-43972.88160025848,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-44024.963921322,-44031.21177535371,40.349365060868756,144.0789367369678,-114.25199915731721,1000,0,11,0.0056794495321810246,False,,1.0,1.0
38545,L3:A0A1D8PKB4:38545,0,61,4,6.8861,CC(=O)c1cnc2ccc(-c3cc(Cl)c(O)c(Cl)c3)nc2c1N[C@H]1CC[C@H](CN(C)C)CC1,-7.10069,7.10069,-108.42588304297581,22.52021674612009,-48.67890264475918,-61459.26264925894,fixed_pocket_aimnet2025_minimized_v2,-312207.7781241786,-250742.8285189147,-312204.2020851823,1000,0.008311338722705841,False,-61509.04866408075,-61460.2478139691,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-61509.348327603904,-61510.44321447184,6.910405008781567,25.248690987094403,-76.26678704709984,374,0,10,0.0019343808526173234,True,,4.0,3.0
65458,L3:A0A1D8PKB4:65458,0,66,5,6.1135,CNC(=O)c1nn(C)c-2c1C(C)(C)Cc1cnc(Nc3ccc(cc3)N3CCN(C)CC3)nc-21,-8.79006,8.79006,-119.8276046656157,-15.156070558351212,-65.69911113167734,-40393.75238183239,fixed_pocket_aimnet2025_minimized_v2,-291142.07818457595,-250742.8285189147,-291139.4298838508,688,0.001948205754160881,True,-40441.297420482064,-40394.053448921484,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-40441.70226121243,-40442.58904194588,9.335849026330294,20.44964951907892,-90.04210612020648,432,0,10,0.0018202707869932055,True,,3.0,2.0
66338,L3:A0A1D8PKB4:66338,0,41,6,6.3279,Nc1nc(Nc2ccc(cc2)S(N)(=O)=O)n(n1)C(=S)Nc1c(F)cccc1F,-7.60486,7.60486,-139.63047518694506,21.696542300601248,-50.5801097120572,-57371.92252881544,fixed_pocket_aimnet2025_minimized_v2,-308120.2302807059,-250742.8285189147,-308116.94440888026,336,0.0016739037819206715,True,-57418.86637637649,-57371.346811309864,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-57419.70418231813,-57423.25550646814,19.320263989861125,81.895480423302,-38.414730773781926,608,0,8,0.001938780304044485,True,,2.0,10.0
69135,L3:A0A1D8PKB4:69135,0,35,7,6.8861,N#Cc1ccn2c(-c3ccncc3)c(-c3ccc(F)cc3)nc2c1,-8.83502,8.83502,-78.89828358229508,12.176147190646358,-44.16627198764207,-28543.742679681643,fixed_pocket_aimnet2025_minimized_v2,-279290.3144531183,-250742.8285189147,-279288.4864294188,746,0.0007809794042259455,True,-28577.397887392097,-28544.064580809845,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-28577.842450236225,-28578.444504634277,10.251862730731746,13.883704242915732,-54.7627166086476,342,0,2,0.00021505240874830633,True,,8.0,8.0
121070,L3:A0A1D8PKB4:121070,0,33,8,6.8239,c1ccc(-c2[nH]ncc2-c2ccnc3ccccc23)nc1,-7.41282,7.41282,-77.85045455779316,35.845646052951146,-38.46188990461157,-23771.586495137493,fixed_pocket_aimnet2025_minimized_v2,-274518.2607595327,-250742.8285189147,-274516.08287945535,616,0.0011280913604423404,True,-23800.294207962048,-23772.05632539127,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-23800.576442171594,-23801.004049535262,6.50847548867258,9.860860062599057,-61.481119006521524,268,0,2,0.0016738253179937601,True,,9.0,6.0
127503,L3:A0A1D8PKB4:127503,0,56,9,6.7959,Cc1n[nH]c2ccc(-c3cc(OC[C@@H](N)Cc4ccccc4)cnc3-c3ccoc3)cc12,-8.32603,8.32603,-98.44321547858092,71.7614398203113,-51.40770253204126,-37386.31533057593,fixed_pocket_aimnet2025_minimized_v2,-288134.37741779553,-250742.8285189147,-288131.37309846206,467,0.0016109604621306062,True,-37431.402614981795,-37387.279997022924,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-37431.731920541664,-37432.86921590976,7.5939666142635485,26.22665423357508,-64.6225946307423,378,0,9,0.0019610265735536814,True,,5.0,5.0
