layer,uniprot,mol_id,paff,pocket_charge,smina_affinity_kcal_mol,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A
L3,Q00959,2221,7.2441,-2,-5.95092,,-74.43585181422574,-35.10860242165046,-515895.2931451698,-479063.36847956595,-36828.696821566446,-515893.1771338185,524,0.0019447648664936423,True,2.745760164456127,2.733864029204746
L3,Q00959,24323,6.0,-2,-4.69288,,-42.53292126053045,-18.552961283800602,-486801.26830659277,-479063.36847956595,-7736.05542499557,-486800.4693009863,335,0.001963021233677864,True,2.912453275606204,3.0028131441940165
L3,Q00959,43699,7.7447,-2,-6.032,,-86.81097587628808,-38.05290283390964,-653867.7430027226,-479063.36847956595,-174800.61004294944,-653865.4565981928,450,0.0017148434417322278,True,2.765653558396435,2.755494021077505
L3,Q00959,68311,6.9914,-2,-6.06768,,-76.09812045589582,-37.88723046438436,-517935.6623431573,-479063.36847956595,-38868.993936763276,-517933.52186488314,456,0.0017954199574887753,True,2.714571469306248,2.7236856912816694
L3,Q00959,88721,6.7375,-2,-5.51098,,-31.81238219155445,-18.954825740043237,-529545.4234106413,-479063.36847956595,-50480.67541561778,-529542.8750562064,333,0.0018679172499105334,True,3.1488230091969003,3.2154850072979957
L3,Q00959,89763,7.3565,-2,-6.39652,,-104.25248557606888,-67.7874480062035,-528513.1036184316,-479063.36847956595,-49445.214323213666,-528510.8592429117,450,0.0019124052487313747,True,2.795163021881978,2.4747855328299844
L3,Q00959,103070,6.8239,-2,-6.2362,,-70.50799674382502,-18.813674881374446,-522924.95450562483,-479063.36847956595,-43858.5285099382,-522922.3229998947,330,0.001775355078279972,True,2.7522814797541444,2.724845004591397
L3,Q00959,132547,6.5376,-2,-5.58449,,-77.01292018997316,-46.74483142775214,-519571.52369680937,-479063.36847956595,-40504.81562094433,-519569.64590797224,310,0.0019149057334288955,True,2.96986529651584,2.7210371546410355
L3,Q00959,132866,6.2676,-2,-6.9604,,-83.24819726552228,-40.16577946241516,-507106.95187472703,-479063.36847956595,-28039.97341165692,-507105.31492523826,371,0.0019512174185365438,True,2.4853013940420206,2.7371837902242286
L3,Q00959,139001,7.6021,-2,-5.92083,,-71.22217719127704,-30.05408943798917,-536531.486745142,-479063.36847956595,-57465.02977966003,-536528.7202964309,713,0.001986244460567832,True,2.7987694750300594,2.4932518108241593
