layer,uniprot,mol_id,paff,pocket_charge,smina_affinity_kcal_mol,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A
L3,Q96LB1,11497,7.0458,-4,-7.54687,,-58.07411963389028,-24.84310823546969,-589897.152411219,-534694.6330729838,-55200.00100605759,-589893.510541448,773,0.0019194838823750615,True,3.0980639980624503,2.8271612217409023
L3,Q96LB1,38418,10.0,-4,-7.87148,,-51.61586692495009,-30.98937291149512,-601885.7578127974,-534694.6330729838,-67188.88646397975,-601883.6343982014,555,0.0014283496420830488,True,3.133475185459501,3.0001113337644294
L3,Q96LB1,39087,6.6517,-4,-7.39896,,-47.68375398123471,-34.03835938867474,-589894.7415578315,-534694.6330729838,-55198.04072156942,-589893.0009338753,536,0.0019811303354799747,True,2.883701698297597,3.049105818268957
L3,Q96LB1,43063,7.7696,-4,-6.21606,,-34.81280699062862,-17.957159883286877,-578429.4524465378,-534694.6330729838,-43733.30974736268,-578427.6835214793,831,0.0018634302541613579,True,2.9629501520656527,2.981182037077646
L3,Q96LB1,78428,7.4949,-4,-5.47115,,-29.494035166418318,-24.576060030789183,-575462.6771774775,-534694.6330729838,-40766.76512207822,-575462.0313166664,274,0.0019941299688071012,True,3.3444219017237264,3.236343813627504
L3,Q96LB1,82343,6.6536,-4,-7.7394,,-44.540778624997166,-29.590929125478908,-587195.1059534223,-534694.6330729838,-52498.54140947113,-587193.2499652237,615,0.0018551342654973269,True,3.106389166234782,2.887854776151637
L3,Q96LB1,115856,6.4802,-4,-6.31492,,-31.916784702531075,-24.344474955086433,-577856.6700542219,-534694.6330729838,-43160.65293845915,-577855.176241693,423,0.0019060723716393113,True,3.012884453546688,2.963115736806838
L3,Q96LB1,128174,7.5229,-4,-7.75306,,-47.16431390827193,-28.039683420758365,-598825.7315864213,-534694.6330729838,-64129.053275212624,-598822.6442277594,326,0.001969902077689767,True,2.973581252890161,2.7026645301987675
L3,Q96LB1,129454,7.5376,-4,-7.48202,,-43.8850640981019,-31.20242284433442,-585679.9439151351,-534694.6330729838,-50983.40780565708,-585677.7486454488,630,0.0019843908958137035,True,2.950731427140174,2.7888954413134783
L3,Q96LB1,145185,6.289,-4,-5.74099,,-28.987396326031888,-23.341337341689144,-575026.1478182237,-534694.6330729838,-40330.25773276389,-575025.4495687534,220,0.001841683522798121,True,3.3039986241137105,3.241687898150411
