mol_id,paff,smiles,formal_charge,n_atoms
11497,7.0458,FC1(OC=2C(=CC3=C(N=C(S3)NC([C@H](C)N3C[C@@H](C[C@H](C3)C3=CNC(C=C3)=O)F)=O)C2)O1)F,0,52
38418,10.0,NS(=O)(=O)N1CC(CNc2cc(C(F)(F)F)nc3ccc(Cl)cc23)(c2ccc3ccccc3n2)C1,0,54
39087,6.6517,FC1(OC=2C(=CC3=C(N=C(S3)NC([C@H](C)N3C[C@H]([C@H](CC3)F)C3=CC=[N+](C=C3)[O-])=O)C2)O1)F,0,52
43063,7.7696,O1COC2=CC3=C(N=C(S3)NC([C@H](C)N3CCC(CC3)(F)F)=O)C=C21,0,42
78428,7.4949,O=c1c2ccccc2[nH]c(=S)n1Cc1nccs1,0,27
82343,6.6536,FC1(OC=2C(=CC3=C(N=C(S3)NC([C@H](C)N3C[C@H](CCC3)C3=CC=[N+](C=C3)[O-])=O)C2)O1)F,0,52
115856,6.4802,FC1(CCN(CC1)[C@H](C(=O)NC=1SC=2C(=CC3=C(N=CO3)C2)N1)C)F,0,41
128174,7.5229,FC1(OC=2C(=CC3=C(N=C(S3)NC([C@H](C)N3C[C@@H](C(CC3)(F)F)C3=CC(=[N+](C=C3)[O-])[C@@H](CO)O)=O)C2)O1)F,0,60
129454,7.5376,FC1([C@@H](CN(CC1)[C@H](C(=O)NC=1SC2=C(N1)C=C1CCCC1=C2)C)C=2N=CC(NC2)=O)F,0,55
145185,6.289,O=c1c2ccccc2[nH]c(=S)n1Cc1cccs1,0,28
