mol_id,paff,smiles,formal_charge,n_atoms
6438,7.4949,N=C(NCCSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)Nc1ccccc1Br,0,55
15841,6.1198,C[S+](CC[C@H](N)C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12,0,49
30312,6.6517,CNCCNCc1c[nH]nc1-c1ccc(O[C@H]2C[C@H](OCCC3CCCCC3)C2)cc1,0,69
47363,6.0,Cc1cc(C)c(CNC(=O)c2cc(Cl)c3c(c2C)O[C@@](C)([C@H]2CC[C@H](N(C)C)CC2)O3)c(=O)[nH]1,0,68
50566,6.0,Cc1cc(C)c(CNC(=O)c2cc(Br)c3c(c2C)OC(C)(C2CCC(N(C)C)CC2)O3)c(=O)[nH]1,0,68
93482,7.1367,CNC[C@H](O)CN(C)Cc1ccccc1OCc1ccc(-c2nccs2)c(Cl)c1,0,55
98130,8.7696,CCOCC1(COCC)CCC(c2n[nH]cc2CN(C)CCNC)CC1,0,64
123696,8.301,CC(C)Oc1ccc(-c2c[nH]cc2CNCCN)cc1,0,43
131437,8.301,CC(C)Oc1ccc(-c2c[nH]cc2CN(C)CCN)cc1,0,46
144261,7.6198,CNCCN(C)Cc1ccccc1OC1CCC(COC)(COC)CC1,0,62
