mol_id,paff,smiles,formal_charge,n_atoms
12820,6.2596,O=C1CCC(N2Cc3c(ccc4c3OCC43CCN(Cc4ccc5c(c4)NC(=O)C5)CC3)C2=O)C(=O)N1,0,65
18889,6.2596,O=C1CCC(N2Cc3c(ccc4c3OCC43CCN(Cc4ccc(F)c(F)c4)CC3)C2=O)C(=O)N1,0,60
40995,6.2596,Cn1cc(-c2cccc(CN3CCC4(CC3)COc3c4ccc4c3CN(C3CCC(=O)NC3=O)C4=O)c2)cn1,0,70
42683,6.2596,Cn1ccc2ccc(CN3CCC4(CC3)COc3c4ccc4c3CN(C3CCC(=O)NC3=O)C4=O)cc21,0,67
54563,6.2596,O=C1CCC(N2Cc3c(ccc4c3OCC43CCN(Cc4ccc5ccoc5c4)CC3)C2=O)C(=O)N1,0,63
70489,6.2596,O=C1CCC(N2Cc3c(ccc4c3OCC43CCN(Cc4cc(Br)cc5[nH]ncc45)CC3)C2=O)C(=O)N1,0,63
77037,6.0,CN1CC2(CCNCC2)c2ccc3c(c21)CN([C@H]1CCC(=O)NC1=O)C3=O,0,51
89119,6.2596,Cc1ccc(CN2CCC3(CC2)COc2c3ccc3c2CN(C2CCC(=O)NC2=O)C3=O)cc1,0,63
132016,7.2596,O=C1CCC(N2Cc3c(ccc4c3OCC43CCN(Cc4cccc(-c5cc[nH]n5)c4)CC3)C2=O)C(=O)N1,0,67
142702,6.2596,O=C1CCC(N2Cc3c(ccc4c3OCC43CCN(Cc4cccc(-c5cccnc5)c4)CC3)C2=O)C(=O)N1,0,69
