mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,input_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,initial_interaction_ligand_ev,interaction_geometry,complex_bound_ev,pocket_ev,complex_initial_ev,complex_minimization_steps,complex_final_max_force_ev_a,complex_optimization_converged,gas_bound_ev,interaction_ligand_ev,interaction_model,desolvation_gas_model,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet_interaction_rank,aimnet2_score_rank
6175,L3:Q9Y6M4:6175,0,53,0,7.451,Cc1cc(CC(=O)Nc2cc(-c3[nH]c4cccnc4c3-c3ccccn3)ccn2)n(C)n1,-8.51333,8.51333,-80.09145495664913,-12.520785049064347,-47.45633332368774,-37687.64888352377,fixed_pocket_aimnet2025_minimized_v2,-315735.7524753672,-278043.98631372734,-315733.6930986363,811,0.0019871629774570465,True,-37732.85171491309,-37688.293067438266,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-37733.73063973235,-37734.398332493714,20.26848783395246,15.397360859643273,-44.425606263053396,705,0,8,0.0019885303918272257,True,,3.0,2.0
10544,L3:Q9Y6M4:10544,0,53,1,7.4989,Cc1cc(CC(=O)Nc2cc(-c3[nH]c4cccnc4c3-c3ccccn3)ccn2)nn1C,-8.10569,8.10569,-108.96335910286624,-20.975521875129377,-52.64916102002761,-37687.989323386195,fixed_pocket_aimnet2025_minimized_v2,-315737.0217062109,-278043.98631372734,-315734.25872082025,675,0.0019027511589229107,True,-37732.804395024024,-37688.31029402091,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-37733.5776512076,-37734.4886528547,17.831711206602737,21.008197056773877,-70.12345083948962,608,0,8,0.001984544098377228,True,,1.0,1.0
19862,L3:Q9Y6M4:19862,0,56,2,7.2027,Cn1cc(C(CC(F)F)C(=O)Nc2cc(-c3[nH]c4cccnc4c3-c3ccccn3)ccn2)cn1,-8.63333,8.63333,-74.51991964170595,-24.037911037713755,-49.35732801118624,-44155.776509274474,fixed_pocket_aimnet2025_minimized_v2,-322204.0273345772,-278043.98631372734,-322201.9031593188,538,0.0016250453190878034,True,-44207.77843792492,-44156.8095312864,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-44208.76926697054,-44209.19073680571,22.849060598541396,9.719325292969826,-41.95153375019473,464,0,9,0.0019953951705247164,True,,6.0,4.0
28224,L3:Q9Y6M4:28224,0,46,3,7.5686,O=C(Cc1ccns1)Nc1cc(-c2[nH]c3cccnc3c2-c2ccccn2)ccn1,-8.06831,8.06831,-76.27143953999703,-4.132872011982829,-23.960859570236806,-44877.7427985348,fixed_pocket_aimnet2025_minimized_v2,-322925.3826364659,-278043.98631372734,-322922.76815347426,424,0.0019941176287829876,True,-44921.86242623041,-44878.08888008367,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-44922.50087333451,-44923.40857934729,14.72293998146303,20.932197923899786,-40.61630163463422,790,0,6,0.0015704699326306581,True,,5.0,5.0
72738,L3:Q9Y6M4:72738,0,55,4,8.6198,O=C(Nc1cc(-c2[nH]c3ncc(F)nc3c2-c2ccccn2)ccn1)[C@H](CC(F)F)c1ccc(F)cc1,-9.25155,9.25155,-78.40256224635561,-24.83441336587924,-30.217595672856532,-49085.65831449964,fixed_pocket_aimnet2025_minimized_v2,-327134.5017276435,-278043.98631372734,-327130.95498719567,390,0.0013412032276391983,True,-49142.497814193324,-49087.11555703407,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-49143.218902779816,-49144.15898467996,16.628697838901434,21.678803623010083,-40.0950607844441,564,0,8,0.001992913195863366,True,,4.0,6.0
73293,L3:Q9Y6M4:73293,0,46,5,7.2984,O=C(Cc1cnco1)Nc1cc(-c2[nH]c3cccnc3c2-c2ccccn2)ccn1,-8.04093,8.04093,-63.802183570377395,-25.430073514889774,-30.032072803582537,-36089.55496702995,fixed_pocket_aimnet2025_minimized_v2,-314137.0978879581,-278043.98631372734,-314134.84359469294,386,0.0019320464925840497,True,-36132.977421015836,-36090.34484969157,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-36133.847779809475,-36134.344065590354,20.070950590529367,11.444621987608887,-32.28661099223915,243,0,6,0.0018149008974432945,True,,9.0,10.0
87012,L3:Q9Y6M4:87012,0,49,6,7.1911,Cc1nc(CC(=O)Nc2cc(-c3[nH]c4cccnc4c3-c3ccccn3)ccn2)co1,-8.50449,8.50449,-68.1300717266246,-32.25611740217896,-43.316813485854254,-37159.2409194726,fixed_pocket_aimnet2025_minimized_v2,-315206.936643327,-278043.98631372734,-315205.10562801536,518,0.0019693151116371155,True,-37203.8373330479,-37159.995930067314,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-37204.625605072346,-37205.14781784698,18.177984723256888,12.042512667139437,-37.90957433622829,496,0,7,0.0019144134130328894,True,,7.0,8.0
95594,L3:Q9Y6M4:95594,0,49,7,6.9208,Cc1ocnc1CC(=O)Nc1cc(-c2[nH]c3cccnc3c2-c2ccccn2)ccn1,-8.27993,8.27993,-62.80614009725981,-13.920793254490324,-34.04738496387153,-37159.51274760892,fixed_pocket_aimnet2025_minimized_v2,-315206.9487488,-278043.98631372734,-315204.975495687,314,0.0019098984776064754,True,-37204.07275363259,-37160.238903066434,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-37204.56379477636,-37205.07217549148,11.323677782803456,11.723537797115265,-39.758924517341086,397,0,7,0.0019461980555206537,True,,10.0,7.0
100681,L3:Q9Y6M4:100681,0,53,8,7.8297,O=C(Cc1ccn(CC(F)(F)F)n1)Nc1cc(-c2[nH]c3cccnc3c2-c2ccccn2)ccn1,-8.37015,8.37015,-80.6372278433455,-22.48576865307206,-45.025585961404204,-45786.78274251136,fixed_pocket_aimnet2025_minimized_v2,-323834.9519565117,-278043.98631372734,-323832.7215504419,448,0.0016297699185088277,True,-45839.69096695931,-45787.468881630404,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-45840.68751369785,-45841.36725414044,22.980913729570446,15.675186988725358,-41.981127125049696,457,0,8,0.0015758300432935357,True,,2.0,3.0
136524,L3:Q9Y6M4:136524,0,52,9,7.2034,Cc1noc(C)c1CC(=O)Nc1cc(-c2[nH]c3cccnc3c2-c2ccccn2)ccn1,-7.95503,7.95503,-67.96625496277382,-30.25096144380409,-40.69026560765864,-38227.76362453666,fixed_pocket_aimnet2025_minimized_v2,-316275.2250248869,-278043.98631372734,-316273.51443518343,403,0.0019488404504954815,True,-38273.324892301054,-38228.29141539443,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-38274.16276326166,-38274.755617210845,19.321763362896387,13.671536851797585,-34.97295474807984,447,0,8,0.0019592694006860256,True,,8.0,9.0
