layer,uniprot,mol_id,paff,pocket_charge,smina_affinity_kcal_mol,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A
L4,P09871,18813,7.0,-3,-9.10584,,-116.5832067044449,-68.77338198334388,-507301.11426536436,-440504.6348240932,-66791.42391494279,-507298.37492882623,477,0.0011525203008204699,True,2.7019660514372768,2.6879760098500687
L4,P09871,27252,7.0,-3,-9.60902,,-105.18403253703501,-57.364191975957375,-507154.7764462174,-440504.6348240932,-66645.58041077267,-507152.05060938036,465,0.0019502302166074514,True,2.8060108198283276,2.6159115595091977
L4,P09871,31406,7.0,-3,-10.24486,,-96.31942830596016,-64.02291014589345,-508719.5549913757,-440504.6348240932,-68210.74336155294,-508717.5527470905,471,0.001931124017573893,True,2.8405983025449943,2.7001225797752757
L4,P09871,58779,7.0,-3,-9.71534,,-111.40756568640798,-59.1286092126917,-511394.7353898874,-440504.6348240932,-70885.26947650246,-511391.70353385794,508,0.001938007539138198,True,2.8156937929047663,2.671575954363864
L4,P09871,70932,6.0,-3,-8.33083,,-116.46947405279383,-87.40042806932429,-508515.0675624465,-440504.6348240932,-68005.38214393951,-508512.4857399509,448,0.0019731400534510612,True,2.9401604906575614,2.9316335286838178
L4,P09871,76886,7.0,-3,-10.44199,,-127.13967009210572,-58.524876381771264,-501329.06053418433,-440504.6348240932,-60818.91241218399,-501325.727802575,744,0.0016633218619972467,True,2.813737256173607,2.5966172811802277
L4,P09871,77799,7.0,-3,-9.44623,,-103.25563807482214,-55.50973115010537,-501154.5340341723,-440504.6348240932,-60645.42162182608,-501151.7506512656,389,0.0018825347069650888,True,2.761301263692222,2.638446330127206
L4,P09871,81308,7.0,-3,-9.69871,,-133.06462273682126,-78.77437167320993,-506468.6276279018,-440504.6348240932,-65958.22257563734,-506466.10251843865,836,0.0017078826203942299,True,2.8335792964104107,2.617650814765184
L4,P09871,102062,7.0,-3,-9.52523,,-108.28720599052608,-65.3957358865067,-512702.87909115804,-440504.6348240932,-72193.54848937622,-512699.8885647781,377,0.0019925017841160297,True,2.817192691981924,2.6419641292765936
L4,P09871,116768,7.0,-3,-7.90904,,-196.15306387187903,-110.94440042231878,-520410.9613158332,-440504.6348240932,-79897.82048983092,-520403.6721356563,795,0.0018586008809506893,True,2.8008133784750764,2.569941710385324
