layer,uniprot,mol_id,paff,pocket_charge,smina_affinity_kcal_mol,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A
L4,Q6SZW1,5536,10.0,-3,-5.55439,,-31.218727293756128,-12.407177786489463,-394062.7885044917,-364565.7180977131,-29495.716634633936,-394061.47328856017,345,0.0019905096851289272,True,3.0511951048408434,2.9514537046292317
L4,Q6SZW1,12531,6.0,-3,-5.88213,,-29.20240422284853,-19.920371093926907,-392217.39155051275,-364565.7180977131,-27650.407116698843,-392214.6282481137,573,0.0018251279834657907,True,3.018514545762345,3.1599559052795585
L4,Q6SZW1,20829,10.0,-3,-4.73201,,-20.1905235340646,-15.402832790699378,-393224.0783634968,-364565.7180977131,-28657.484721816505,-393223.5141546099,335,0.0018875326495617628,True,3.3537319554482297,3.081695816350208
L4,Q6SZW1,22712,6.4547,-3,-6.97251,,-42.39352853929712,-25.265918782747743,-407543.4389768223,-364565.7180977131,-42975.88252171847,-407541.5810580968,541,0.0019916766323149204,True,2.964409724671038,3.0226641515602615
L4,Q6SZW1,37606,6.308,-3,-6.79244,,-46.48098849751802,-20.17356588755454,-408196.72653515794,-364565.7180977131,-43628.992831014395,-408194.75134000694,390,0.0018277806229889393,True,2.9617158990228987,2.9149079782037055
L4,Q6SZW1,80793,6.3696,-3,-5.94457,,-44.02996660475592,-32.09185077166851,-406566.67145501607,-364565.7180977131,-41999.04403724138,-406565.3112002945,340,0.0019827939104288816,True,3.4650799492803745,3.441957391466559
L4,Q6SZW1,94916,6.0,-3,-6.21242,,-31.25624957335348,21.277714198478193,-411752.56044507254,-364565.7180977131,-47185.48694809475,-411747.6457272905,846,0.0019559620413929224,True,2.9870333620245666,3.1089212663491232
L4,Q6SZW1,121886,7.2967,-3,-5.20958,,-39.287485583898906,-19.51338069092855,-387322.5284140699,-364565.7180977131,-22755.106649736572,-387321.32993860124,760,0.001988900126889348,True,3.1334534075092244,2.8364364820893626
L4,Q6SZW1,129162,6.6819,-3,-5.60635,,-30.554700959813,-13.519342280131157,-384193.51781634573,-364565.7180977131,-19626.474741395155,-384192.42466608144,175,0.001891121151857078,True,2.7359291764361586,3.001751170514858
L4,Q6SZW1,129698,6.0,-3,-5.83494,,-30.63941787199216,-15.910812709721446,-404696.31983811036,-364565.7180977131,-40129.27308948677,-404694.1723306924,849,0.001943291281349957,True,2.820611084578168,3.3688963593986827
