mol_id,paff,smiles,formal_charge,n_atoms
5536,10.0,Cc1ccncc1-c1ccc2[nH]c(=S)oc2c1,0,27
12531,6.0,Cc1ccc(NC(=O)N2C3CC(C)CC2C3)cc1C1CCC1C#N,0,49
20829,10.0,Cc1ccncc1-c1cc(O)cc(Cl)c1,0,25
22712,6.4547,ClC1=CC=C(C=C1)[C@@H]1CN(C[C@H]1O)C(=O)C1=CC(=NN1)C1=CN=NC=C1,0,42
37606,6.308,ClC1=CC=C(C=C1)[C@H]1CN(CC1)C(=O)C1=C(C(=NN1)C1=CN=NC=C1)F,0,41
80793,6.3696,ClC1=CC=C(C=C1)C1CN(CC1)C(=O)C1=C(C(=NN1)C1=CN=NC=C1)C,0,44
94916,6.0,N#C[C@H]1CC[C@H]1c1cc(NC(=O)N2C3CC2CC(C(F)(F)F)C3)ccc1Cl,0,46
121886,7.2967,Cc1c[nH]c(=O)cc1-c1ccc2[nH]c(=O)oc2c1,0,28
129162,6.6819,Cc1ccncc1-c1ccc2[nH]nc(N)c2c1,0,29
129698,6.0,CC1CC2CC(C1)N2C(=O)Nc1ccc(Cl)c(N2CC[C@H](O)C2)c1,0,48
