mol_id,paff,smiles,formal_charge,n_atoms
26994,7.1549,CN(C)c1cnn2ccc(N3CCCC3)nc12,0,34
30532,6.4559,Nc1cnn2ccc(N3CC4CC(C4)C3)nc12,0,32
33891,6.8539,CN(C)c1cnn2ccc(N3CCC[C@@H](O)C3)nc12,0,38
55082,7.2218,CN(C)c1cnn2ccc(N3CC4CC(C4)C3)nc12,0,38
80097,6.3279,Nc1cnn2ccc(N3CCOCC3)nc12,0,29
95666,6.4949,CC1CCCN1c1ccn2ncc(N(C)C)c2n1,0,37
119566,6.8861,CN(C)c1cnn2ccc(N3CCOCC3)nc12,0,35
129489,6.5528,Nc1cnn2ccc(N3CCC[C@H](O)C3)nc12,0,32
145307,6.5229,CC1CCN(c2ccn3ncc(N(C)C)c3n2)C1,0,37
146204,6.9586,CN(C)c1cnn2ccc(N3CC4CCCC4C3)nc12,0,41
