mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,input_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,initial_interaction_ligand_ev,interaction_geometry,complex_bound_ev,pocket_ev,complex_initial_ev,complex_minimization_steps,complex_final_max_force_ev_a,complex_optimization_converged,gas_bound_ev,interaction_ligand_ev,interaction_model,desolvation_gas_model,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet_interaction_rank,aimnet2_score_rank
17646,L4:Q9Y239:17646,0,44,0,7.2924,Cc1nc2cnccc2c(=O)n1-c1ccc(Cl)c(NS(=O)(=O)c2ccccc2F)c1,-9.43363,9.43363,-77.509474325499,124.1804096165729,-26.37343783015066,-59122.18867356557,fixed_pocket_aimnet2025_minimized_v2,-415351.401919405,-356225.07489965024,-415348.4072337231,557,0.001582093071192503,True,-59171.32803657121,-59122.96589083036,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-59171.79305620388,-59172.47232637818,10.723607481346859,15.664342344268285,-51.121524499883854,490,0,5,0.0016872033011168242,True,,3.0,3.0
21844,L4:Q9Y239:21844,0,57,1,7.3768,CCN(CC)CCOc1cc2c(cc1OC)c(ncn2)Nc3cc(c(cc3Cl)Cl)OC,-7.31339,7.31339,-71.19267537440692,16.61022398095077,-40.907985108464835,-60362.147219276776,fixed_pocket_aimnet2025_minimized_v2,-416591.52342980495,-356225.07489965024,-416588.9960570576,382,0.0015035936376079917,True,-60410.645352440886,-60363.36132355852,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-60410.98905382144,-60411.815487994885,7.925942125677821,19.05802478562373,-44.20870846310537,800,0,14,0.0019885406363755465,True,,5.0,4.0
49132,L4:Q9Y239:49132,0,45,2,7.1675,O=c1c2cc(Cl)ccc2nc(C(F)(F)F)n1-c1ccc(Cl)c(NS(=O)(=O)c2ccccc2F)c1,-11.04702,11.04702,-77.49677557857625,116.96609422380187,-36.338055739978145,-79289.76050202781,fixed_pocket_aimnet2025_minimized_v2,-435518.750490461,-356225.07489965024,-435516.4111689151,349,0.0017529829638078809,True,-79349.19297214126,-79290.31501255618,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-79349.57754368844,-79350.20305196116,8.868430558118893,14.424563441387438,-54.203781579069926,581,0,5,0.0019942496437579393,True,,4.0,2.0
77159,L4:Q9Y239:77159,0,42,3,8.9208,N#Cc1ccccc1S(=O)(=O)Nc1cc(-n2c(Cl)nc3cnc(Cl)cc3c2=O)ccc1Cl,-7.31127,7.31127,-53.47862821809492,34.06984378815321,-12.437950091416091,-82871.74146957987,fixed_pocket_aimnet2025_minimized_v2,-439099.80359491083,-356225.07489965024,-439097.3557297944,461,0.001711479970254004,True,-82926.6515622742,-82872.40964245184,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-82927.19891400902,-82927.76917190966,12.622230860863986,13.150459593647879,-27.70593776358305,397,0,4,0.001564036589115858,True,,10.0,9.0
87531,L4:Q9Y239:87531,0,50,4,9.0458,CS(=O)(=O)c1ccc2nc(Cl)n(-c3ccc(Cl)c(NS(=O)(=O)c4ccc5ncsc5c4)c3)c(=O)c2c1,-11.42857,11.42857,-88.64281955585773,148.69095198996774,-44.62093272438551,-96759.00474283114,fixed_pocket_aimnet2025_minimized_v2,-452988.4139416499,-356225.07489965024,-452986.0145892594,434,0.0017146775498986244,True,-96822.61027183724,-96759.49512553215,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-96823.32037167289,-96824.69332901544,16.375291224458564,31.661148467312387,-40.606379864086776,1000,0,6,0.007832829840481281,False,,2.0,5.0
100708,L4:Q9Y239:100708,0,37,5,6.8041,COc1cc2c(cc1OC)ncnc2Nc3cccc(c3)O,-8.52005,8.52005,-54.184345048501726,63.0237241714341,-27.637841801871954,-27432.756679011545,fixed_pocket_aimnet2025_minimized_v2,-383661.08357801504,-356225.07489965024,-383659.0300689147,326,0.001940941670909524,True,-27465.254066999343,-27433.659022777843,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-27465.825536327226,-27466.49270181195,13.178395769363059,15.385201571398099,-25.62074770774057,295,0,7,0.001966075273230672,True,,9.0,10.0
132103,L4:Q9Y239:132103,0,54,6,6.9957,COCCOc1cc2ncnc(Nc3cc(OC)c(Cl)cc3Cl)c2cc1OCCOC,-5.82981,5.82981,-54.51275403128403,36.20352317470228,-25.166857189511735,-61879.13474110333,fixed_pocket_aimnet2025_minimized_v2,-418107.68234102416,-356225.07489965024,-418105.30097897217,491,0.0019353821408003569,True,-61928.91098553641,-61880.243544625606,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-61929.32199581442,-61930.03834841941,9.478122174937333,16.519483510999574,-28.515148345347125,511,0,14,0.0017443140968680382,True,,8.0,7.0
136815,L4:Q9Y239:136815,0,41,7,8.5086,Cn1cc(S(=O)(=O)Nc2cc(-n3c(Cl)nc4cnc(Cl)cc4c3=O)ccc2Cl)cn1,-8.30962,8.30962,-60.05835352727698,21.17328059562617,-21.11714285375966,-81267.90961429241,fixed_pocket_aimnet2025_minimized_v2,-437496.13486149814,-356225.07489965024,-437493.90023992665,418,0.0019637905061244965,True,-81320.4086570821,-81268.45558514495,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-81321.0747375243,-81321.77865478212,15.360179896370306,16.232717592813188,-28.465456038093485,693,0,5,0.0019564407411962748,True,,7.0,8.0
144318,L4:Q9Y239:144318,0,48,8,6.2218,Cn1c(=O)[nH]c(=O)c2c1nc(CCSc1ccccc1)n2Cc1ccccc1,-8.79268,8.79268,-60.57834137010675,2.1719853525496937,-38.2006103226976,-42976.193573842545,fixed_pocket_aimnet2025_minimized_v2,-399204.51330236375,-356225.07489965024,-399202.9250087409,334,0.0018450827337801456,True,-43017.72877363702,-42976.81147720354,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-43018.18721079133,-43018.643991478726,10.571811924290536,10.533612889810728,-39.47291655600549,590,0,7,0.001982055138796568,True,,6.0,6.0
145351,L4:Q9Y239:145351,0,46,9,7.0915,CSc1nc2ccc(Cl)cc2c(=O)n1-c1ccc(Cl)c(NS(=O)(=O)c2ccccc2F)c1,-8.16998,8.16998,-273.48413871962947,98.84514987459666,-30.940392338637295,-82024.14656089061,fixed_pocket_aimnet2025_minimized_v2,-438256.21038112935,-356225.07489965024,-438250.5631629395,753,0.0019795096013695,True,-82072.20744797963,-82019.2760867792,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-82073.34558708996,-82080.63954504476,26.246111391779174,168.20266629110856,-79.03536103674173,875,0,6,0.0018520671874284744,True,,1.0,1.0
