layer,uniprot,mol_id,paff,pocket_charge,smina_affinity_kcal_mol,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A,eint_rank,smina_rank
L1,O95271,3228,6.0,0,-10.52971,,-53.91109634382308,-44.62188947275958,-485987.1066084762,-448344.3789410394,-37640.38986103512,-485986.0518322653,576,0.0016521993093192,True,3.010772990844886,2.844423307934953,4.0,6.0
L1,O95271,9152,6.0,0,-8.26624,,-52.30361718818673,-30.080384356564817,-484645.8573165728,-448344.3789410394,-36299.21027602539,-484643.8991414768,684,0.0017585001187399,True,2.8377684107742214,3.037134429629396,5.0,10.0
L1,O95271,9726,7.0862,0,-11.43115,,-50.114294295252606,-38.37414485350341,-478957.4060015097,-448344.3789410394,-30610.85389898843,-478956.3046615516,359,0.0019708240870386,True,3.056439770426705,2.8372387451829844,7.0,3.0
L1,O95271,32927,6.1918,0,-12.72737,,-47.68173517446483,-29.41071013517534,-488408.3778093043,-448344.3789410394,-40061.93119253031,-488405.10330176336,922,0.0018532307585701,True,2.7045382283848904,2.976308831302012,9.0,1.0
L1,O95271,33996,6.0,0,-10.10068,,-51.2549799266045,-39.63962195265032,-481002.9699710796,-448344.3789410394,-32656.368403747725,-481001.7340061525,479,0.0018887909827753,True,2.903605691272072,2.8277432436837984,6.0,8.0
L1,O95271,39496,7.2676,0,-11.17961,,-46.31371271164797,-33.238474558765695,-478957.0695172283,-448344.3789410394,-30610.682223523,-478955.8731092926,262,0.0019151129527017,True,2.972777614636944,2.8518573692582034,10.0,4.0
L1,O95271,67393,6.52,0,-10.85926,,-56.66993551837017,-35.44013157081623,-484739.8221657175,-448344.3789410394,-36392.98578368685,-484738.07188663527,337,0.0019309069029986,True,3.067276283843572,2.8519850286471238,3.0,5.0
L1,O95271,67395,6.1701,0,-10.33419,,-49.86626702148408,-23.338501662316165,-482072.2836716377,-448344.3789410394,-33725.742324597,-482070.1655140363,341,0.0018683555535972,True,3.0389725438562576,2.793050279173858,8.0,7.0
L1,O95271,67397,7.2441,0,-12.61033,,-72.67889544552276,-30.534101212982296,-478958.489454869,-448344.3789410394,-30610.95885863129,-478956.1589021145,548,0.0019175816560164,True,2.716403767423797,2.6788798236623586,1.0,2.0
L1,O95271,67399,7.3,0,-8.63244,,-61.58673557490402,-21.088811041082025,-483142.50286166224,-448344.3789410394,-34795.45326700142,-483139.5501908222,826,0.0019567818380892,True,2.7029144173792177,2.849087441248733,2.0,9.0
