mol_id,name,formal_charge,n_atoms,source_index,label,paff,smina_affinity_kcal_mol,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
7963,B4RNM9:7963,0,21,192.0,0.0,,-6.94157,-40.89597991632264,-57253.06582157756,-57253.72430082282,-57253.81264448225,15.184892130693026,2.0372531838264933,-23.67383460180312,601,147,4,0.001940926304087,True,,1.0
96818,B4RNM9:96818,0,32,234.0,0.0,,-8.88903,-41.05381712485904,-47021.19281774263,-47021.614650107455,-47022.0010392877,9.727685425522033,8.910346172310943,-22.41578552702606,454,57,5,0.0019335630349814,True,,2.0
90039,B4RNM9:90039,0,33,166.0,0.0,,-7.92143,-40.01898161589306,-51560.04520963304,-51560.77664640944,-51560.97261089727,16.86733276735516,4.519048444701155,-18.632600403836747,720,231,4,0.0018559851450845,True,,3.0
23706,B4RNM9:23706,0,30,2.0,1.0,8.0,-8.02176,-50.89714437388791,-33907.848055170805,-33908.69127009245,-33909.42381041023,19.444998032109115,16.892781036067916,-14.55936530571088,466,133,5,0.0017510798061266,True,,4.0
36583,B4RNM9:36583,0,31,147.0,0.0,,-7.39454,-54.65001125777805,-50698.93497950795,-50700.34445421059,-50700.69582458522,32.50325879642822,8.102793330382099,-14.043959130967728,497,168,9,0.0017123991856351,True,,5.0
140342,B4RNM9:140342,0,13,111.0,0.0,,-4.7643,-35.46836479135078,-21122.47580529956,-21123.27704662014,-21123.460030824484,18.477063797180865,4.219715996531641,-12.771584997638277,96,58,3,0.0015517957508563,True,,6.0
101132,B4RNM9:101132,0,28,210.0,0.0,,-9.11301,-41.46245059425028,-31483.475416606947,-31484.642833505863,-31484.74209513767,26.921273235718168,2.289027608034464,-12.252149750497647,315,168,4,0.001469186739996,True,,7.0
108737,B4RNM9:108737,0,33,148.0,0.0,,-8.42297,-45.69125993319641,-136548.98050401418,-136550.34418423023,-136550.45650395725,31.44721284782564,2.5901544372853165,-11.653892648085456,286,154,6,0.0019963008817285,True,,8.0
120769,B4RNM9:120769,1,26,245.0,0.0,,-8.22879,-64.60546830109752,-44261.10420671041,-44263.251753064455,-44263.53988167495,49.52359541583321,6.644403603727606,-8.437469281536696,460,139,4,0.0019207547884434,True,,9.0
144031,B4RNM9:144031,0,21,132.0,0.0,,-6.07664,-28.05092835777956,-29848.254285893407,-29848.92153224125,-29849.12688585006,15.387066319146054,4.735566718229592,-7.928295320403915,365,100,7,0.0019516651518642,True,,10.0
142222,B4RNM9:142222,0,28,225.0,0.0,,-6.9497,-41.37038139692584,-42202.31370943524,-42203.464722828045,-42203.78670495788,26.5429993983998,7.42508430562969,-7.402297692896356,425,140,5,0.00184477341827,True,,11.0
14065,B4RNM9:14065,0,40,172.0,0.0,,-9.02828,-60.93539517596047,-51810.790126651846,-51812.87476989396,-51813.181680270296,48.07301519444165,7.077521413324119,-5.784858568194702,486,300,6,0.0017405939288437,True,,12.0
33773,B4RNM9:33773,0,31,248.0,0.0,,-7.07463,-41.505234851396345,-112282.66522786024,-112284.01558987296,-112284.21999611292,31.14008778355428,4.713719872929438,-5.651427194912628,759,159,8,0.001992997713387,True,,13.0
140320,B4RNM9:140320,0,26,110.0,0.0,,-6.4576,-57.46449353190922,-50942.76658314852,-50944.90331380304,-50945.02543546088,49.274179459579045,2.816192331975948,-5.3741217403542265,245,254,5,0.0015342639526352,True,,14.0
43002,B4RNM9:43002,0,32,165.0,0.0,,-8.28303,-39.389874266446704,-48128.52010080405,-48129.5294288256,-48130.02559256122,23.27565711760422,11.441807557189168,-4.672409591653318,777,152,5,0.0019738380797207,True,,15.0
