mol_id,name,formal_charge,n_atoms,label,ligand_pdb,pose_index,ligunity_rank,ligunity_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
1100,1gpn:pose100,1,40,1,1gpn,100,1,0.58251953125,-67.99781237643894,-21971.52759660874,-21974.02643668982,-21974.02653123782,57.62462121080937,0.0021803287311776024,-10.371010836898392,45,109,1,0.0016198353841900826,True,,13.0
2033,1e66:pose33,0,40,1,1e66,33,2,0.58251953125,-6.315639245868332,-34496.55782979939,-34496.69070740501,-34496.70603646629,3.0642303799715025,0.35349655084066844,-2.897912315056161,122,117,3,0.0017421719385311007,True,,14.0
3086,1h23:pose86,2,84,1,1h23,86,3,0.58251953125,52.77811209475377,-41964.96692359787,-41971.00744569199,-41971.09532284446,139.29774867330693,2.0264952778241456,194.10235604588485,698,205,15,0.0019775221589952707,True,,20.0
4081,1h22:pose81,2,78,1,1h22,81,4,0.58251953125,-147.56509733402024,-39823.10437859601,-39829.89170099737,-39830.21908948206,156.5193728783974,7.549757810458512,16.50403335483568,560,300,13,0.0017042357940226793,True,,17.0
5081,1gpk:pose81,1,37,1,1gpk,81,5,0.58251953125,-86.90617075785796,-20900.110823414485,-20902.770835538915,-20902.797237000756,61.34133682544605,0.6088321735729142,-24.956001758839,214,140,3,0.0016460329061374068,True,,11.0
6037,3arp:pose37,0,72,0,3arp,37,6,0.357421875,-122.05514419688184,-37709.189403996905,-37710.19969407201,-37710.4093040699,23.297842599829075,4.833721382073036,-93.92358021497972,405,295,14,0.0018746458226814866,True,,7.0
7087,3ary:pose87,0,26,0,3ary,87,7,0.357421875,-109.90796868620198,-29956.895490696887,-29957.276569175832,-29957.288576752137,8.787878490947087,0.27690128769542327,-100.84318890755948,206,64,2,0.0014901368413120508,True,,6.0
8081,3aru:pose81,0,38,0,3aru,81,8,0.357421875,-64.55239652133707,-25894.645459587417,-25895.210069822864,-25895.33723512726,13.020221340196828,2.932501584396605,-48.59967359674364,574,101,8,0.0018621674971655011,True,,10.0
9037,3arv:pose37,0,40,0,3arv,37,9,0.357421875,-180.1321274057512,-30678.737542864626,-30680.262881627325,-30680.262746787397,35.17514749509637,-0.0031094825939264087,-144.96008939324872,28,246,1,0.0018343402771279216,True,,2.0
10008,3arq:pose8,1,64,0,3arq,8,10,0.357421875,-59.92289962015976,-47359.019106071915,-47362.060734511666,-47362.26554770797,70.14161811784065,4.723104509663864,14.941823007344754,451,210,10,0.0012421149294823408,True,,16.0
11085,1z95:pose85,0,43,0,1z95,85,11,0.283447265625,-4.402911557093943,-51794.233110283545,-51794.92582744021,-51794.97475685423,15.97443712434063,1.1283390923479735,12.699864659594661,231,160,9,0.0012578059686347842,True,,15.0
12093,3b68:pose93,0,49,0,3b68,93,12,0.283447265625,32.19819481401137,-44927.50953489127,-44928.28220525182,-44928.47059225155,17.818201806626494,4.344307418004041,54.360704038641906,647,88,13,0.001960982568562031,True,,18.0
13047,3b65:pose47,0,39,0,3b65,47,13,0.283447265625,-84.13514457085459,-37627.993742017905,-37628.78919182751,-37628.95223595336,18.34350838131784,3.759886862567894,-62.03174932696885,202,84,8,0.001703263376839459,True,,9.0
14050,3b5r:pose50,0,41,0,3b5r,50,14,0.283447265625,44.82270937710807,-51416.852037449695,-51417.405238912164,-51417.60869473198,12.757128785248307,4.691802664234528,62.271640826590904,641,251,9,0.0019679281394928694,True,,19.0
15030,4dld:pose30,-1,33,0,4dld,30,15,0.2158203125,-120.51582604748543,-40443.513461196875,-40447.797002403466,-40447.82492750433,98.78080687900992,0.6439681240907078,-21.09105104438481,162,54,8,0.0008842307724989951,True,,12.0
16061,3gbb:pose61,-1,34,0,3gbb,61,16,0.2158203125,-318.0273505310693,-25457.756129161113,-25462.352631691927,-25462.55781232392,105.99786646540163,4.731577778017809,-207.29790628764988,177,78,5,0.0019201154354959726,True,,1.0
17051,1vso:pose51,0,38,0,1vso,51,17,0.2158203125,-248.4890741512096,-38296.706381097094,-38301.104027004076,-38301.54214261652,101.4121237800792,10.103186036097796,-136.97376433503263,358,219,11,0.0010379506275057793,True,,3.0
18019,4mme:pose19,0,34,0,4mme,19,18,0.2083740234375,-137.20239481427217,-34385.432654352524,-34385.98394462184,-34386.03225837347,12.71305562410167,1.1141415802843324,-123.37519760988617,230,76,2,0.0014265963109210134,True,,4.0
19058,3f3e:pose58,0,22,0,3f3e,58,19,0.2083740234375,-122.29814515791465,-12025.98585102623,-12027.310775695827,-12027.417026911144,30.553488715225967,2.450211232871255,-89.29444520981743,132,70,6,0.00198160856962204,True,,8.0
20033,3f3c:pose33,0,23,0,3f3c,33,20,0.2083740234375,-157.4373004287968,-17808.40034100258,-17809.758097839644,-17809.95717820726,31.31061648345948,4.5909023395520085,-121.5357816057853,161,97,4,0.0019138744100928307,True,,5.0
