mol_id,name,formal_charge,n_atoms,label,ligand_pdb,pose_index,ligunity_rank,ligunity_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
1028,2xnb:pose28,1,50,0,2xnb,28,1,0.64697265625,-142.37471996303591,-41917.437377785056,-41920.353082210895,-41920.5895553635,67.23774137200931,5.453200446261957,-69.68377814476464,606,186,6,0.001853490131907165,True,,15.0
2068,4eor:pose68,0,50,1,4eor,68,2,0.64697265625,-134.8495698663107,-44962.68904760847,-44963.846113580934,-44964.11449469997,26.682575201101496,6.189015632372767,-101.97797903283643,322,127,7,0.0019454859429970384,True,,6.0
3024,1pxn:pose24,0,37,0,1pxn,24,3,0.64697265625,-167.80637105339093,-36151.162153044934,-36151.68239414045,-36151.8886600662,11.997044666626214,4.756605246582558,-151.05272114018217,304,210,7,0.0019416838185861707,True,,2.0
4037,2fvd:pose37,0,51,0,2fvd,37,4,0.64697265625,-123.29834796669282,-50938.41796993678,-50939.686342519635,-50940.41859179209,29.249366613945163,16.886069371409896,-77.16291198133777,560,300,9,0.0018698342610150576,True,,13.0
5038,3pxf:pose38,0,33,0,3pxf,38,5,0.64697265625,-102.5041756165508,-35271.380616286326,-35272.13796656511,-35272.15801848293,17.464912328464557,0.4624082099355381,-84.5768550781507,113,187,3,0.0015423139557242393,True,,11.0
6046,4m0y:pose46,0,35,0,4m0y,46,6,0.6220703125,-59.881083397954136,-27331.010301360344,-27331.689045182433,-27331.695072624847,15.652204374020954,0.13899612408553905,-44.089882899847645,133,210,6,0.001974431099370122,True,,19.0
7089,3qgy:pose89,0,46,0,3qgy,89,7,0.6220703125,-106.8381306741259,-54826.33106411412,-54826.93139490001,-54827.00007973868,13.843956802252242,1.58391000735467,-91.410263864519,344,81,5,0.001671142177656293,True,,9.0
8090,4rfm:pose90,0,63,0,4rfm,90,8,0.6220703125,-116.1484128621413,-56256.69937725589,-56257.6567690528,-56257.6999036924,22.077979325287348,0.9947084196496465,-93.07572511720431,209,155,7,0.0019162072567269206,True,,8.0
9001,4m0z:pose1,0,39,0,4m0z,1,9,0.6220703125,-110.99056648950416,-30449.197765083885,-30449.968430012523,-30450.17761283593,17.771955448223707,4.823870504541812,-88.39474053673864,400,135,8,0.0018704760586842895,True,,10.0
10068,4qd6:pose68,0,62,0,4qd6,68,10,0.6220703125,-179.2696410931518,-51858.662000609605,-51859.275234133,-51859.306689981226,14.141500997529677,0.7253890926093876,-164.40275100301272,169,167,8,0.0019338908605277538,True,,1.0
11001,1q8t:pose1,1,40,0,1q8t,1,11,0.5791015625,-121.26623121923942,-21403.155789996807,-21406.212488746074,-21406.35624167231,70.48914771127704,3.3150212312712446,-47.46206227669113,330,97,6,0.0019131818553432822,True,,18.0
12087,1ydr:pose87,1,38,0,1ydr,87,12,0.5791015625,-134.92973299099236,-34221.543816941885,-34224.42707231265,-34224.589298249,66.4894483853374,3.74101896457296,-64.69926564108201,271,128,3,0.0019049710826948285,True,,16.0
13046,1ydt:pose46,1,48,0,1ydt,46,13,0.5791015625,-193.1099330900696,-110543.05208205093,-110545.91717870493,-110546.18453685354,66.0706984289321,6.165425374065936,-120.87380928707157,759,222,8,0.0015564094064757228,True,,3.0
14031,1q8u:pose31,1,44,0,1q8u,31,14,0.5791015625,-140.65036243749958,-36362.51196396974,-36365.09278613773,-36365.1404459814,59.51517304727472,1.0990621046116045,-80.03612728561326,148,296,4,0.0018494700780138373,True,,12.0
15062,3ag9:pose62,1,140,0,3ag9,62,15,0.5791015625,-301.9073163119744,-87968.83341290525,-87977.1846364015,-87977.87003823025,192.58378887923135,15.805741655218183,-93.51778577752486,739,223,48,0.001502367900684476,True,,7.0
16084,3jya:pose84,0,20,0,3jya,84,16,0.54833984375,-111.61080507054878,-51359.35567381327,-51359.72463983882,-51359.724128131835,8.508558680184066,-0.011800243486293016,-103.114046633851,16,46,0,0.001742656691931188,True,,5.0
17019,3bgz:pose19,-1,38,0,3bgz,19,17,0.54833984375,-81.35553728664854,-27611.203199407137,-27613.6540348291,-27613.73580953901,56.51760747311913,1.8857696092134097,-22.952160204316005,193,76,3,0.0019297358812764287,True,,20.0
18021,2c3i:pose21,0,41,0,2c3i,21,18,0.54833984375,-119.8827316241284,-26983.68775702374,-26984.206614650957,-26984.250156492075,11.965141129690657,1.0040987097345135,-106.91349178470324,218,165,6,0.0014851858140900731,True,,4.0
19091,5dwr:pose91,1,56,0,5dwr,91,19,0.54833984375,-132.79874148293507,-41459.53637657281,-41462.534298247636,-41462.568081543955,69.13371617475579,0.7790613206540614,-62.88596398752522,206,153,7,0.0019882903434336185,True,,17.0
20067,4k18:pose67,0,43,0,4k18,67,20,0.54833984375,-88.91884120011056,-36290.38538055738,-36291.0608734902,-36291.21268266773,15.577237086454677,3.5008027995292648,-69.84080131412662,417,66,6,0.0019979567732661963,True,,14.0
