mol_id,name,formal_charge,n_atoms,label,ligand_pdb,pose_index,ligunity_rank,ligunity_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
1028,2qbp:pose28,-2,60,1,2qbp,28,1,0.876953125,-226.92462727745703,-135359.51450622597,-135367.68928039866,-135368.59642862077,188.51477081375143,20.919334965632704,-17.490521498072905,814,89,10,0.0019474521977826953,True,,18.0
2047,2qbq:pose47,-2,57,1,2qbq,47,2,0.876953125,-245.53227049592132,-116909.95081176925,-116917.43182112576,-116917.7096194665,172.51617408727918,6.406181923974577,-66.60991448466757,454,45,11,0.0019224965944886208,True,,10.0
3057,1bzc:pose57,-1,43,1,1bzc,57,3,0.876953125,-133.54873844330675,-49918.31567917883,-49921.370267664,-49921.51767495172,70.44048386522374,3.399292808984648,-59.70896176909836,360,82,10,0.0016655426006764174,True,,11.0
4072,2hb1:pose72,-2,17,1,2hb1,72,4,0.876953125,-326.37854471642265,-98438.1109062479,-98446.15820655106,-98446.39387068874,185.57515354850705,5.434544118994893,-135.3688470489207,395,83,4,0.0019199304515495896,True,,3.0
5047,2qbr:pose47,-2,42,1,2qbr,47,5,0.876953125,-237.50206384323303,-113599.3302007985,-113607.38414958921,-113607.67045837842,185.72847131348,6.602437527759882,-45.171155001993164,557,111,8,0.0019919073674827814,True,,15.0
6054,3n86:pose54,-1,41,0,3n86,54,6,0.54931640625,-199.33287691673252,-30680.591402087197,-30683.53057006977,-30683.876792330455,67.7788238443918,7.984075002508467,-123.56997806983225,330,277,9,0.0017444317927584052,True,,5.0
7041,4ciw:pose41,-1,28,0,4ciw,41,7,0.54931640625,-227.80820105440884,-21843.33931987497,-21846.275641426262,-21846.45772461103,67.71318357967138,4.198937991516933,-155.89607948322052,173,114,7,0.0019108806736767292,True,,2.0
8039,2xb8:pose39,-1,39,0,2xb8,39,8,0.54931640625,-128.24189974605846,-30183.860220716437,-30186.432973858347,-30186.868498624837,59.32909688540592,10.043439709057996,-58.869363151594555,375,139,8,0.001765927765518427,True,,12.0
9095,3n76:pose95,-1,39,0,3n76,95,9,0.54052734375,-80.28804676989249,-29171.320040953156,-29174.476837410366,-29174.92586165159,72.79745569300981,10.354744991872678,2.8641539149899984,348,72,8,0.0018041084986180067,True,,19.0
10039,3n7a:pose39,-1,21,0,3n7a,39,10,0.5341796875,-161.72854480306793,-17653.638195785905,-17656.794216521816,-17657.173673560672,72.77956713489444,8.75048719421178,-80.19849047396171,287,102,4,0.0016949266428127885,True,,8.0
11038,3qqs:pose38,-2,28,0,3qqs,38,11,0.498291015625,-282.64246966478225,-24360.70083291113,-24368.25348349086,-24368.561329860044,174.16825994176813,7.099105921082929,-101.3751038019312,150,89,4,0.0018139187013730407,True,,7.0
12090,3twp:pose90,-1,15,0,3twp,90,12,0.498291015625,-148.23758361381658,-13492.058871529089,-13495.023859286466,-13495.146206047026,68.37424199620263,2.8213833238058137,-77.04195829380814,115,49,2,0.0018019522540271282,True,,9.0
13066,3acw:pose66,1,43,0,3acw,66,13,0.447509765625,-83.61496526915386,-23609.242250621755,-23611.533016062152,-23611.614280388883,52.82630600700588,1.873999893500706,-28.914659368647268,198,174,3,0.0019649125169962645,True,,17.0
14071,2zy1:pose71,0,42,0,2zy1,71,14,0.447509765625,-156.65670123071288,-38955.274583645936,-38956.73000643939,-38957.05322632992,33.56284694228409,7.45362774524403,-115.64022654318475,686,92,9,0.0019690280314534903,True,,6.0
15067,4ea2:pose67,2,64,0,4ea2,67,15,0.447509765625,-168.5128886656569,-26450.10633425336,-26457.159581984713,-26457.57751763512,162.65175667008515,9.637825056318443,3.7766930607466893,731,72,12,0.0018532468238845468,True,,20.0
16077,2zcr:pose77,0,52,0,2zcr,77,16,0.447509765625,-130.28041419482662,-53562.49908573326,-53564.31216358895,-53565.79242517173,41.81056861172648,34.13564303151096,-54.33420255158918,457,114,11,0.0018227166729047894,True,,14.0
17005,2zcq:pose5,0,41,0,2zcq,5,17,0.447509765625,-217.2250973584692,-51328.27075672247,-51329.972987376066,-51330.23863545005,39.25437140596405,6.125990116184043,-171.84473583632112,559,182,8,0.001764768036082387,True,,1.0
18027,4dld:pose27,-1,33,0,4dld,27,18,0.43994140625,-148.85225536751878,-40441.39447566316,-40445.777511606386,-40445.96476749872,101.07521001206165,4.318223461758539,-43.4588218936986,273,152,8,0.0019388003274798393,True,,16.0
19077,3gbb:pose77,-1,34,0,3gbb,77,19,0.43994140625,-146.68777825463246,-25458.669342309826,-25462.5815349255,-25462.627350046463,90.21730493632445,1.0565217883583926,-55.413951529949614,227,79,5,0.0019318275153636932,True,,13.0
20039,1vso:pose39,0,38,0,1vso,39,20,0.43994140625,-174.71670367240728,-38303.214656993405,-38304.92127580587,-38305.07351651659,39.35556475351403,3.5107541912940623,-131.85038472759916,333,219,11,0.0017974667716771364,True,,4.0
