mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error,aimnet_interaction_rank
4072,2hb1,72,1,4,0.876953125,-2,-705375.0781975372,-606944.87006623,-98416.0550180719,-326.37854471642265,,1
11038,3qqs,38,0,11,0.498291015625,-2,-631314.5076592893,-606944.87006623,-24357.38105554163,-282.64246966478225,,2
2047,2qbq,47,1,2,0.876953125,-2,-723856.6254601986,-606944.87006623,-116901.10810699615,-245.53227049592135,,3
5047,2qbr,47,1,5,0.876953125,-2,-720532.4602956045,-606944.87006623,-113577.29116512045,-237.50206384323303,,4
7041,4ciw,41,0,7,0.54931640625,-1,-628781.7962029127,-606944.87006623,-21827.04743810508,-227.80820105440884,,5
1028,2qbp,28,1,1,0.876953125,-2,-742291.8101604282,-606944.87006623,-135337.09971100593,-226.92462727745703,,6
17005,2zcq,5,0,17,0.447509765625,0,-658277.3961039588,-606944.87006623,-51323.10626596309,-217.2250973584692,,7
6054,3n86,54,0,6,0.54931640625,-1,-637605.4614643445,-606944.87006623,-30651.947506461136,-199.33287691673254,,8
20039,1vso,39,0,20,0.43994140625,0,-645240.0330051276,-606944.87006623,-38287.58650554678,-174.71670367240728,,9
15067,4ea2,67,0,15,0.447509765625,2,-633401.2444637817,-606944.87006623,-26449.066987081573,-168.5128886656569,,10
10039,3n7a,39,0,10,0.5341796875,-1,-624602.5354014612,-606944.87006623,-17650.652121755513,-161.72854480306793,,11
14071,2zy1,71,0,14,0.447509765625,0,-645906.3044901224,-606944.87006623,-38954.641146370064,-156.65670123071288,,12
18027,4dld,27,0,18,0.43994140625,-1,-647380.6886063557,-606944.87006623,-40429.36369540735,-148.85225536751878,,13
12090,3twp,90,0,12,0.498291015625,-1,-620442.0002027767,-606944.87006623,-13490.701946518413,-148.23758361381658,,14
19077,3gbb,77,0,19,0.43994140625,-1,-632407.2758752062,-606944.87006623,-25456.044824869037,-146.68777825463246,,15
3057,1bzc,57,1,3,0.876953125,-1,-656866.8362360407,-606944.87006623,-49916.17494839552,-133.54873844330675,,16
16077,2zcr,77,0,16,0.447509765625,0,-660504.402967204,-606944.87006623,-53553.88340751223,-130.28041419482662,,17
8039,2xb8,39,0,8,0.54931640625,-1,-637125.071519907,-606944.87006623,-30174.640358568275,-128.24189974605846,,18
13066,3acw,66,0,13,0.447509765625,1,-630556.9109126583,-606944.87006623,-23608.414958358262,-83.61496526915386,,19
9095,3n76,95,0,9,0.54052734375,-1,-636117.262693047,-606944.87006623,-29168.911007587605,-80.28804676989249,,20
