mol_id,name,formal_charge,n_atoms,label,ligand_pdb,pose_index,ligunity_rank,ligunity_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
1088,2xj7:pose88,1,35,1,2xj7,88,1,0.720703125,-29.42046845781188,-21857.05699161388,-21859.87919897803,-21860.01556917475,65.08164790886471,3.144771444137924,38.805950895190755,286,103,6,0.001267329091206193,True,,19.0
2003,2wca:pose3,0,50,1,2wca,3,2,0.720703125,-57.046668331822296,-36827.5916488972,-36828.56686077261,-36828.74909823762,22.488920097910693,4.2024957783326835,-30.35525245557892,342,284,13,0.0019900372717529535,True,,10.0
3090,2w66:pose90,1,35,1,2w66,90,3,0.720703125,-52.27452657762313,-22867.75911936513,-22870.503190420033,-22870.554516994693,63.27978181217834,1.1836189299165398,12.188874164471754,150,110,8,0.0014156863326206803,True,,17.0
4003,2w4x:pose3,0,33,1,2w4x,3,4,0.720703125,-14.572094941821623,-27355.8958118289,-27356.85639106712,-27357.019452713757,22.15148346800681,3.7602909016606323,11.339679427845818,165,137,10,0.001776695135049522,True,,16.0
5034,2vvn:pose34,0,32,1,2vvn,34,5,0.720703125,1.1347829039516968,-31612.770923489636,-31613.329426687294,-31613.407236438976,12.87938970316592,1.7943355003362018,15.808508107453818,206,52,7,0.0005112633225508034,True,,18.0
6092,4j28:pose92,1,33,0,4j28,92,6,0.31640625,-149.97622851659264,-21277.915038480383,-21280.457293338837,-21280.489489900818,58.62578976099777,0.7424703575334297,-90.60796839806143,161,104,4,0.0019829748198390007,True,,5.0
7100,4jfs:pose100,1,37,0,4jfs,100,7,0.31640625,-152.61036908017311,-21446.644719533855,-21448.76998857264,-21448.838680448167,49.00986832182614,1.5840722811720607,-102.01642847717493,181,211,7,0.0019763626623898745,True,,2.0
8096,4pcs:pose96,1,32,0,4pcs,96,8,0.31640625,-157.15881629224066,-19331.361553589537,-19333.748155519363,-19333.83017424245,55.036347955393204,1.8913966867226746,-100.23107165012478,146,101,3,0.0018253226298838854,True,,3.0
9100,2wvt:pose100,1,29,0,2wvt,100,9,0.31640625,-82.3269302487094,-19251.60505788828,-19254.326837085526,-19254.345202500874,62.765719362500256,0.42351653906044184,-19.137694347148702,70,81,7,0.0015737550565972924,True,,11.0
10094,2xii:pose94,1,51,0,2xii,94,10,0.31640625,-103.7781043123576,-35387.07450835298,-35389.27659252027,-35389.33225111352,50.78126726690728,1.283517651825968,-51.71331939362435,108,212,8,0.0018608971731737256,True,,9.0
11098,1ps3:pose98,0,28,0,1ps3,98,11,0.296142578125,-25.038111899107463,-23769.822570918135,-23770.962958748445,-23771.07989602,26.297968106317715,2.6966375438945707,3.9564937511048224,236,71,5,0.001997595187276602,True,,15.0
12080,3dx1:pose80,1,21,0,3dx1,80,12,0.296142578125,-72.30275242789965,-13014.30340070248,-13017.002632840355,-13017.069352318329,62.24577182140552,1.538587713062634,-8.518392893431495,144,83,4,0.0017969036707654595,True,,12.0
13005,3dx2:pose5,1,26,0,3dx2,5,13,0.296142578125,-76.95293855630489,-26968.855861760803,-26972.14865542204,-26972.191708158603,75.93362572128997,0.9928196907795594,-0.02649314423535576,218,121,6,0.0019471803680062294,True,,14.0
14089,3d4z:pose89,0,26,0,3d4z,89,14,0.296142578125,-102.58483081997252,-19672.604606092616,-19673.352682413602,-19673.381930185053,17.25104978105118,0.6744696324657244,-84.65931140645561,129,100,5,0.0017997652757912874,True,,6.0
15013,3ejr:pose13,1,55,0,3ejr,13,15,0.296142578125,27.244063036319144,-30922.989381786967,-30925.287077286583,-30925.64629438562,52.98611696908487,8.283743093936884,88.5139230993409,622,140,10,0.0019049262627959251,True,,20.0
16003,3gc5:pose3,1,36,0,3gc5,3,16,0.281005859375,-68.07754217529502,-25195.336574775643,-25198.240467541684,-25198.263984235437,66.96535802626249,0.5423078411033976,-0.5698763079291319,141,125,6,0.0018037932459264994,True,,13.0
17043,3ge7:pose43,1,53,0,3ge7,43,17,0.281005859375,-162.35422405189826,-31599.613517074424,-31602.852606341527,-31603.070405140454,74.69517297166938,5.022559620109897,-82.63649146011898,915,226,8,0.0019368170760571957,True,,7.0
18097,3rr4:pose97,0,30,0,3rr4,97,18,0.281005859375,-84.25123272825384,-22606.351620369565,-22607.39896891816,-22607.39896891816,24.15243130023544,0.0,-60.098801428018405,0,60,4,0.001815429306589067,True,,8.0
19010,1s38:pose10,0,22,0,1s38,10,19,0.281005859375,-109.91231284951716,-16009.045603073391,-16009.588070591784,-16009.588073460869,12.509598154461179,6.61626651909392e-05,-97.4026485323908,1,42,2,0.001797846402041614,True,,4.0
20088,1r5y:pose88,0,21,0,1r5y,88,20,0.281005859375,-158.33287509204231,-16445.83328386809,-16446.568151017458,-16446.6305419488,16.94643904713633,1.4387690564446474,-139.94766698846135,168,37,2,0.0018760591046884656,True,,1.0
