mol_id,name,formal_charge,n_atoms,label,ligand_pdb,pose_index,ligunity_rank,ligunity_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
1027,1q8t:pose27,1,40,1,1q8t,27,1,0.80126953125,-149.1501872101341,-21403.133524860565,-21406.27040820981,-21406.31789332223,72.33824851434083,1.0950327062028797,-75.71690598959039,191,107,6,0.0018471089424565434,True,,7.0
2006,1ydr:pose6,1,38,1,1ydr,6,2,0.80126953125,-133.45812114201496,-34221.74372382751,-34224.59057401839,-34224.598012174014,65.64992499337652,0.17152794358507675,-67.63666820505337,135,104,3,0.0018500889418646693,True,,9.0
3010,1ydt:pose10,1,48,1,1ydt,10,3,0.80126953125,-160.0960249364008,-110543.13209467042,-110545.68784587896,-110546.0026309501,58.93702298760891,7.259116189373562,-93.89988575941832,874,34,8,0.0018717795610427856,True,,4.0
4100,1q8u:pose100,1,44,1,1q8u,100,4,0.80126953125,-170.9914003686977,-36362.75162774947,-36365.28058780646,-36365.31743499398,58.31920435591012,0.8497163302060393,-111.82247968258154,217,121,4,0.0018515381962060928,True,,1.0
5039,3ag9:pose39,1,140,1,3ag9,39,5,0.80126953125,-273.4247055188408,-87968.69049461655,-87976.85428777777,-87977.36286097649,188.26154267360295,11.727976574456099,-73.43518627078178,840,300,48,0.0018783629639074206,True,,8.0
6074,2qnq:pose74,1,71,0,2qnq,74,6,0.3662109375,-140.62488233579373,-91002.91756559911,-91005.81115127329,-91006.31028799788,66.72767084127571,11.510366311578634,-62.38684518293938,805,151,10,0.001931649399921298,True,,11.0
7040,1g2k:pose40,0,82,0,1g2k,40,7,0.365234375,-58.75863704494797,-65534.453944215624,-65535.250384175924,-65535.519640714476,18.366341798729007,6.209203285971864,-34.1830919602471,666,150,15,0.0019173382315784693,True,,18.0
8039,3o9i:pose39,0,81,0,3o9i,39,8,0.333984375,-120.1223654725159,-72253.93915331375,-72254.65901735378,-72255.17082192544,16.600459126679763,11.802493804504355,-91.71941254133178,404,300,18,0.0019193097250536084,True,,5.0
9083,3nw9:pose83,0,62,0,3nw9,83,9,0.322509765625,-80.30529801226456,-49835.6783508232,-49836.725202506306,-49837.32457257591,24.14097330991542,13.821802158375764,-42.342522543973374,752,173,12,0.0017266700742766261,True,,16.0
10094,3ozt:pose94,0,50,0,3ozt,94,10,0.322509765625,-79.43967541653066,-42931.53764215966,-42932.67439611538,-42932.97803865908,26.214168967473892,7.002163402454331,-46.22334304660244,408,144,11,0.001971810357645154,True,,15.0
11009,3oe5:pose9,0,50,0,3oe5,9,11,0.322509765625,-87.1845913233957,-51720.25729759272,-51721.13011419677,-51721.40226278957,20.127629045117732,6.275895641248128,-60.78106663702984,442,66,12,0.0018193215364590287,True,,12.0
12019,3ozs:pose19,0,50,0,3ozs,19,12,0.322509765625,-55.01759445538199,-49459.44359059454,-49460.71622159169,-49461.05562784246,29.347567980451597,7.826894079945674,-17.843132394984718,157,129,12,0.0019235748331993818,True,,20.0
13078,3oe4:pose78,0,51,0,3oe4,78,13,0.322509765625,-73.38508605349226,-45339.942613788604,-45341.139401279455,-45341.45648304577,27.59857517586568,7.312079238259304,-38.47443163936728,415,234,11,0.0019370558438822627,True,,17.0
14007,3pww:pose7,1,100,0,3pww,7,14,0.26318359375,-106.04774261908814,-59451.64564035478,-59454.339294380334,-59454.97158385316,62.11713749546406,14.580941630973326,-29.349663492650755,1000,300,21,0.005240848287940025,False,,19.0
15081,3prs:pose81,0,98,0,3prs,81,15,0.26318359375,-67.6981583641493,-80044.32146058106,-80044.91216516463,-80045.15920204757,13.621971303018377,5.696805854921512,-48.3793812062094,735,300,28,0.001891853753477335,True,,14.0
16073,2v00:pose73,0,29,0,2v00,73,16,0.26318359375,-117.18844023643922,-19187.138708350376,-19187.72825429727,-19187.862489641604,13.595252506735138,3.0955405785371526,-100.49764715116693,244,114,4,0.0018757451325654984,True,,2.0
17075,3uri:pose75,1,130,0,3uri,75,17,0.26318359375,-235.70424128483327,-92842.81562514833,-92849.82892485344,-92850.43970698421,161.73053330018809,14.08497054063732,-59.888737444007866,720,300,39,0.0019521500216796994,True,,13.0
18033,3wz8:pose33,0,58,0,3wz8,33,18,0.26318359375,-77.20625946175366,-47834.76505495952,-47835.07252310585,-47835.20653592317,7.090383894906715,3.0904089836743496,-67.02546658317259,562,222,11,0.0019941027276217937,True,,10.0
19001,4kzq:pose1,0,28,0,4kzq,1,19,0.2578125,-106.73507605563807,-21874.029974211404,-21874.376391719943,-21874.37653558799,7.988577525031204,0.0033176760097221192,-98.74318085459714,46,97,2,0.0017434345791116357,True,,3.0
20002,3kr8:pose2,0,32,0,3kr8,2,20,0.2578125,-98.5026468848816,-38731.93004966635,-38732.25503862098,-38732.29203022901,7.494423332616559,0.8530467463258433,-90.15517680593919,260,101,2,0.0018958739237859845,True,,6.0
