mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error
1001,1q8t,1,1,1,0.80126953125,1,-904847.7824838554,-883442.8102313793,-21402.66402932568,-53.22889036239716,
1002,1q8t,2,1,1,0.80126953125,1,-904843.7008508543,-883442.8102313793,-21402.491977061465,36.9281832182455,
1003,1q8t,3,1,1,0.80126953125,1,-904846.9004780599,-883442.8102313793,-21402.627308572963,-33.7361542030665,
1004,1q8t,4,1,1,0.80126953125,1,-904843.873795086,-883442.8102313793,-21402.367381002143,30.066741103887956,
1005,1q8t,5,1,1,0.80126953125,1,-904847.348847816,-883442.8102313793,-21402.45185514851,-48.121858496262725,
1006,1q8t,6,1,1,0.80126953125,1,-904845.3235697249,-883442.8102313793,-21402.591365958884,1.799359508971096,
1007,1q8t,7,1,1,0.80126953125,1,-904846.2032203027,-883442.8102313793,-21402.358815993503,-23.848594313995022,
1008,1q8t,8,1,1,0.80126953125,1,-904847.9732671021,-883442.8102313793,-21402.597773398593,-59.15635452543347,
1009,1q8t,9,1,1,0.80126953125,1,-904846.5599788522,-883442.8102313793,-21402.484076286986,-29.18707091864542,
1010,1q8t,10,1,1,0.80126953125,1,-904846.3392892132,-883442.8102313793,-21402.27278145714,-28.97042147315835,
1011,1q8t,11,1,1,0.80126953125,1,-904847.1556123742,-883442.8102313793,-21402.586301411822,-40.565338862059285,
1012,1q8t,12,1,1,0.80126953125,1,-904835.5426375209,-883442.8102313793,-21402.513549114898,225.55851537418303,
1013,1q8t,13,1,1,0.80126953125,1,-904834.2317200248,-883442.8102313793,-21402.524681474402,256.0457093037982,
1014,1q8t,14,1,1,0.80126953125,1,-904846.9067375014,-883442.8102313793,-21402.516915466025,-36.42622587568987,
1015,1q8t,15,1,1,0.80126953125,1,-904847.1072323867,-883442.8102313793,-21402.259339238837,-46.989596675697705,
1016,1q8t,16,1,1,0.80126953125,1,-904845.576116288,-883442.8102313793,-21402.315283562377,-10.39111389745851,
1017,1q8t,17,1,1,0.80126953125,1,-904843.4066345637,-883442.8102313793,-21402.659669126704,47.580042951016495,
1018,1q8t,18,1,1,0.80126953125,1,-904845.0307415823,-883442.8102313793,-21402.363349522784,3.2939529676892696,
1019,1q8t,19,1,1,0.80126953125,1,-904847.5292054513,-883442.8102313793,-21402.351823116973,-54.587797818488134,
1020,1q8t,20,1,1,0.80126953125,1,-904842.5431412547,-883442.8102313793,-21402.56472399397,65.30318493013272,
1021,1q8t,21,1,1,0.80126953125,1,-904847.9144721424,-883442.8102313793,-21402.574050273135,-58.34757881213388,
1022,1q8t,22,1,1,0.80126953125,1,-904846.5308083395,-883442.8102313793,-21402.45484312935,-29.188515545449444,
1023,1q8t,23,1,1,0.80126953125,1,-904846.4514761218,-883442.8102313793,-21402.606718625262,-23.85673900714139,
1024,1q8t,24,1,1,0.80126953125,1,-904834.2710128366,-883442.8102313793,-21402.53713061972,255.426679649719,
1025,1q8t,25,1,1,0.80126953125,1,-904831.7870021408,-883442.8102313793,-21402.655325199798,315.4349588798657,
1026,1q8t,26,1,1,0.80126953125,1,-904846.0194604646,-883442.8102313793,-21402.656894053653,-12.737148414565763,
1027,1q8t,27,1,1,0.80126953125,1,-904851.7086590179,-883442.8102313793,-21402.43066337271,-149.15018721013413,
1028,1q8t,28,1,1,0.80126953125,1,-904848.3901058971,-883442.8102313793,-21402.521235551074,-70.53389018752145,
1029,1q8t,29,1,1,0.80126953125,1,-904846.3162586038,-883442.8102313793,-21402.468756403163,-23.920033388143448,
1030,1q8t,30,1,1,0.80126953125,1,-904848.4111463526,-883442.8102313793,-21402.603430654242,-69.12363051115702,
1031,1q8t,31,1,1,0.80126953125,1,-904845.9391915747,-883442.8102313793,-21402.27285936041,-19.742154251856157,
1032,1q8t,32,1,1,0.80126953125,1,-904847.6346340417,-883442.8102313793,-21402.60303577347,-51.22593739019947,
1033,1q8t,33,1,1,0.80126953125,1,-904846.7384039258,-883442.8102313793,-21402.659758593276,-29.250320635939026,
1034,1q8t,34,1,1,0.80126953125,1,-904847.3714198718,-883442.8102313793,-21402.600581313804,-45.21267562042294,
1035,1q8t,35,1,1,0.80126953125,1,-904848.4353004643,-883442.8102313793,-21402.424455310538,-73.80790703162009,
1036,1q8t,36,1,1,0.80126953125,1,-904848.527148956,-883442.8102313793,-21402.58064350052,-72.32419834174257,
1037,1q8t,37,1,1,0.80126953125,1,-904846.9154514616,-883442.8102313793,-21402.45369085236,-38.085168798788715,
1038,1q8t,38,1,1,0.80126953125,1,-904848.2675196925,-883442.8102313793,-21402.583004738524,-66.28255385237232,
1039,1q8t,39,1,1,0.80126953125,1,-904845.3702882477,-883442.8102313793,-21402.44960560961,-2.547066535311973,
1040,1q8t,40,1,1,0.80126953125,1,-904846.403776133,-883442.8102313793,-21402.30073949261,-29.81279755714494,
1041,1q8t,41,1,1,0.80126953125,1,-904850.2711591369,-883442.8102313793,-21402.503478671744,-114.32149176110453,
1042,1q8t,42,1,1,0.80126953125,1,-904849.2983602235,-883442.8102313793,-21402.601313199237,-89.63209808907968,
1043,1q8t,43,1,1,0.80126953125,1,-904848.8040169724,-883442.8102313793,-21402.551263536647,-79.38644454026212,
1044,1q8t,44,1,1,0.80126953125,1,-904845.9600563734,-883442.8102313793,-21402.475609685614,-15.547774367947147,
1045,1q8t,45,1,1,0.80126953125,1,-904845.2963265573,-883442.8102313793,-21402.426296259597,-1.3789958166983163,
1046,1q8t,46,1,1,0.80126953125,1,-904846.668146039,-883442.8102313793,-21402.56115343733,-29.90402419241502,
1047,1q8t,47,1,1,0.80126953125,1,-904849.3545778343,-883442.8102313793,-21402.209858741,-99.95566124767878,
1048,1q8t,48,1,1,0.80126953125,1,-904845.6356661557,-883442.8102313793,-21402.479130055144,-7.985976587849315,
1049,1q8t,49,1,1,0.80126953125,1,-904840.3927053605,-883442.8102313793,-21402.456912960246,112.40723322385709,
1050,1q8t,50,1,1,0.80126953125,1,-904841.4216360102,-883442.8102313793,-21402.255373443797,84.03191710491237,
1051,1q8t,51,1,1,0.80126953125,1,-904847.8196973004,-883442.8102313793,-21402.500697817042,-57.85356685928147,
1052,1q8t,52,1,1,0.80126953125,1,-904815.480451846,-883442.8102313793,-21402.27470019026,682.6955206662273,
1053,1q8t,53,1,1,0.80126953125,1,-904844.9352318292,-883442.8102313793,-21402.64381899996,11.964239990730977,
1054,1q8t,54,1,1,0.80126953125,1,-904839.5128371071,-883442.8102313793,-21402.431628729537,132.11440895632805,
1055,1q8t,55,1,1,0.80126953125,1,-904844.3009361424,-883442.8102313793,-21402.4103902833,21.208451927760233,
1056,1q8t,56,1,1,0.80126953125,1,-904841.7472180664,-883442.8102313793,-21402.522455062106,82.6828649590485,
1057,1q8t,57,1,1,0.80126953125,1,-904845.104468236,-883442.8102313793,-21402.63888957663,7.947880534499809,
1058,1q8t,58,1,1,0.80126953125,1,-904848.413116465,-883442.8102313793,-21402.57299127741,-69.87101108597757,
1059,1q8t,59,1,1,0.80126953125,1,-904849.6660790839,-883442.8102313793,-21402.210022296145,-107.13527904376376,
1060,1q8t,60,1,1,0.80126953125,1,-904845.9072338133,-883442.8102313793,-21402.30693587227,-18.21936773524257,
1061,1q8t,61,1,1,0.80126953125,1,-904849.8203903382,-883442.8102313793,-21402.394441153243,-106.44098122872214,
1062,1q8t,62,1,1,0.80126953125,1,-904845.0148985634,-883442.8102313793,-21402.363836909964,3.670541077954298,
1063,1q8t,63,1,1,0.80126953125,1,-904845.8881372311,-883442.8102313793,-21402.487929429248,-13.605179510409057,
1064,1q8t,64,1,1,0.80126953125,1,-904845.1803349792,-883442.8102313793,-21402.421202983096,1.1783797713932564,
1065,1q8t,65,1,1,0.80126953125,1,-904821.4492817468,-883442.8102313793,-21402.50290742083,550.3136170035388,
1066,1q8t,66,1,1,0.80126953125,1,-904848.9112769315,-883442.8102313793,-21402.323025430873,-87.12321371234165,
1067,1q8t,67,1,1,0.80126953125,1,-904848.5666523823,-883442.8102313793,-21402.39192166491,-77.5871979100422,
1068,1q8t,68,1,1,0.80126953125,1,-904827.7538222759,-883442.8102313793,-21402.64183106585,408.13111394180703,
1069,1q8t,69,1,1,0.80126953125,1,-904845.2049427276,-883442.8102313793,-21402.33963861628,-1.270007369287113,
1070,1q8t,70,1,1,0.80126953125,1,-904846.4907500396,-883442.8102313793,-21402.47755953236,-27.740896506518702,
1071,1q8t,71,1,1,0.80126953125,1,-904843.9564466574,-883442.8102313793,-21402.30751230879,26.78014572242441,
1072,1q8t,72,1,1,0.80126953125,1,-904847.3530350863,-883442.8102313793,-21402.387440349296,-49.70385980156682,
1073,1q8t,73,1,1,0.80126953125,1,-904842.0971860683,-883442.8102313793,-21402.346278394893,70.54968065009638,
1074,1q8t,74,1,1,0.80126953125,1,-904848.0047500978,-883442.8102313793,-21402.486255909636,-62.45402403944525,
1075,1q8t,75,1,1,0.80126953125,1,-904846.3352056392,-883442.8102313793,-21402.418997670844,-25.504426031405497,
1076,1q8t,76,1,1,0.80126953125,1,-904843.5332029699,-883442.8102313793,-21402.49842938347,40.943029354099764,
1077,1q8t,77,1,1,0.80126953125,1,-904849.066124553,-883442.8102313793,-21402.541026558116,-85.6668592713775,
1078,1q8t,78,1,1,0.80126953125,1,-904842.762485529,-883442.8102313793,-21402.386199082568,56.12810354386858,
1079,1q8t,79,1,1,0.80126953125,1,-904847.793949584,-883442.8102313793,-21402.42338057919,-59.0427882747545,
1080,1q8t,80,1,1,0.80126953125,1,-904848.8825807511,-883442.8102313793,-21402.331235732272,-86.27213002268142,
1081,1q8t,81,1,1,0.80126953125,1,-904847.800033236,-883442.8102313793,-21402.559529151156,-56.043419967387976,
1082,1q8t,82,1,1,0.80126953125,1,-904847.5262435178,-883442.8102313793,-21402.350675250724,-54.54596443396326,
1083,1q8t,83,1,1,0.80126953125,1,-904847.6781226494,-883442.8102313793,-21402.218347574904,-61.09992911203438,
1084,1q8t,84,1,1,0.80126953125,1,-904842.2607275038,-883442.8102313793,-21402.168933536246,62.68865595920293,
1085,1q8t,85,1,1,0.80126953125,1,-904849.4126618302,-883442.8102313793,-21402.37314459248,-97.52964882625125,
1086,1q8t,86,1,1,0.80126953125,1,-904847.5368434737,-883442.8102313793,-21402.158139492705,-59.230385281265924,
1087,1q8t,87,1,1,0.80126953125,1,-904844.9742798903,-883442.8102313793,-21402.291831161216,2.946737918308925,
1088,1q8t,88,1,1,0.80126953125,1,-904844.5206477284,-883442.8102313793,-21402.171211566165,10.62619014554379,
1089,1q8t,89,1,1,0.80126953125,1,-904844.1690125412,-883442.8102313793,-21402.277992929652,21.19752693822595,
1090,1q8t,90,1,1,0.80126953125,1,-904849.9650840561,-883442.8102313793,-21402.374220456317,-110.24399798076011,
1091,1q8t,91,1,1,0.80126953125,1,-904844.9563391157,-883442.8102313793,-21402.30111702843,3.574599193209476,
1092,1q8t,92,1,1,0.80126953125,1,-904844.0903737335,-883442.8102313793,-21402.368587936595,25.10015141391459,
1093,1q8t,93,1,1,0.80126953125,1,-904844.8114714271,-883442.8102313793,-21402.3160987155,7.26081336767678,
1094,1q8t,94,1,1,0.80126953125,1,-904844.7355644207,-883442.8102313793,-21402.42725351019,11.574560978927845,
1095,1q8t,95,1,1,0.80126953125,1,-904841.4680415639,-883442.8102313793,-21402.45572420521,87.58197793065507,
1096,1q8t,96,1,1,0.80126953125,1,-904846.359933862,-883442.8102313793,-21402.303813959792,-28.730871872922492,
1097,1q8t,97,1,1,0.80126953125,1,-904846.0877706354,-883442.8102313793,-21402.20449932976,-24.74488854387617,
1098,1q8t,98,1,1,0.80126953125,1,-904849.5089787493,-883442.8102313793,-21402.241442467406,-102.7878929002211,
1099,1q8t,99,1,1,0.80126953125,1,-904848.8582195886,-883442.8102313793,-21402.5602984087,-80.42803746485801,
1100,1q8t,100,1,1,0.80126953125,1,-904839.3360883086,-883442.8102313793,-21402.49282636805,137.60158414727593,
2001,1ydr,1,1,2,0.80126953125,1,-917658.4243780986,-883442.8102313793,-34220.10409875503,103.54075367894772,
2002,1ydr,2,1,2,0.80126953125,1,-917664.3991688214,-883442.8102313793,-34220.59557415833,-22.907501517408125,
2003,1ydr,3,1,2,0.80126953125,1,-917663.3550769853,-883442.8102313793,-34220.26223202333,-6.5172240400499355,
2004,1ydr,4,1,2,0.80126953125,1,-917664.024863498,-883442.8102313793,-34220.58681668624,-14.477767809065808,
2005,1ydr,5,1,2,0.80126953125,1,-917666.7225909696,-883442.8102313793,-34220.4333346664,-80.22822066137392,
2006,1ydr,6,1,2,0.80126953125,1,-917669.2085676811,-883442.8102313793,-34220.61104442467,-133.45812114201496,
2007,1ydr,7,1,2,0.80126953125,1,-917644.6579922306,-883442.8102313793,-34215.0595378457,304.67081530770855,
2008,1ydr,8,1,2,0.80126953125,1,-917649.6056312339,-883442.8102313793,-34220.45730434641,315.0510019921119,
2009,1ydr,9,1,2,0.80126953125,1,-917647.089559184,-883442.8102313793,-34220.41262348279,372.04263665044374,
2010,1ydr,10,1,2,0.80126953125,1,-917647.9543698005,-883442.8102313793,-34220.410644072195,352.0539837720031,
2011,1ydr,11,1,2,0.80126953125,1,-917648.2851244378,-883442.8102313793,-34220.41235561952,344.4660698583666,
2012,1ydr,12,1,2,0.80126953125,1,-917648.8641108439,-883442.8102313793,-34215.06575961694,207.81889329890683,
