mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error,aimnet_interaction_rank
5039,3ag9,39,1,5,0.80126953125,1,-971418.929147084,-883442.8102313793,-87964.26209827226,-273.42470551884077,,1
17075,3uri,75,0,17,0.26318359375,1,-976289.9882722967,-883442.8102313793,-92836.95693762807,-235.70424128483327,,2
4100,1q8u,100,1,4,0.80126953125,1,-919811.7275943949,-883442.8102313793,-36361.502474105546,-170.9914003686977,,3
3010,1ydt,10,1,3,0.80126953125,1,-993992.0417057908,-883442.8102313793,-110542.2890536974,-160.0960249364008,,4
1027,1q8t,27,1,1,0.80126953125,1,-904851.7086590179,-883442.8102313793,-21402.43066337271,-149.15018721013413,,5
6074,2qnq,74,0,6,0.3662109375,1,-974445.2866422683,-883442.8102313793,-90996.37833883235,-140.62488233579373,,6
2006,1ydr,6,1,2,0.80126953125,1,-917669.2085676811,-883442.8102313793,-34220.61104442467,-133.45812114201496,,7
8039,3o9i,39,0,8,0.333984375,0,-955656.2377116684,-883442.8102313793,-72208.21848151089,-120.1223654725159,,8
16073,2v00,73,0,16,0.26318359375,0,-902633.5641118248,-883442.8102313793,-19185.67210870715,-117.18844023643922,,9
19001,4kzq,1,0,19,0.2578125,0,-905321.0706679403,-883442.8102313793,-21873.631965596625,-106.73507605563807,,10
14007,3pww,7,0,14,0.26318359375,1,-942894.1559151232,-883442.8102313793,-59446.747018378286,-106.04774261908814,,11
20002,3kr8,2,0,20,0.2578125,0,-922177.7733349279,-883442.8102313793,-38730.6916245009,-98.50264688488159,,12
11009,3oe5,9,0,11,0.322509765625,0,-935165.4505042294,-883442.8102313793,-51718.85959114363,-87.1845913233957,,13
9083,3nw9,83,0,9,0.322509765625,0,-933279.5588254194,-883442.8102313793,-49833.26622672588,-80.30529801226456,,14
10094,3ozt,94,0,10,0.322509765625,0,-926376.2573931594,-883442.8102313793,-42930.00233141439,-79.43967541653066,,15
18033,3wz8,33,0,18,0.26318359375,0,-931280.0377973644,-883442.8102313793,-47833.87958570164,-77.20625946175366,,16
13078,3oe4,78,0,13,0.322509765625,0,-928783.3253524973,-883442.8102313793,-45337.332842596516,-73.38508605349226,,17
15081,3prs,81,0,15,0.26318359375,0,-963488.2321101485,-883442.8102313793,-80042.4862087729,-67.6981583641493,,18
7040,1g2k,40,0,7,0.365234375,0,-948978.5496527642,-883442.8102313793,-65533.19140572295,-58.75863704494797,,19
12019,3ozs,19,0,12,0.322509765625,0,-932903.0582638651,-883442.8102313793,-49457.86224378462,-55.01759445538199,,20
