mol_id,name,formal_charge,n_atoms,label,ligand_pdb,pose_index,ligunity_rank,ligunity_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
1088,3g0w:pose88,0,37,0,3g0w,88,1,0.529296875,-288.231535239401,-45027.58175215087,-45028.13236188354,-45028.25034425268,12.69736207612972,2.7207380667648673,-272.81343509650645,998,232,4,0.0004560694214887917,True,,4.0
2040,3arp:pose40,0,72,1,3arp,40,2,0.3359375,-489.5063722378127,-37713.48915045067,-37714.809885488634,-37715.07564082958,30.456873514614642,6.1284637510919895,-452.92103497210604,753,300,14,0.0018512217793613672,True,,1.0
3083,3ary:pose83,0,26,1,3ary,83,3,0.3359375,-358.3268413328249,-29956.947739562253,-29957.24580687715,-29957.255961980733,6.873595571900814,0.23418225192628683,-351.2190635089978,149,55,2,0.0018898642156273127,True,,2.0
4085,3aru:pose85,0,38,1,3aru,85,4,0.3359375,-193.0089751939488,-25894.75189071401,-25895.313861454248,-25895.373290678966,12.959353134633899,1.37047047916379,-178.6791515801511,233,146,8,0.0019270547199994326,True,,11.0
5095,3arv:pose95,0,40,1,3arv,95,5,0.3359375,-296.607897171948,-30678.71835072035,-30680.255997512202,-30680.262560804033,35.458977390064476,0.1513531051809979,-260.99756667670255,96,166,1,0.0018737631617113948,True,,6.0
6082,3arq:pose82,1,64,1,3arq,82,6,0.3359375,-187.73145875511685,-47359.14114521864,-47362.036881742635,-47362.42192585714,66.77727061653768,8.879328219420735,-112.07485991915843,199,70,10,0.001991964876651764,True,,20.0
7099,1z95:pose99,0,43,0,1z95,99,7,0.1878662109375,-155.55171149248218,-51793.94075766676,-51794.67301460993,-51794.94630004154,16.886246262293003,6.3021117671171485,-132.36335346307203,791,132,9,0.0019592158496379852,True,,18.0
8028,3b68:pose28,0,49,0,3b68,28,8,0.1878662109375,-174.1341594648804,-44927.24422478261,-44928.07931543902,-44928.200846658496,19.257648025006237,2.802576499646904,-152.07393494022728,199,123,13,0.0019385283812880516,True,,14.0
9062,3b65:pose62,0,39,0,3b65,62,9,0.1878662109375,-284.1857876608341,-37627.80604699151,-37628.56225940921,-37628.953431924085,17.43867262860994,9.020652489226253,-257.72646254299787,1000,117,8,0.009995979256927967,False,,7.0
10003,3b5r:pose3,0,41,0,3b5r,3,10,0.1878662109375,-154.03841635469166,-51416.83418132863,-51417.415106854976,-51417.592412104845,13.396460886301766,4.08875619520936,-136.55319927318055,817,85,9,0.001217335113324225,True,,17.0
11059,3uew:pose59,-1,49,0,3uew,59,11,0.1689453125,-326.24796641084265,-21209.287906972946,-21211.71381820951,-21211.849592762657,55.94284210365014,3.1310355770017906,-267.1740887301907,388,113,15,0.0018750668969005346,True,,5.0
12005,3ueu:pose5,-1,37,0,3ueu,5,12,0.1689453125,-277.10573731879606,-16927.320823750557,-16930.018276341158,-16930.085379995704,62.20473448637534,1.5474470352759486,-213.35355579714476,247,62,11,0.0016232014168053865,True,,9.0
13034,3nq9:pose34,-1,25,0,3nq9,34,13,0.1689453125,-206.905212083868,-12645.203153029024,-12647.997446459405,-12648.14113006876,64.43793730408558,3.3134227459933845,-139.15385203378904,255,107,7,0.0017116183880716562,True,,16.0
14093,3uev:pose93,-1,43,0,3uev,93,14,0.1689453125,-225.3410809691206,-19068.245742003146,-19070.950397504206,-19071.001953251296,62.370837547545264,1.1889037717094377,-161.78133964986588,209,150,13,0.00198879255913198,True,,12.0
15051,3uex:pose51,-1,55,0,3uex,51,15,0.1689453125,-257.0247352082636,-23339.889009537048,-23345.08915682108,-23345.383282699862,119.9182451696631,6.782703895903612,-130.32378614269692,616,163,17,0.001685702707618475,True,,19.0
16003,3zdg:pose3,1,34,0,3zdg,3,16,0.165283203125,-216.20279882412564,-16755.174824862945,-16757.581418554666,-16757.69123244154,55.49736893680626,2.5323683906980277,-158.17306149662136,440,181,11,0.001861795550212264,True,,13.0
17038,3wtj:pose38,0,25,0,3wtj,38,17,0.165283203125,-289.3533449405993,-39848.85472198658,-39849.45947906218,-39849.45900216483,13.946029467736926,-0.010997514032926859,-275.4183129868953,90,111,2,0.0018757482757791877,True,,3.0
18043,3u8n:pose43,1,36,0,3u8n,43,18,0.165283203125,-251.63138724236356,-89323.29166519965,-89326.23553115083,-89326.32969228654,67.88716157411154,2.171407373873284,-181.57281829437872,163,199,4,0.0019640265963971615,True,,10.0
19004,3u8k:pose4,1,36,0,3u8k,4,19,0.165283203125,-204.01137699720624,-19293.471328824005,-19296.085294677963,-19296.104998672115,60.27948460279821,0.4543848996015862,-143.27750749480643,110,66,4,0.0016373135149478912,True,,15.0
20056,4qac:pose56,0,43,0,4qac,56,20,0.165283203125,-262.89057572125336,-32072.58978242979,-32072.890664836887,-32072.912972711587,6.938513140244102,0.5144318115267744,-255.43763076948247,165,174,5,0.001972650410607457,True,,8.0
