mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error,aimnet_interaction_rank
5080,4ddh,80,1,5,0.65869140625,-1,-703910.7180327077,-684149.0861261648,-19754.749412430425,-158.71408467531,,1
1044,3ivg,44,1,1,0.67578125,-1,-731276.6369266696,-684149.0861261648,-47121.07769106024,-149.27344996044212,,2
20083,4mme,83,0,20,0.353271484375,0,-718539.790535756,-684149.0861261648,-34384.55851498393,-141.72769655450443,,3
15095,1nc3,95,0,15,0.377685546875,0,-710389.8719705658,-684149.0861261648,-26235.245929653775,-127.75346900573176,,4
16095,3zso,95,0,16,0.362060546875,0,-738344.6508406159,-684149.0861261648,-54190.032890437025,-127.56689226685035,,5
7099,1y6r,99,0,7,0.422607421875,1,-719281.8416112624,-684149.0861261648,-35128.37986924221,-100.90409872259376,,6
2051,4ddk,51,1,2,0.66943359375,-1,-700730.2708658417,-684149.0861261648,-16577.174604497886,-92.47591410257547,,7
18086,3zt2,86,0,18,0.362060546875,-1,-713251.4220052925,-684149.0861261648,-29098.415525604505,-90.40549993521347,,8
8047,1nc1,47,0,8,0.422607421875,0,-719787.8156986086,-684149.0861261648,-35635.049668201165,-84.8606078010723,,9
3097,3coy,97,1,3,0.66162109375,1,-736784.0704575807,-684149.0861261648,-52631.312577840006,-84.67264896066924,,10
4004,3coz,4,1,4,0.6611328125,1,-735712.1294065798,-684149.0861261648,-51559.555889042305,-80.42115555420796,,11
6098,4f3c,98,0,6,0.4228515625,1,-721513.9170612745,-684149.0861261648,-37362.07530849937,-63.546259252125054,,12
9070,4f2w,70,0,9,0.401123046875,1,-718301.2920253504,-684149.0861261648,-34149.62758202858,-59.45740612234601,,13
12014,2v00,14,0,12,0.3798828125,0,-703338.0849161794,-684149.0861261648,-19186.668743965354,-53.732138367367064,,14
17011,3zsx,11,0,17,0.362060546875,0,-725812.7394555429,-684149.0861261648,-41663.879133418304,5.207164869238607,,15
19004,4cig,4,0,19,0.362060546875,0,-728990.9804994598,-684149.0861261648,-44842.72573602761,19.171680059688534,,16
14012,3wz8,12,0,14,0.3798828125,0,-731980.3350339191,-684149.0861261648,-47833.086201030426,42.36898947265955,,17
10006,3pww,6,0,10,0.3798828125,1,-743590.5143506422,-684149.0861261648,-59446.938523422985,127.0705123944865,,18
13027,3uri,27,0,13,0.3798828125,1,-776967.3962575909,-684149.0861261648,-92824.54272599726,143.72704521751112,,19
11098,3prs,98,0,11,0.3798828125,0,-764181.8576775332,-684149.0861261648,-80041.302146411,196.72019500345567,,20
