mol_id,name,formal_charge,n_atoms,label,ligand_pdb,pose_index,ligunity_rank,ligunity_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
1096,3gc5:pose96,1,36,1,3gc5,96,1,0.9150390625,-90.1372428883003,-25195.381301341124,-25198.263305418146,-25198.299246826635,66.46059286621471,0.8288285695540552,-22.84782145253154,159,115,6,0.0019014824647456408,True,,10.0
2089,3ge7:pose89,1,53,1,3ge7,89,2,0.9150390625,-169.61857797913777,-31599.748142507437,-31603.122755283664,-31603.208993223147,77.82041933602095,1.9886941282407433,-89.80946451487608,230,185,8,0.0019174767658114433,True,,2.0
3074,3rr4:pose74,0,30,1,3rr4,74,3,0.9150390625,-67.27081311151834,-22606.32230442108,-22607.370260117343,-22607.37019813334,24.166432458058015,-0.0014293850651889988,-43.10581003852551,20,56,4,0.001969855511561036,True,,9.0
4084,1s38:pose84,0,22,1,1s38,84,4,0.9150390625,-60.16920285438737,-16009.047003782543,-16009.58867342612,-16009.595215604446,12.491198724097707,0.15086621619432947,-47.527137914095334,85,53,2,0.0018034168751910329,True,,7.0
5063,1r5y:pose63,0,21,1,1r5y,63,5,0.9150390625,-83.15881981436087,-16445.86837711598,-16446.598862517312,-16446.630460747136,16.845393536961343,0.7286724902061062,-65.58475378719342,88,69,2,0.0018621714552864432,True,,4.0
6058,2xj7:pose58,1,35,0,2xj7,58,6,0.49169921875,-59.28182132317501,-21856.58650151588,-21859.604282293374,-21859.81900911033,69.59167796169045,4.951718032962902,15.261574671478343,314,152,6,0.00180236145388335,True,,18.0
7093,2wca:pose93,0,50,0,2wca,93,7,0.49169921875,-37.34382369264412,-36827.008272608786,-36828.397278002914,-36828.638097618335,32.031225328290766,5.553432259968627,0.24083389561527113,484,234,13,0.001909740036353469,True,,15.0
8060,2w66:pose60,1,35,0,2w66,60,8,0.49169921875,-50.36317442845025,-22867.288408580935,-22870.452443114813,-22870.50026007818,72.96436970623068,1.1026853708615663,23.703880648642,137,91,8,0.001979487482458353,True,,19.0
9017,2w4x:pose17,0,33,0,2w4x,17,9,0.49169921875,-56.54728130479783,-27355.45205691748,-27356.615121630017,-27356.925482989216,26.820909433598555,7.157102968591504,-22.569268902607767,436,154,10,0.0018048869678750634,True,,11.0
10021,2vvn:pose21,0,32,0,2vvn,21,10,0.49169921875,-69.00370428821155,-31612.789161199635,-31613.403151056165,-31613.485126689768,14.15894245404063,1.8904030196304278,-52.9543588145405,126,103,7,0.001924776704981923,True,,6.0
11087,3rlr:pose87,0,35,0,3rlr,87,11,0.375,-164.49142079315712,-49860.45922154513,-49860.95648099858,-49860.96183488331,11.467075410640938,0.12346351484529484,-152.90088186767088,199,98,5,0.0005903700948692858,True,,1.0
12011,2xdl:pose11,0,33,0,2xdl,11,12,0.375,-60.74074815889385,-20365.970375123186,-20366.413124957737,-20366.619290975228,10.210053736646785,4.75430130740731,-45.776393114839756,372,119,9,0.0017525908770039678,True,,8.0
13030,1yc1:pose30,-1,42,0,1yc1,30,13,0.375,-73.93608796576896,-35234.95537082386,-35238.013993073604,-35238.17737922144,70.53350468601876,3.767774076965329,0.3651907972151256,331,203,7,0.0016950209392234683,True,,16.0
14069,2yki:pose69,0,52,0,2yki,69,14,0.375,-74.45100031652967,-39307.68592328289,-39308.44264291267,-39308.525732709626,17.450369216963267,1.916096236968177,-55.084534862598225,645,188,4,0.001996293431147933,True,,5.0
15041,3b27:pose41,0,25,0,3b27,41,15,0.375,-78.91450758168845,-39850.2356420391,-39850.57447618471,-39850.613584506245,7.813701021449807,0.9018593193638198,-70.19894724087483,158,65,4,0.0014354920713230968,True,,3.0
16100,1nc3:pose100,0,32,0,1nc3,100,16,0.365966796875,-42.82548085457931,-26236.605738039143,-26237.847967561884,-26238.063817215392,28.646493325768283,4.977611258954958,-9.20137626985607,526,65,6,0.001958677778020501,True,,14.0
17023,1y6r:pose23,1,38,0,1y6r,23,17,0.339111328125,-39.92253585450919,-35129.5671855407,-35132.36156476371,-35132.45519121591,64.43991572921159,2.1590772790578137,26.676457153760214,380,170,7,0.0017822033260017633,True,,20.0
18092,1nc1:pose92,0,36,0,1nc1,92,18,0.339111328125,-43.75192372198797,-35659.91869548794,-35660.691964177924,-35660.869966958286,17.83199961128516,4.1048416305110775,-21.815082480191734,399,170,7,0.0019976438488811255,True,,13.0
19005,1nvq:pose5,1,63,0,1nvq,5,19,0.33349609375,-67.740346329277,-43648.798603853305,-43652.17390065995,-43652.3028044152,77.83619345222758,2.9725912134603676,13.06843833641094,185,185,6,0.0019538586493581533,True,,17.0
20072,2brb:pose72,0,42,0,2brb,72,20,0.33349609375,-36.73087418252664,-29601.508217362196,-29601.848341147575,-29602.14475042983,7.843440821076223,6.835360430878549,-22.05207293057187,294,290,6,0.0019755412358790636,True,,12.0
