mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error
1001,3gc5,1,1,1,0.9150390625,1,-659177.0023740517,-633995.6701188497,-25194.603799832526,306.0490897385345,
1002,3gc5,2,1,1,0.9150390625,1,-659180.8972094348,-633995.6701188497,-25194.253858563974,208.16221473398176,
1003,3gc5,3,1,1,0.9150390625,1,-659186.2069803765,-633995.6701188497,-25194.25561889775,85.75658222373696,
1004,3gc5,4,1,1,0.9150390625,1,-659179.786628946,-633995.6701188497,-25194.5396657712,240.36367998844653,
1005,3gc5,5,1,1,0.9150390625,1,-659182.9533515857,-633995.6701188497,-25194.7000274933,171.035350252123,
1006,3gc5,6,1,1,0.9150390625,1,-659180.4820763757,-633995.6701188497,-25194.597792965844,225.66672622260785,
1007,3gc5,7,1,1,0.9150390625,1,-659181.0069374731,-633995.6701188497,-25194.587350694015,213.32233727409917,
1008,3gc5,8,1,1,0.9150390625,1,-659187.4776853465,-633995.6701188497,-25194.587672007754,64.11075611006623,
1009,3gc5,9,1,1,0.9150390625,1,-659183.8964842395,-633995.6701188497,-25194.703527358834,149.36690339430112,
1010,3gc5,10,1,1,0.9150390625,1,-659165.453300505,-633995.6701188497,-25194.706385431364,574.742732772011,
1011,3gc5,11,1,1,0.9150390625,1,-659177.1255110791,-633995.6701188497,-25194.54046419032,301.74892782253227,
1012,3gc5,12,1,1,0.9150390625,1,-659174.9112457327,-633995.6701188497,-25194.697354731634,356.42908158528604,
1013,3gc5,13,1,1,0.9150390625,1,-659167.4439547197,-633995.6701188497,-25194.5857106424,526.0543292956966,
1014,3gc5,14,1,1,0.9150390625,1,-659184.6631129078,-633995.6701188497,-25194.53899410136,127.89379926708123,
1015,3gc5,15,1,1,0.9150390625,1,-659165.3818210205,-633995.6701188497,-25194.5865805573,573.6283228131617,
1016,3gc5,16,1,1,0.9150390625,1,-659184.7135435634,-633995.6701188497,-25194.59842054315,128.10124702485493,
1017,3gc5,17,1,1,0.9150390625,1,-659184.0153669999,-633995.6701188497,-25194.41253772146,139.91502136083528,
1018,3gc5,18,1,1,0.9150390625,1,-659190.0578843048,-633995.6701188497,-25194.53318463035,3.35344584724426,
1019,3gc5,19,1,1,0.9150390625,1,-659163.1725804796,-633995.6701188497,-25194.24709161885,616.7458190719433,
1020,3gc5,20,1,1,0.9150390625,1,-659182.3958102309,-633995.6701188497,-25194.5338410116,180.06020802173447,
1021,3gc5,21,1,1,0.9150390625,1,-659180.7484444366,-633995.6701188497,-25194.245748666588,211.40579841360898,
1022,3gc5,22,1,1,0.9150390625,1,-659186.1425428679,-633995.6701188497,-25194.24540310867,87.00696477980357,
1023,3gc5,23,1,1,0.9150390625,1,-659184.3877001544,-633995.6701188497,-25194.733053085878,138.7200747330988,
1024,3gc5,24,1,1,0.9150390625,1,-659174.843759089,-633995.6701188497,-25194.601497990563,355.77485159732714,
1025,3gc5,25,1,1,0.9150390625,1,-659181.4115968035,-633995.6701188497,-25194.70397889382,206.68018161078137,
1026,3gc5,26,1,1,0.9150390625,1,-659181.9416941842,-633995.6701188497,-25194.253489670828,184.06731733320245,
1027,3gc5,27,1,1,0.9150390625,1,-659177.4469914129,-633995.6701188497,-25194.7028556443,298.0802511000386,
1028,3gc5,28,1,1,0.9150390625,1,-659166.3999799334,-633995.6701188497,-25194.602500615194,550.5161457597588,
1029,3gc5,29,1,1,0.9150390625,1,-659192.0294619339,-633995.6701188497,-25194.412928400103,-44.88538891986065,
1030,3gc5,30,1,1,0.9150390625,1,-659190.1218507878,-633995.6701188497,-25194.251697329357,-4.612907661636876,
1031,3gc5,31,1,1,0.9150390625,1,-659157.8189160516,-633995.6701188497,-25194.538455871418,746.9232729652819,
1032,3gc5,32,1,1,0.9150390625,1,-659175.9590604,-633995.6701188497,-25194.699446735456,332.3141440856445,
1033,3gc5,33,1,1,0.9150390625,1,-659180.0497157859,-633995.6701188497,-25194.542573464576,234.36380633482852,
1034,3gc5,34,1,1,0.9150390625,1,-659164.6951392135,-633995.6701188497,-25194.537319747284,588.3276002032649,
1035,3gc5,35,1,1,0.9150390625,1,-659176.7732517114,-633995.6701188497,-25194.25615951188,303.31600018462643,
1036,3gc5,36,1,1,0.9150390625,1,-659189.7360429012,-633995.6701188497,-25194.40642091401,7.852044185199339,
