mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error,aimnet_interaction_rank
2089,3ge7,89,1,2,0.9150390625,1,-665601.2597844881,-633995.6701188497,-31598.234307941566,-169.61857797913777,,1
11087,3rlr,87,0,11,0.375,0,-683861.91728725,-633995.6701188497,-49859.11414528217,-164.49142079315712,,2
1096,3gc5,96,1,1,0.9150390625,1,-659193.8692295693,-633995.6701188497,-25194.29038992293,-90.1372428883003,,3
5063,1r5y,63,1,5,0.9150390625,0,-650444.2370641503,-633995.6701188497,-16444.9608375695,-83.15881981436087,,4
15041,3b27,41,0,15,0.375,0,-673848.6392454448,-633995.6701188497,-39849.547069662105,-78.91450758168845,,5
14069,2yki,69,0,14,0.375,0,-673300.6894883732,-633995.6701188497,-39301.790868584874,-74.45100031652967,,6
13030,1yc1,30,0,13,0.375,-1,-669232.2811529159,-633995.6701188497,-35233.404861840405,-73.93608796576896,,7
10021,2vvn,21,0,10,0.49169921875,0,-665610.4220494432,-633995.6701188497,-31611.75964676769,-69.00370428821155,,8
19005,1nvq,5,0,19,0.33349609375,1,-677645.4833068032,-633995.6701188497,-43646.875688513835,-67.740346329277,,9
3074,3rr4,74,1,3,0.9150390625,0,-656603.8720895153,-633995.6701188497,-22605.2848321134,-67.27081311151834,,10
12011,2xdl,11,0,12,0.375,0,-654357.4799702207,-633995.6701188497,-20359.175883236097,-60.74074815889385,,11
4084,1s38,84,1,4,0.9150390625,0,-650006.5211019149,-633995.6701188497,-16008.24179948048,-60.16920285438737,,12
6058,2xj7,58,0,6,0.49169921875,1,-655853.8669645274,-633995.6701188497,-21855.62614259818,-59.28182132317501,,13
9017,2w4x,17,0,9,0.49169921875,0,-661345.975613717,-633995.6701188497,-27347.853372666174,-56.54728130479783,,14
8060,2w66,60,0,8,0.49169921875,1,-656864.427130838,-633995.6701188497,-22866.573058042453,-50.36317442845025,,15
18092,1nc1,92,0,18,0.339111328125,0,-669655.8118343751,-633995.6701188497,-35658.24445254436,-43.75192372198797,,16
16100,1nc3,100,0,16,0.365966796875,0,-660232.366985944,-633995.6701188497,-26234.839778478276,-42.82548085457931,,17
17023,1y6r,23,0,17,0.339111328125,1,-669124.3085932641,-633995.6701188497,-35126.907269407966,-39.92253585450919,,18
7093,2wca,93,0,7,0.49169921875,0,-670823.3095746415,-633995.6701188497,-36826.0200743284,-37.343823692644115,,19
20072,2brb,72,0,20,0.33349609375,0,-663597.323415055,-633995.6701188497,-29600.060494748388,-36.73087418252664,,20
