mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error,aimnet_interaction_rank
12092,4jia,92,0,12,0.32666015625,1,-497266.1580312439,-460911.3872905038,-36346.649597185715,-187.27801937562913,,1
13096,4f09,96,0,13,0.32666015625,1,-483188.73509496934,-460911.3872905038,-22269.936109889673,-170.9177372732641,,2
11079,4e6q,79,0,11,0.32666015625,1,-489479.21201142884,-460911.3872905038,-28561.146641121595,-154.00017872470863,,3
20091,3cj4,91,0,20,0.25537109375,-1,-561178.9495960905,-460911.3872905038,-100261.2937406127,-144.55654241230437,,4
10006,4qd6,6,0,10,0.4697265625,0,-512772.66613294085,-460911.3872905038,-51855.15706051703,-141.17164477601844,,5
4092,2wtv,92,1,4,0.68798828125,-1,-515109.2209079152,-460911.3872905038,-54192.60838879154,-120.49663451512345,,6
14077,4gfm,77,0,14,0.32666015625,0,-505625.0065356975,-460911.3872905038,-44708.59884947839,-115.77307552212497,,7
19067,4eo8,67,0,19,0.25537109375,0,-503157.1594266118,-460911.3872905038,-42241.22882550532,-104.7712314628665,,8
5082,3e5a,82,1,5,0.68798828125,1,-510058.58680034796,-460911.3872905038,-49142.842048640385,-100.48544251027754,,9
2050,3up2,50,1,2,0.68798828125,-1,-500056.5217969371,-460911.3872905038,-39140.84499270674,-98.91853646207372,,10
8004,4rfm,4,0,8,0.4697265625,0,-517170.74419337854,-460911.3872905038,-56255.205284254946,-95.73859975702712,,11
9054,4m0z,54,0,9,0.4697265625,0,-491364.4003684844,-460911.3872905038,-30448.8869642931,-95.15044204533415,,12
7025,3qgy,25,0,7,0.4697265625,0,-515741.2615285765,-460911.3872905038,-54825.98276920032,-89.73940406342574,,13
3100,3uo4,100,1,3,0.68798828125,-1,-495120.9731864862,-460911.3872905038,-34205.84642919881,-86.23415262517688,,14
18079,4ih5,79,0,18,0.25537109375,0,-481435.61315378867,-460911.3872905038,-20520.7652544108,-79.80353646421067,,15
17052,4ih7,52,0,17,0.25537109375,0,-480295.0206223997,-460911.3872905038,-19380.400242548883,-74.5568115280556,,16
6080,4m0y,80,0,6,0.4697265625,0,-488245.0862074143,-460911.3872905038,-27330.618624099945,-71.0332396902824,,17
1094,3myg,94,1,1,0.68798828125,1,-506913.4401994029,-460911.3872905038,-45999.40006586581,-61.17601365733804,,18
15014,4hge,14,0,15,0.32666015625,0,-502283.1109580456,-460911.3872905038,-41369.13545991991,-59.68548566036575,,19
16089,3pyy,89,0,16,0.26513671875,0,-492582.4665351672,-460911.3872905038,-31669.02131536654,-47.45697698264008,,20
