mol_id,name,formal_charge,n_atoms,label,ligand_pdb,pose_index,ligunity_rank,ligunity_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
1012,3r88:pose12,-1,24,1,3r88,12,1,0.81591796875,-120.37396599933876,-19187.904787771677,-19190.82725055688,-19191.06699375202,67.39359284134984,5.5286094186626915,-47.45176373932623,179,113,6,0.0018567204242572188,True,,9.0
2060,3qqs:pose60,-2,28,1,3qqs,60,2,0.81396484375,-173.49432202701658,-24360.69574720442,-24368.26388613131,-24368.56168967922,174.525429712322,6.867512960706758,7.898620646012173,202,107,4,0.0018428716575726867,True,,15.0
3027,3twp:pose27,-1,15,1,3twp,27,3,0.81396484375,-136.7212513542437,-13492.07572194098,-13495.11403535752,-13495.146335911968,70.06517186649948,0.744868480820652,-65.91121100692355,143,34,2,0.0018549865344539285,True,,5.0
4007,4gkm:pose7,-2,31,1,4gkm,7,4,0.8046875,-236.19818439478183,-25431.231402756748,-25438.941552813725,-25438.977656584982,177.8002841701679,0.8325727439454013,-57.56532748066852,270,145,5,0.001935001346282661,True,,7.0
5026,4owm:pose26,-1,16,1,4owm,26,5,0.80322265625,-149.90431930973085,-15653.985884293006,-15656.564181945616,-15656.597212338043,59.456956339580124,0.7616989444376281,-89.6856640257131,83,47,2,0.0019872188568115234,True,,4.0
6041,2qbp:pose41,-2,60,0,2qbp,41,6,0.703125,-102.78766808568488,-135359.6275814227,-135367.9939904094,-135368.47861558717,192.93397460784888,11.175722092073437,101.32202861423744,745,173,10,0.001985598122701049,True,,19.0
7001,2qbq:pose1,-2,57,0,2qbq,1,7,0.703125,-77.75259194096468,-116909.77934327292,-116917.60231035166,-116917.96204626445,180.40190649665254,8.295707223259633,110.9450217789475,653,85,11,0.0019432824337854981,True,,20.0
8038,1bzc:pose38,-1,43,0,1bzc,38,8,0.703125,-63.77705928922452,-49920.98059560477,-49924.84025254159,-49926.39573107825,89.00580340123648,35.87018719419811,61.09893130621007,737,134,10,0.001721242442727089,True,,18.0
9018,2hb1:pose18,-2,17,0,2hb1,18,9,0.703125,-239.4222554445442,-98438.01787925223,-98446.20097656088,-98446.31793688404,188.70670688866653,2.697169126371987,-48.01837942950567,116,93,4,0.001984711503610015,True,,8.0
10031,2qbr:pose31,-2,42,0,2qbr,31,10,0.703125,-210.82808309035883,-113599.32419336557,-113607.4618455881,-113607.6728910938,187.65871830666018,4.866824978568768,-18.302539805129886,248,94,8,0.0017492113402113318,True,,11.0
11023,3n86:pose23,-1,41,0,3n86,23,11,0.65380859375,-91.83554640985338,-30680.625982886017,-30683.710894814863,-30684.17639543718,71.13975908841991,10.73469936615543,-9.96108795527804,251,106,9,0.0016166814602911472,True,,13.0
12035,4ciw:pose35,-1,28,0,4ciw,35,12,0.65380859375,-193.81683205000533,-21843.21648614618,-21846.18245425673,-21846.45802024591,68.39684947745961,6.354702673998088,-119.06527989854763,179,111,7,0.0018659105990082026,True,,2.0
13008,2xb8:pose8,-1,39,0,2xb8,8,13,0.65380859375,-75.74887362582355,-30183.973167023723,-30186.81096480039,-30186.93411348021,65.44117136240648,2.839876021280251,-7.46782624213682,348,56,8,0.001741447951644659,True,,14.0
14033,3n7a:pose33,-1,21,0,3n7a,33,14,0.646484375,-174.2822064837263,-17653.590881231452,-17656.824439236425,-17657.173436082485,74.56761903676127,8.048058461299275,-91.66652898566575,257,65,4,0.0018826343584805727,True,,3.0
15053,3n76:pose53,-1,39,0,3n76,53,15,0.63330078125,-84.55366457070582,-29172.042825256285,-29174.772831054,-29174.978964942555,62.95542927608365,4.753560396515091,-16.84467489810708,192,237,8,0.001922172261402011,True,,12.0
16016,3gv9:pose16,-1,18,0,3gv9,16,16,0.48046875,-200.69301071412505,-25836.821131272292,-25839.95890711107,-25840.082286857647,72.35882981192164,2.845204547237778,-125.48897635496562,300,68,4,0.0018122963374480605,True,,1.0
17074,4jxs:pose74,-2,31,0,4jxs,74,17,0.48046875,-171.82494548975805,-49089.251537996606,-49097.35658479282,-49097.7055054463,186.90681931345821,8.046301418656721,23.128175242356885,273,116,6,0.0018069876823574305,True,,16.0
18064,4kz6:pose64,-1,31,0,4kz6,64,18,0.48046875,-130.76727140664033,-29114.063058862757,-29117.027881820464,-29117.078832397474,68.37044162551793,1.1749482181285298,-61.22188156299388,142,74,6,0.0017276869621127844,True,,6.0
19009,3gr2:pose9,0,24,0,3gr2,9,19,0.48046875,-44.05247906803866,-18419.382786624257,-18420.020581341814,-18420.20986428829,14.70789559033868,4.364968440687,-24.979615037012977,284,145,4,0.001934052794240415,True,,10.0
20076,2r9w:pose76,-2,42,0,2r9w,76,20,0.48046875,-146.4133564930343,-36824.98324192251,-36832.25109838667,-36832.45837682133,167.60075161769075,4.779954256735327,25.96734938139176,266,124,5,0.0017920808168128133,True,,17.0
