mol_id,name,formal_charge,n_atoms,label,ligand_pdb,pose_index,ligunity_rank,ligunity_score,aimnet_interaction_kcal_mol,gas_bound_ev,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet2_score_rank
1080,3rsx:pose80,0,26,1,3rsx,80,1,0.8251953125,-105.3695946542542,-27472.932933839373,-27473.145224098538,-27473.243405930283,4.895529675459514,2.2641268270538983,-98.20993815174079,149,61,2,0.0018446581671014428,True,,6.0
2026,3udh:pose26,1,27,1,3udh,26,2,0.8251953125,-96.16955205638716,-16651.83469197851,-16654.525077924292,-16654.524924840927,62.04177378552172,-0.003530186264082139,-34.13130845712952,1,113,0,0.0017653729300945997,True,,17.0
3003,2vkm:pose3,1,90,1,2vkm,3,3,0.8251953125,-173.23592758523066,-67145.6806244643,-67148.69371322039,-67149.05793622835,69.48347737783794,8.399182095998617,-95.3532681113941,464,184,22,0.0017492512706667185,True,,7.0
4093,4gid:pose93,1,95,1,4gid,93,4,0.8251953125,-159.6298764580007,-67680.18420419593,-67683.1359021276,-67683.38018490386,68.06777133478303,5.633294646071484,-85.92881047714619,1000,300,26,0.006360419560223818,False,,11.0
5036,4djv:pose36,0,50,1,4djv,36,5,0.8251953125,-148.3023910635142,-32794.846223130015,-32796.3454125419,-32796.55665732308,34.572129139968936,4.871420380403451,-108.8588415431418,719,84,7,0.0019270681077614427,True,,4.0
6012,3pww:pose12,1,100,0,3pww,12,6,0.6044921875,-134.34045511934045,-59452.48086826148,-59454.67057328486,-59455.21267146923,50.49579742647896,12.501081109575548,-71.34357658328594,633,150,21,0.0019872502889484167,True,,13.0
7017,3prs:pose17,0,98,0,3prs,17,7,0.6044921875,-111.79577643886364,-80043.52848527455,-80044.23977700526,-80045.10719358062,16.402776977549973,20.00310142520386,-75.3898980361098,1000,213,28,0.0074148885905742645,False,,12.0
8081,2v00:pose81,0,29,1,2v00,81,8,0.6044921875,-72.75183732194877,-19187.21109068127,-19187.828058139658,-19187.870628748402,14.227607584070698,0.9817015591294231,-57.54252817874865,253,115,4,0.001952140941284597,True,,15.0
9007,3uri:pose7,1,130,0,3uri,7,9,0.6044921875,-147.47486245113458,-92843.94605346254,-92850.27529607642,-92850.91997895247,145.9558020289629,14.866740298793944,13.347679876622253,937,300,39,0.0018169224495068192,True,,19.0
10015,3wz8:pose15,0,58,0,3wz8,15,10,0.6044921875,-85.88488050138031,-47833.80034365104,-47834.62144152836,-47834.70773571781,18.93496687356742,1.989991283362783,-64.9599223444501,240,62,11,0.0018515862757340074,True,,14.0
11031,4mme:pose31,0,34,0,4mme,31,11,0.462158203125,-269.9178343401107,-34385.4575852171,-34386.01364832155,-34386.03281572312,12.823119817011811,0.4420107807677668,-256.65270374233114,147,62,2,0.001637094421312213,True,,1.0
12023,3f3e:pose23,0,22,0,3f3e,23,12,0.462158203125,-140.98779301190817,-12026.073198772125,-12027.327836420714,-12027.429086339462,28.932631505399932,2.334878594117737,-109.72028291239049,134,91,6,0.001929991296492517,True,,3.0
13048,3f3c:pose48,0,23,0,3f3c,48,13,0.462158203125,-137.1412914218811,-17806.25422045433,-17807.72410800052,-17807.877669062025,33.896412064481986,3.5412022037908026,-99.70367715360833,129,75,4,0.001835719682276249,True,,5.0
14035,3f3d:pose35,0,20,0,3f3d,35,14,0.462158203125,-203.97626434281784,-21792.019431879096,-21793.70736444553,-21793.966987451335,38.9246496831114,5.987048743279475,-159.06456591642697,190,82,6,0.0019324892200529575,True,,2.0
15024,3f3a:pose24,0,27,0,3f3a,24,15,0.462158203125,-130.44717320320703,-18689.312930116823,-18690.855014743647,-18690.88143480173,35.561316295745456,0.6092610130944826,-94.27659589436709,182,117,4,0.0019820977468043566,True,,9.0
16012,1gpn:pose12,1,40,0,1gpn,12,16,0.415771484375,-152.41806919466103,-21971.526520804506,-21974.0264709364,-21974.026462589525,57.65021959067035,-0.00019248346574999285,-94.76804208745642,44,92,1,0.0019136491464450955,True,,8.0
17085,1e66:pose85,0,40,0,1e66,85,17,0.415771484375,-95.26046453506358,-34496.48682037208,-34496.64128871748,-34496.71066487089,3.5621246673583387,1.599852103917792,-90.09848776378745,206,51,3,0.0018830620683729649,True,,10.0
18067,1h23:pose67,2,84,0,1h23,67,18,0.415771484375,-137.57735072180213,-41964.19266271931,-41970.81773412806,-41971.13527273223,152.7777761027678,7.322614169516108,22.523039550481776,904,170,15,0.0018718655919656157,True,,20.0
19030,1h22:pose30,2,78,0,1h22,30,19,0.415771484375,-180.72904941417477,-39822.558659926115,-39829.78436280483,-39830.00863422604,166.62866684441389,5.171821835890935,-8.928560733869947,421,300,13,0.001820808625780046,True,,18.0
20021,1gpk:pose21,1,37,0,1gpk,21,20,0.415771484375,-106.82787408348536,-20900.127028606097,-20902.794534023837,-20902.797644255406,61.51413627421587,0.07172364387818288,-45.2420141653913,99,97,3,0.001636932953260839,True,,16.0
