mol_id,ligand_pdb,pose_index,label,ligunity_rank,ligunity_score,formal_charge,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_kcal_mol,error,aimnet_interaction_rank
11031,4mme,31,0,11,0.462158203125,0,-860237.2804550247,-825840.7872784227,-34384.7884314969,-269.9178343401107,,1
14035,3f3d,35,0,14,0.462158203125,0,-847635.4727772225,-825840.7872784227,-21785.840250809964,-203.97626434281784,,2
19030,1h22,30,0,19,0.415771484375,2,-865668.2487968672,-825840.7872784227,-39819.62436510615,-180.72904941417474,,3
3003,2vkm,3,1,3,0.8251953125,1,-892989.9389433668,-825840.7872784227,-67141.63944412179,-173.23592758523066,,4
4093,4gid,93,1,4,0.8251953125,1,-893515.3693933251,-825840.7872784227,-67667.6599082995,-159.6298764580007,,5
16012,1gpn,12,0,16,0.415771484375,1,-847817.9853560489,-825840.7872784227,-21970.588604585286,-152.41806919466103,,6
5036,4djv,36,1,5,0.8251953125,0,-858641.5158053206,-825840.7872784227,-32794.29752655246,-148.3023910635142,,7
9007,3uri,7,0,9,0.6044921875,1,-918686.0583051627,-825840.7872784227,-92838.87591143159,-147.47486245113458,,8
12023,3f3e,23,0,12,0.462158203125,0,-837864.7115761554,-825840.7872784227,-12017.81048837966,-140.98779301190817,,9
18067,1h23,67,0,18,0.415771484375,2,-867809.3078982132,-825840.7872784227,-41962.55470121241,-137.57735072180213,,10
13048,3f3c,48,0,13,0.462158203125,0,-843646.8014765074,-825840.7872784227,-17800.067188827637,-137.1412914218811,,11
6012,3pww,12,0,6,0.6044921875,1,-885294.3041007653,-825840.7872784227,-59447.69126884284,-134.34045511934045,,12
15024,3f3a,24,0,15,0.462158203125,0,-844534.9287733089,-825840.7872784227,-18688.484770069303,-130.44717320320703,,13
7017,3prs,17,0,7,0.6044921875,0,-905887.7917560859,-825840.7872784227,-80042.15655395991,-111.79577643886363,,14
20021,1gpk,21,0,20,0.415771484375,1,-846744.735907488,-825840.7872784227,-20899.316133997614,-106.82787408348537,,15
1080,3rsx,80,1,1,0.8251953125,0,-853317.2013987639,-825840.7872784227,-27471.844862254682,-105.36959465425421,,16
2026,3udh,26,1,2,0.8251953125,1,-842496.4480853899,-825840.7872784227,-16651.490500486918,-96.16955205638715,,17
17085,1e66,85,0,17,0.415771484375,0,-860340.5411933396,-825840.7872784227,-34495.62303020267,-95.26046453506358,,18
10015,3wz8,15,0,10,0.6044921875,0,-873676.9662310977,-825840.7872784227,-47832.45463176411,-85.88488050138031,,19
8081,2v00,81,1,8,0.6044921875,0,-845029.8859927923,-825840.7872784227,-19185.94389611217,-72.75183732194877,,20
